legacy_internal_id,legacy_internal_id_hex,canonical_species_id,national_dex
0,0x00,,
1,0x01,112,112
2,0x02,115,115
3,0x03,32,32
4,0x04,35,35
5,0x05,21,21
6,0x06,100,100
7,0x07,34,34
8,0x08,80,80
9,0x09,2,2
10,0x0A,103,103
11,0x0B,108,108
12,0x0C,102,102
13,0x0D,88,88
14,0x0E,94,94
15,0x0F,29,29
16,0x10,31,31
17,0x11,104,104
18,0x12,111,111
19,0x13,131,131
20,0x14,59,59
21,0x15,151,151
22,0x16,130,130
23,0x17,90,90
24,0x18,72,72
25,0x19,92,92
26,0x1A,123,123
27,0x1B,120,120
28,0x1C,9,9
29,0x1D,127,127
30,0x1E,114,114
31,0x1F,,
32,0x20,,
33,0x21,58,58
34,0x22,95,95
35,0x23,22,22
36,0x24,16,16
37,0x25,79,79
38,0x26,64,64
39,0x27,75,75
40,0x28,113,113
41,0x29,67,67
42,0x2A,122,122
43,0x2B,106,106
44,0x2C,107,107
45,0x2D,24,24
46,0x2E,47,47
47,0x2F,54,54
48,0x30,96,96
49,0x31,76,76
50,0x32,,
51,0x33,126,126
52,0x34,,
53,0x35,125,125
54,0x36,82,82
55,0x37,109,109
56,0x38,,
57,0x39,56,56
58,0x3A,86,86
59,0x3B,50,50
60,0x3C,128,128
61,0x3D,,
62,0x3E,,
63,0x3F,,
64,0x40,83,83
65,0x41,48,48
66,0x42,149,149
67,0x43,,
68,0x44,,
69,0x45,,
70,0x46,84,84
71,0x47,60,60
72,0x48,124,124
73,0x49,146,146
74,0x4A,144,144
75,0x4B,145,145
76,0x4C,132,132
77,0x4D,52,52
78,0x4E,98,98
79,0x4F,,
80,0x50,,
81,0x51,,
82,0x52,37,37
83,0x53,38,38
84,0x54,25,25
85,0x55,26,26
86,0x56,,
87,0x57,,
88,0x58,147,147
89,0x59,148,148
90,0x5A,140,140
91,0x5B,141,141
92,0x5C,116,116
93,0x5D,117,117
94,0x5E,,
95,0x5F,,
96,0x60,27,27
97,0x61,28,28
98,0x62,138,138
99,0x63,139,139
100,0x64,39,39
101,0x65,40,40
102,0x66,133,133
103,0x67,136,136
104,0x68,135,135
105,0x69,134,134
106,0x6A,66,66
107,0x6B,41,41
108,0x6C,23,23
109,0x6D,46,46
110,0x6E,61,61
111,0x6F,62,62
112,0x70,13,13
113,0x71,14,14
114,0x72,15,15
115,0x73,,
116,0x74,85,85
117,0x75,57,57
118,0x76,51,51
119,0x77,49,49
120,0x78,87,87
121,0x79,,
122,0x7A,,
123,0x7B,10,10
124,0x7C,11,11
125,0x7D,12,12
126,0x7E,68,68
127,0x7F,,
128,0x80,55,55
129,0x81,97,97
130,0x82,42,42
131,0x83,150,150
132,0x84,143,143
133,0x85,129,129
134,0x86,,
135,0x87,,
136,0x88,89,89
137,0x89,,
138,0x8A,99,99
139,0x8B,91,91
140,0x8C,,
141,0x8D,101,101
142,0x8E,36,36
143,0x8F,110,110
144,0x90,53,53
145,0x91,105,105
146,0x92,,
147,0x93,93,93
148,0x94,63,63
149,0x95,65,65
150,0x96,17,17
151,0x97,18,18
152,0x98,121,121
153,0x99,1,1
154,0x9A,3,3
155,0x9B,73,73
156,0x9C,,
157,0x9D,118,118
158,0x9E,119,119
159,0x9F,,
160,0xA0,,
161,0xA1,,
162,0xA2,,
163,0xA3,77,77
164,0xA4,78,78
165,0xA5,19,19
166,0xA6,20,20
167,0xA7,33,33
168,0xA8,30,30
169,0xA9,74,74
170,0xAA,137,137
171,0xAB,142,142
172,0xAC,,
173,0xAD,81,81
174,0xAE,,
175,0xAF,,
176,0xB0,4,4
177,0xB1,7,7
178,0xB2,5,5
179,0xB3,8,8
180,0xB4,6,6
181,0xB5,,
182,0xB6,,
183,0xB7,,
184,0xB8,,
185,0xB9,43,43
186,0xBA,44,44
187,0xBB,45,45
188,0xBC,69,69
189,0xBD,70,70
190,0xBE,71,71
191,0xBF,,
192,0xC0,,
193,0xC1,,
194,0xC2,,
195,0xC3,,
196,0xC4,,
197,0xC5,,
198,0xC6,,
199,0xC7,,
200,0xC8,,
201,0xC9,,
202,0xCA,,
203,0xCB,,
204,0xCC,,
205,0xCD,,
206,0xCE,,
207,0xCF,,
208,0xD0,,
209,0xD1,,
210,0xD2,,
211,0xD3,,
212,0xD4,,
213,0xD5,,
214,0xD6,,
215,0xD7,,
216,0xD8,,
217,0xD9,,
218,0xDA,,
219,0xDB,,
220,0xDC,,
221,0xDD,,
222,0xDE,,
223,0xDF,,
224,0xE0,,
225,0xE1,,
226,0xE2,,
227,0xE3,,
228,0xE4,,
229,0xE5,,
230,0xE6,,
231,0xE7,,
232,0xE8,,
233,0xE9,,
234,0xEA,,
235,0xEB,,
236,0xEC,,
237,0xED,,
238,0xEE,,
239,0xEF,,
240,0xF0,,
241,0xF1,,
242,0xF2,,
243,0xF3,,
244,0xF4,,
245,0xF5,,
246,0xF6,,
247,0xF7,,
248,0xF8,,
249,0xF9,,
250,0xFA,,
251,0xFB,,
252,0xFC,,
253,0xFD,,
254,0xFE,,
255,0xFF,,
