file,bytes,size_kib,sha1,sha256,title,cgb_flag,sgb_flag,cart_type,cart,rom_size_code,rom_size_declared,ram_size_code,ram_size_declared,destination,version,header_checksum,header_ok,global_checksum,global_ok
Pocket Monsters - Aka (Japan) (Rev A) (SGB Enhanced).gb,524288,512,ef74c79cded14204ac79e77f4964d9cb25003120,751abb1fb2b2d6b91dc631fa10ed36bd07f682cb5c3febe6c8f0e3dabc1fae1c,POKEMON RED,0x00,0x03,0x03,MBC1+RAM+BATTERY,0x04,524288,0x03,32768,Japan,1,0x31,True,0xB866,True
Pocket Monsters - Aka (Japan) (SGB Enhanced).gb,524288,512,0623ad12f48c259447980d68bd85ddbf8204b2cd,392ce450d708c8d127aaed7afc20001a48625bd83a5fa5325be82f5c0972ccfa,POKEMON RED,0x00,0x03,0x03,MBC1+RAM+BATTERY,0x04,524288,0x03,32768,Japan,0,0x32,True,0xA2C1,True
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,524288,512,0da501e3e5c51ab8fef55b092dcdd7e6b050e424,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,POKEMON BLUE,0x00,0x03,0x03,MBC1+RAM+BATTERY,0x04,524288,0x03,32768,Japan,0,0xE5,True,0xDC36,True
Pocket Monsters - Midori (Japan) (Rev A) (SGB Enhanced).gb,524288,512,4b97cd44aa3f0dd290bfe7b3ac17b7bd8270897b,3f0dc460ca8d06be1c9ac96307c939c0ea7baa366b40c2f1f4ad63242b6c4816,POKEMON GREEN,0x00,0x03,0x03,MBC1+RAM+BATTERY,0x04,524288,0x03,32768,Japan,1,0x9B,True,0xF547,True
Pocket Monsters - Midori (Japan) (SGB Enhanced).gb,524288,512,82c0eef40a5e2423699d9fd8ba15dfaa8b51d196,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,POKEMON GREEN,0x00,0x03,0x03,MBC1+RAM+BATTERY,0x04,524288,0x03,32768,Japan,0,0x9C,True,0xDDD5,True
Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,1048576,1024,1fb6c264e950d97ce3fd99b347e485b2150df4ff,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,POKEMON YELLOW,0x00,0x03,0x13,MBC3+RAM+BATTERY,0x05,1048576,0x03,32768,Japan,0,0x20,True,0x9C29,True
Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,1048576,1024,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,1acab20d1aa3e19c081abaac3e303c4cf3e582213937acbf25942b31c28aecfe,POKEMON YELLOW,0x00,0x03,0x13,MBC3+RAM+BATTERY,0x05,1048576,0x03,32768,Japan,1,0x1F,True,0x8858,True
Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,1048576,1024,91864ecdf26d1c593bde4d9ed615520eb57d5e41,2c67561f6b2de4ca3a1150f04dc736aead4bf7b5a98ce38196cef899a91be2fd,POKEMON YELLOW,0x00,0x03,0x13,MBC3+RAM+BATTERY,0x05,1048576,0x03,32768,Japan,2,0x1E,True,0xEDD9,True
Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,1048576,1024,a40298a8123613ee60cd7aab204d788b8425976e,1349408f328f633b33e059e654edabd19810530df9c883eda03a85d5bb10161a,POKEMON YELLOW,0x00,0x03,0x13,MBC3+RAM+BATTERY,0x05,1048576,0x03,32768,Japan,3,0x1D,True,0xD984,True
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",1048576,1024,d7037c83e1ae5b39bde3c30787637ba1d4c48ce2,2a951313c2640e8c2cb21f25d1db019ae6245d9c7121f754fa61afd7bee6452d,POKEMON BLUE,0x00,0x03,0x13,MBC3+RAM+BATTERY,0x05,1048576,0x03,32768,Non-Japan,0,0xD3,True,0x9D0A,True
"Pokemon - Red Version (USA, Europe) (SGB Enhanced).gb",1048576,1024,ea9bcae617fdf159b045185467ae58b2e4a48b9a,5ca7ba01642a3b27b0cc0b5349b52792795b62d3ed977e98a09390659af96b7b,POKEMON RED,0x00,0x03,0x13,MBC3+RAM+BATTERY,0x05,1048576,0x03,32768,Non-Japan,0,0x20,True,0x91E6,True
"Pokemon - Yellow Version (USA, Europe).gbc",1048576,1024,cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,8cbaa499397e4f1a679c992ea9382a2dd7942ab398b48c19829c2d9529de47bf,POKEMON YELLOW,0x80,0x03,0x1B,MBC5+RAM+BATTERY,0x05,1048576,0x03,32768,Non-Japan,0,0x97,True,0x047C,True
