version,order,pokemon,internal_id_hex,pokedex_no,front_sprite_tiles,art_width_px,horizontal_padding_px_in_7x7,lineage,out_last_visible_frame_0based,out_first_fully_hidden_frame_0based,in_first_visible_frame_0based,is_starter,blue_ball_animation_when_outgoing
Red,1,Charmander,0xB0,4,5x5,40,8,Red/Green legacy,14,15,3,True,False
Red,2,Squirtle,0xB1,7,5x5,40,8,Red/Green legacy,14,15,3,True,False
Red,3,Bulbasaur,0x99,1,5x5,40,8,Red/Green legacy,14,15,3,True,False
Red,4,Weedle,0x70,13,5x5,40,8,Red/Green legacy,14,15,3,False,False
Red,5,Nidoran♂,0x03,32,5x5,40,8,Red/Green legacy,14,15,3,False,False
Red,6,Scyther,0x1A,123,7x7,56,0,Red/Green legacy,15,16,2,False,False
Red,7,Pikachu,0x54,25,5x5,40,8,Red/Green legacy,14,15,3,False,False
Red,8,Clefairy,0x04,35,5x5,40,8,Red/Green legacy,14,15,3,False,False
Red,9,Rhydon,0x01,112,7x7,56,0,Red/Green legacy,15,16,2,False,False
Red,10,Abra,0x94,63,5x5,40,8,Red/Green legacy,14,15,3,False,False
Red,11,Gastly,0x19,92,7x7,56,0,Red/Green legacy,15,16,2,False,False
Red,12,Ditto,0x4C,132,5x5,40,8,Red/Green legacy,14,15,3,False,False
Red,13,Pidgeotto,0x96,17,6x6,48,8,Red/Green legacy,15,16,3,False,False
Red,14,Onix,0x22,95,7x7,56,0,Red/Green legacy,15,16,2,False,False
Red,15,Ponyta,0xA3,77,6x6,48,8,Red/Green legacy,15,16,3,False,False
Red,16,Magikarp,0x85,129,6x6,48,8,Red/Green legacy,15,16,3,False,False
Green,1,Bulbasaur,0x99,1,5x5,40,8,Red/Green legacy,14,15,3,True,False
Green,2,Charmander,0xB0,4,5x5,40,8,Red/Green legacy,14,15,3,True,False
Green,3,Squirtle,0xB1,7,5x5,40,8,Red/Green legacy,14,15,3,True,False
Green,4,Caterpie,0x7B,10,5x5,40,8,Red/Green legacy,14,15,3,False,False
Green,5,Nidoran♀,0x0F,29,5x5,40,8,Red/Green legacy,14,15,3,False,False
Green,6,Pinsir,0x1D,127,7x7,56,0,Red/Green legacy,15,16,2,False,False
Green,7,Pikachu,0x54,25,5x5,40,8,Red/Green legacy,14,15,3,False,False
Green,8,Clefairy,0x04,35,5x5,40,8,Red/Green legacy,14,15,3,False,False
Green,9,Rhydon,0x01,112,7x7,56,0,Red/Green legacy,15,16,2,False,False
Green,10,Abra,0x94,63,5x5,40,8,Red/Green legacy,14,15,3,False,False
Green,11,Gastly,0x19,92,7x7,56,0,Red/Green legacy,15,16,2,False,False
Green,12,Ditto,0x4C,132,5x5,40,8,Red/Green legacy,14,15,3,False,False
Green,13,Pidgeotto,0x96,17,6x6,48,8,Red/Green legacy,15,16,3,False,False
Green,14,Onix,0x22,95,7x7,56,0,Red/Green legacy,15,16,2,False,False
Green,15,Ponyta,0xA3,77,6x6,48,8,Red/Green legacy,15,16,3,False,False
Green,16,Magikarp,0x85,129,6x6,48,8,Red/Green legacy,15,16,3,False,False
Blue,1,Squirtle,0xB1,7,5x5,40,8,Blue revised,17,,1,True,True
Blue,2,Charmander,0xB0,4,5x5,40,8,Blue revised,17,,1,True,True
Blue,3,Bulbasaur,0x99,1,5x5,40,8,Blue revised,17,,1,True,True
Blue,4,Mankey,0x39,56,5x5,40,8,Blue revised,17,,1,False,False
Blue,5,Hitmonlee,0x2B,106,7x7,56,0,Blue revised,17,,1,False,False
Blue,6,Vulpix,0x52,37,6x6,48,8,Blue revised,17,,1,False,False
Blue,7,Chansey,0x28,113,6x6,48,8,Blue revised,17,,1,False,False
Blue,8,Aerodactyl,0xAB,142,7x7,56,0,Blue revised,17,,1,False,False
Blue,9,Jolteon,0x68,135,6x6,48,8,Blue revised,17,,1,False,False
Blue,10,Snorlax,0x84,143,7x7,56,0,Blue revised,17,,1,False,False
Blue,11,Gloom,0xBA,44,6x6,48,8,Blue revised,17,,1,False,False
Blue,12,Poliwag,0x47,60,5x5,40,8,Blue revised,17,,1,False,False
Blue,13,Doduo,0x46,84,5x5,40,8,Blue revised,17,,1,False,False
Blue,14,Porygon,0xAA,137,6x6,48,8,Blue revised,17,,1,False,False
Blue,15,Gengar,0x0E,94,6x6,48,8,Blue revised,17,,1,False,False
Blue,16,Raichu,0x55,26,7x7,56,0,Blue revised,17,,1,False,False
