rom_a,sha1_a,rom_b,sha1_b,diff_bytes,same_bytes,diff_percent,different_banks,identical_banks,different_bank_list,first_diff,last_diff
Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,1fb6c264e950d97ce3fd99b347e485b2150df4ff,Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,307668,740908,29.341507,61,3,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000038,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,1fb6c264e950d97ce3fd99b347e485b2150df4ff,Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,91864ecdf26d1c593bde4d9ed615520eb57d5e41,307683,740893,29.342937,61,3,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000038,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,1fb6c264e950d97ce3fd99b347e485b2150df4ff,Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,a40298a8123613ee60cd7aab204d788b8425976e,320147,728429,30.531597,61,3,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000038,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,1fb6c264e950d97ce3fd99b347e485b2150df4ff,"Pokemon - Edicion Amarilla - Edicion Especial Pikachu (Spain) (GBC,SGB Enhanced).gb",1dc242039218fba50928d1afb66b70565b6b9daf,614476,434100,58.600998,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000038,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,1fb6c264e950d97ce3fd99b347e485b2150df4ff,"Pokemon - Gelbe Edition - Special Pikachu Edition (Germany) (GBC,SGB Enhanced).gb",42f3714eec6eca25200d42461ff08d57c98f6d1d,614797,433779,58.631611,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000038,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,1fb6c264e950d97ce3fd99b347e485b2150df4ff,"Pokemon - Version Jaune - Edition Speciale Pikachu (France) (GBC,SGB Enhanced).gb",0aceec0ef7aa2ca5aa831554598d91f61a925591,614341,434235,58.588123,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000038,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,1fb6c264e950d97ce3fd99b347e485b2150df4ff,"Pokemon - Versione Gialla - Speciale Edizione Pikachu (Italy) (GBC,SGB Enhanced).gb",05bb8e99f24d498613930949730afa8024e77d08,614311,434265,58.585262,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000038,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,1fb6c264e950d97ce3fd99b347e485b2150df4ff,"Pokemon - Yellow Version - Special Pikachu Edition (USA, Europe) (GBC,SGB Enhanced).gb",cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,612674,435902,58.429146,62,2,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000038,0x0FFFFF
Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,91864ecdf26d1c593bde4d9ed615520eb57d5e41,39485,1009091,3.765583,60,4,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000069,0x0FFFFE
Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,a40298a8123613ee60cd7aab204d788b8425976e,247838,800738,23.635674,61,3,00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 1A 1C 1D 1E 1F 20 21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0x000068,0x0FFFFF
