bank_hex,bank_dec,order,section,category,pret_aggregator,reference_commit
00,0,0,NULL,layout/padding,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,1,rst0,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,2,rst8,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,3,rst10,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,4,rst18,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,5,rst20,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,6,rst28,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,7,rst30,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,8,rst38,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,9,vblank,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,10,lcd,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,11,timer,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,12,serial,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,13,joypad,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,14,High Home,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,15,Header,header,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
00,0,16,Home,core engine,home.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
01,1,0,bank1,mixed engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
02,2,0,Sound Effect Headers 1,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
02,2,1,Music Headers 1,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
02,2,2,Sound Effects 1,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
02,2,3,Audio Engine 1,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
02,2,4,Music 1,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
03,3,0,bank3,mixed engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
04,4,0,bank4,mixed engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
04,4,1,NPC Sprites 1,overworld graphics,gfx/sprites.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
04,4,2,Battle Engine 1,battle engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
05,5,0,bank5,mixed engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
05,5,1,NPC Sprites 2,overworld graphics,gfx/sprites.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
05,5,2,Battle Engine 2,battle engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
06,6,0,Maps 1,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
06,6,1,Maps 2,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
06,6,2,Doors and Ledges,mixed engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
07,7,0,Maps 3,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
07,7,1,bank7,mixed engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
07,7,2,Maps 4,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
07,7,3,Hidden Events 1,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
08,8,0,Sound Effect Headers 2,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
08,8,1,Music Headers 2,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
08,8,2,Sound Effects 2,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
08,8,3,Low Health Alarm (Audio Engine 2),audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
08,8,4,Bill's PC,minigame/feature engine,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
08,8,5,Audio Engine 2,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
08,8,6,Music 2,audio,audio.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
09,9,0,Pics 1,pokemon/trainer graphics,gfx/pics.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
09,9,1,Battle Engine 3,battle engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
0A,10,0,Pics 2,pokemon/trainer graphics,gfx/pics.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
0A,10,1,Battle Engine 4,battle engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
0B,11,0,Pics 3,pokemon/trainer graphics,gfx/pics.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
0B,11,1,Battle Engine 5,battle engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
0C,12,0,Pics 4,pokemon/trainer graphics,gfx/pics.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
0D,13,0,Pics 5,pokemon/trainer graphics,gfx/pics.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
0D,13,1,Slot Machines,minigame/feature engine,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
0E,14,0,Battle Engine 6,battle engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
0F,15,0,Battle Core,battle engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
10,16,0,bank10,mixed engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
11,17,0,Maps 5,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
11,17,1,Pokédex Rating,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
11,17,2,Maps 6,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
11,17,3,Dungeon Warps,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
12,18,0,Maps 7,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
12,18,1,Maps 8,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
13,19,0,Trainer Pics,pokemon/trainer graphics,gfx/pics.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
13,19,1,Maps 9,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
14,20,0,Maps 10,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
14,20,1,Hidden Events 2,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
15,21,0,Maps 11,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
15,21,1,Battle Engine 7,battle engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
15,21,2,Maps 12,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
15,21,3,Diploma,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
15,21,4,Trainer Sight,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
16,22,0,Maps 13,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
16,22,1,bank16,mixed engine/data,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
16,22,2,Maps 14,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
16,22,3,Saffron Guards,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
17,23,0,Maps 15,map,maps.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
17,23,1,Starter Dex,events/scripts,main.asm,e89ead154b9968aa50eed9328ff2b38b6c194382
