variant	bank	start	end	bytes
INTL	48	1205EE	123FFA	14860
INTL	49	12409C	127FFE	16226
INTL	4A	1280C9	12BFFE	16181
INTL	4B	12C000	12FF0E	16142
INTL	4C	130000	133FFF	16383
INTL	4D	134000	137FFF	16383
INTL	4E	138000	13C000	16384
INTL	4F	13C000	13FFF7	16375
INTL	50	140000	1411C1	4545
INTL	50	1413E9	141A2F	1606
INTL	50	141C43	142484	2113
INTL	50	14289F	142CB5	1046
INTL	50	142EBE	1432C9	1035
INTL	50	1434CD	144000	2867
INTL	51	144000	1447D1	2001
INTL	51	1449C0	144D9A	986
INTL	51	144F83	145535	1458
INTL	51	1458FE	146B97	4761
INTL	51	146D68	1472D7	1391
INTL	51	1474A5	147F67	2754
INTL	52	148000	148AA2	2722
INTL	52	148C66	148E29	451
INTL	52	1491AE	149370	450
INTL	52	1496F1	1498AF	446
INTL	52	149A6D	14A9CE	3937
INTL	52	14AB7A	14BDB2	4664
INTL	52	14BF55	14BFFB	166
INTL	53	14C000	14CE8E	3726
INTL	53	14D02A	14E7DD	6067
INTL	53	14EAF5	14F120	1579
INTL	53	14F2AA	150000	3414
INTL	54	150000	15030F	783
INTL	54	150496	1513B3	3869
INTL	54	151534	1519B3	1151
INTL	54	151E2D	152889	2652
INTL	54	152CF3	153158	1125
INTL	54	1532CF	153733	1124
INTL	54	1538A8	153B8E	742
INTL	54	153E72	153FE3	369
INTL	55	154000	1545C3	1475
INTL	55	154733	154FC7	2196
INTL	55	155132	156BD9	6823
INTL	55	156D3D	1576E6	2473
INTL	55	157846	157DC2	1404
INTL	55	157F20	158000	224
INTL	56	158000	15815E	350
INTL	56	158576	1586D3	349
INTL	56	15882F	158AE5	694
INTL	56	158C3F	1595A4	2405
INTL	56	1596FA	159AF7	1021
INTL	56	159C4A	15B7AD	7011
INTL	56	15BB84	15BCCB	327
INTL	56	15BF54	15BFFA	166
INTL	57	15C000	15C287	647
INTL	57	15C3CA	15CA16	1612
INTL	57	15CB58	15CDDA	642
INTL	57	15CF1B	15D19B	640
INTL	57	15D2DB	15D41B	320
INTL	57	15D55A	15DA4F	1269
INTL	57	15DB8B	15DF37	940
INTL	57	15E06F	15E1A7	312
INTL	57	15E413	15F270	3677
INTL	57	15F4CB	15F724	601
INTL	57	15FBD2	15FF4F	893
INTL	58	160000	160377	887
INTL	58	16049B	161322	3719
INTL	58	16166E	161CF3	1669
INTL	58	161E07	16202E	551
INTL	58	162141	162AAB	2410
INTL	58	162BB0	162DBA	522
INTL	58	162FC1	1633C3	1026
INTL	58	1634C0	163F66	2726
INTL	59	164000	1641E6	486
INTL	59	1642D7	16477E	1191
INTL	59	164869	164CF7	1166
INTL	59	164EC3	16508D	458
INTL	59	165172	16524A	216
INTL	59	16531D	1653EF	210
INTL	59	16558E	165659	203
INTL	59	165724	1657EA	198
INTL	59	1658AA	165969	191
INTL	59	165B93	165CF6	355
INTL	59	165F86	166019	147
JP	48	1205EE	123FFA	14860
JP	49	12409C	127FFE	16226
JP	4A	1280C9	12BFFE	16181
JP	4B	12C000	12FF0E	16142
JP	4C	130000	133FFF	16383
JP	4D	134000	138000	16384
JP	4E	138000	13C000	16384
JP	4F	13C000	140000	16384
JP	50	140000	1411C1	4545
JP	50	1413E9	141A2F	1606
JP	50	141E56	142697	2113
JP	50	142AB2	142EC8	1046
JP	50	1430D1	1436E0	1551
JP	50	1438E4	144000	1820
JP	51	144000	144DA5	3493
JP	51	144F8E	145540	1458
JP	51	145909	146D73	5226
JP	51	146F44	1472E2	926
JP	51	1474B0	147F72	2754
JP	52	148000	148AA2	2722
JP	52	148E29	148FEC	451
JP	52	1491AE	149370	450
JP	52	1496F1	149A6D	892
JP	52	149C2B	14A9CE	3491
JP	52	14AB7A	14BC0F	4245
JP	52	14BDB2	14BFFB	585
JP	53	14C000	14CCF2	3314
JP	53	14CE8E	14E7DD	6479
JP	53	14E969	14EC7F	790
JP	53	14EE0A	14EF95	395
JP	53	14F11F	150000	3809
JP	54	150000	15030F	783
JP	54	150496	151232	3484
JP	54	1513B3	1519B3	1536
JP	54	151E2D	152889	2652
JP	54	152CF3	153446	1875
JP	54	1535BD	153733	374
JP	54	1538A8	153B8E	742
JP	54	153E72	153FE3	369
JP	55	154000	154733	1843
JP	55	1548A3	155132	2191
JP	55	15529D	156D3D	6816
JP	55	156EA1	157586	1765
JP	55	1576E6	157C64	1406
JP	55	157DC2	158000	574
JP	56	15815E	1582BC	350
JP	56	158419	158576	349
JP	56	15882F	158AE5	694
JP	56	158C3F	15944E	2063
JP	56	1595A4	159D9D	2041
JP	56	159EF0	15B7AD	6333
JP	56	15BB84	15BCCB	327
JP	56	15BF54	15BFFA	166
JP	57	15C000	15C144	324
JP	57	15C287	15CA16	1935
JP	57	15CB58	15CDDA	642
JP	57	15CF1B	15D2DB	960
JP	57	15D41B	15D55A	319
JP	57	15D699	15DA4F	950
JP	57	15DB8B	15DF39	942
JP	57	15E071	15E2E1	624
JP	57	15E54D	15F27C	3375
JP	57	15F3AA	15F605	603
JP	57	15F98A	15FAB6	300
JP	57	15FD0C	15FF60	596
JP	58	160000	1604A0	1184
JP	58	1605C4	160B65	1441
JP	58	160C83	16132E	1707
JP	58	161448	161562	282
JP	58	161794	162040	2220
JP	58	162153	162BC1	2670
JP	58	162CC6	162DCB	261
JP	58	162FD2	1633D4	1026
JP	58	1634D1	163F77	2726
JP	59	164000	1642D9	729
JP	59	1643CA	164871	1191
JP	59	16495C	164DEA	1166
JP	59	164FB6	16509B	229
JP	59	165180	16533D	445
JP	59	165410	1654E2	210
JP	59	165681	16574C	203
JP	59	165817	1658DD	198
JP	59	16599D	165A5C	191
JP	59	165D36	165DE6	176
JP	59	166109	16619C	147
