species	variant	normal1_r5	normal1_g5	normal1_b5	normal2_r5	normal2_g5	normal2_b5	shiny1_r5	shiny1_g5	shiny1_b5	shiny2_r5	shiny2_g5	shiny2_b5	raw_hex
1	INTL	12	31	11	31	10	6	20	28	11	31	10	6	ec2f5f19942f5f19
1	JP	12	31	11	31	10	6	20	28	11	31	10	6	ec2f5f19942f5f19
2	INTL	12	31	11	31	10	16	20	28	11	31	24	9	ec2f5f41942f1f27
2	JP	12	31	11	31	10	16	20	28	11	31	24	9	ec2f5f41942f1f27
3	INTL	10	30	11	31	9	6	17	24	11	31	10	6	ca2f3f19912e5f19
3	JP	10	30	11	31	9	6	17	24	11	31	10	6	ca2f3f19912e5f19
4	INTL	31	21	9	27	10	7	31	22	0	22	8	5	bf265b1d	
4	JP	31	21	9	27	10	7	31	22	0	22	8	5	bf265b1d
5	INTL	30	18	11	27	5	8	30	20	0	24	8	4	5e2ebb205e2b180d
5	JP	30	18	11	27	5	8	30	20	0	24	8	4	5e2ebb205e2b180d
6	INTL	29	20	9	19	11	11	31	18	0	22	9	4	9d26732d5f4a3625
6	JP	29	20	9	19	11	11	31	18	0	22	9	4	9d26732d5f4a3625
7	INTL	22	25	21	11	21	19	12	23	31	7	11	20	3657ab4ecc7e672d
7	JP	22	25	21	11	21	19	12	23	31	7	11	20	3657ab4ecc7e672d
8	INTL	25	26	26	20	18	22	18	25	31	15	13	23	596b545a327fef5d
8	JP	25	26	26	20	18	22	18	25	31	15	13	23	596b545a327fef5d
9	INTL	21	21	20	6	12	19	16	22	31	5	8	22	b552864d907fc544
9	JP	21	21	20	6	12	19	16	22	31	5	8	22	b552864d907fc544
10	INTL	22	26	12	6	21	8	20	24	8	11	21	6	5633a62214326b1a
10	JP	22	26	12	6	21	8	20	24	8	11	21	6	5633a62214326b1a
11	INTL	17	24	10	13	17	11	20	25	8	10	17	6	112b2d2e34322a1a
11	JP	17	24	10	13	17	11	20	25	8	10	17	6	112b2d2e34322a1a
12	INTL	29	29	31	20	21	26	31	25	28	22	15	20	bd7fb46a3f73f64f
12	JP	29	29	31	20	21	26	31	25	28	22	15	20	bd7fb46a3f73f64f
13	INTL	29	23	15	25	14	2	30	21	14	26	11	0	fd3ed909be3b7a01
13	JP	29	23	15	25	14	2	30	21	14	26	11	0	fd3ed909be3b7a01
14	INTL	30	27	12	27	20	10	31	28	13	24	17	6	7e339b2a9f37f819
14	JP	30	27	12	27	20	10	31	28	13	24	17	6	7e339b2a9f37f819
15	INTL	30	29	28	25	20	15	31	28	24	24	18	14	be73993e9f63b248
15	JP	30	29	28	25	20	15	31	28	24	24	18	14	be73993e9f63b248
