bank_hex,semantic_role_summary,provenance
00,"vectors, header, home engine",summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
01,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
02,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
03,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
04,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
05,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
06,tileset graphics/data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
07,tileset graphics and audio,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
08,"clock, tileset, egg-move data",summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
09,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
0A,engine and trainer graphics,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
0B,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
0C,tileset data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
0D,battle effect commands,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
0E,trainer data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
0F,battle engine,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
10,evolution and learnset data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
11,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
12,Crystal feature code,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
13,graphics and engine,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
14,graphics and engine,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
15,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
16,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
17,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
18,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
19,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
1A,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
1B,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
1C,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
1D,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
1E,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
1F,map scripts / localized script data,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
20,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
21,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
22,Crystal feature code,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
23,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
24,engine/mixed,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
25,map headers/events,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
26,map scripts,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
27,map scripts,summarized from pret/pokecrystal layout.link pinned commit 7a7881d0d62e0ddbd82dcf10e7116807487ac651
