rom,table,offset,bank,entries,storage,entry_width,end_offset
JP,PokemonNames,0x05341A,0x14,251,fixed,5,0x053901
JP,MoveNames,0x04163B,0x10,251,terminated,,0x041C69
JP,ItemNames,0x0070FA,0x01,255,terminated,,0x007855
JP,TrainerClassNames,0x02D319,0x0B,67,terminated,,0x02D500
JP,BaseData,0x0514BA,0x14,251,fixed,32,0x05341A
JP,Moves,0x041C69,0x10,251,fixed,7,0x042346
EN0,PokemonNames,0x053384,0x14,251,fixed,10,0x053D52
EN0,MoveNames,0x1C9F29,0x72,251,terminated,,0x1CA896
EN0,ItemNames,0x1C8000,0x72,255,terminated,,0x1C8953
EN0,TrainerClassNames,0x02C1EF,0x0B,67,terminated,,0x02C41A
EN0,BaseData,0x051424,0x14,251,fixed,32,0x053384
EN0,Moves,0x041AFB,0x10,251,fixed,7,0x0421D8
EN1,PokemonNames,0x053384,0x14,251,fixed,10,0x053D52
EN1,MoveNames,0x1C9F29,0x72,251,terminated,,0x1CA896
EN1,ItemNames,0x1C8000,0x72,255,terminated,,0x1C8953
EN1,TrainerClassNames,0x02C1EF,0x0B,67,terminated,,0x02C41A
EN1,BaseData,0x051424,0x14,251,fixed,32,0x053384
EN1,Moves,0x041AFB,0x10,251,fixed,7,0x0421D8
DE,PokemonNames,0x05336E,0x14,251,fixed,10,0x053D3C
DE,MoveNames,0x1C9E9D,0x72,251,terminated,,0x1CA8B8
DE,ItemNames,0x1C8000,0x72,255,terminated,,0x1C8945
DE,TrainerClassNames,0x02C1EF,0x0B,67,terminated,,0x02C41D
DE,BaseData,0x05140E,0x14,251,fixed,32,0x05336E
DE,Moves,0x041AEB,0x10,251,fixed,7,0x0421C8
FR,PokemonNames,0x053377,0x14,251,fixed,10,0x053D45
FR,MoveNames,0x1C9F96,0x72,251,terminated,,0x1CA952
FR,ItemNames,0x1C8000,0x72,255,terminated,,0x1C8998
FR,TrainerClassNames,0x02C1EF,0x0B,67,terminated,,0x02C428
FR,BaseData,0x051417,0x14,251,fixed,32,0x053377
FR,Moves,0x041B06,0x10,251,fixed,7,0x0421E3
IT,PokemonNames,0x053393,0x14,251,fixed,10,0x053D61
IT,MoveNames,0x1C9E86,0x72,251,terminated,,0x1CA887
IT,ItemNames,0x1C8000,0x72,255,terminated,,0x1C8998
IT,TrainerClassNames,0x02C1EF,0x0B,67,terminated,,0x02C430
IT,BaseData,0x051433,0x14,251,fixed,32,0x053393
IT,Moves,0x041AFA,0x10,251,fixed,7,0x0421D7
ES,PokemonNames,0x05338D,0x14,251,fixed,10,0x053D5B
ES,MoveNames,0x1CA045,0x72,251,terminated,,0x1CAA87
ES,ItemNames,0x1C8000,0x72,255,terminated,,0x1C898F
ES,TrainerClassNames,0x02C1EF,0x0B,67,terminated,,0x02C424
ES,BaseData,0x05142D,0x14,251,fixed,32,0x05338D
ES,Moves,0x041B0E,0x10,251,fixed,7,0x0421EB
