a,b,file_a,file_b,different_bytes,percent_of_rom
JP,EN-RevA,Pocket Monsters - Crystal Version (Japan).gbc,"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",1187088,56.604767
JP,EN-Rev0,Pocket Monsters - Crystal Version (Japan).gbc,"Pokemon - Crystal Version (USA, Europe).gbc",1187082,56.604481
JP,ES,Pocket Monsters - Crystal Version (Japan).gbc,Pokemon - Edicion Cristal (Spain).gbc,1215457,57.957506
JP,DE,Pocket Monsters - Crystal Version (Japan).gbc,Pokemon - Kristall-Edition (Germany).gbc,1237025,58.985949
JP,FR,Pocket Monsters - Crystal Version (Japan).gbc,Pokemon - Version Cristal (France).gbc,1194768,56.970978
JP,IT,Pocket Monsters - Crystal Version (Japan).gbc,Pokemon - Versione Cristallo (Italy).gbc,1207507,57.578421
EN-RevA,EN-Rev0,"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc","Pokemon - Crystal Version (USA, Europe).gbc",584,0.027847
EN-RevA,ES,"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",Pokemon - Edicion Cristal (Spain).gbc,753649,35.936785
EN-RevA,DE,"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",Pokemon - Kristall-Edition (Germany).gbc,801812,38.233376
EN-RevA,FR,"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",Pokemon - Version Cristal (France).gbc,755815,36.040068
EN-RevA,IT,"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",Pokemon - Versione Cristallo (Italy).gbc,764775,36.467314
EN-Rev0,ES,"Pokemon - Crystal Version (USA, Europe).gbc",Pokemon - Edicion Cristal (Spain).gbc,753753,35.941744
EN-Rev0,DE,"Pokemon - Crystal Version (USA, Europe).gbc",Pokemon - Kristall-Edition (Germany).gbc,802376,38.260269
EN-Rev0,FR,"Pokemon - Crystal Version (USA, Europe).gbc",Pokemon - Version Cristal (France).gbc,756380,36.067009
EN-Rev0,IT,"Pokemon - Crystal Version (USA, Europe).gbc",Pokemon - Versione Cristallo (Italy).gbc,765339,36.494207
ES,DE,Pokemon - Edicion Cristal (Spain).gbc,Pokemon - Kristall-Edition (Germany).gbc,774436,36.927986
ES,FR,Pokemon - Edicion Cristal (Spain).gbc,Pokemon - Version Cristal (France).gbc,734600,35.028458
ES,IT,Pokemon - Edicion Cristal (Spain).gbc,Pokemon - Versione Cristallo (Italy).gbc,726997,34.665918
DE,FR,Pokemon - Kristall-Edition (Germany).gbc,Pokemon - Version Cristal (France).gbc,762976,36.381531
DE,IT,Pokemon - Kristall-Edition (Germany).gbc,Pokemon - Versione Cristallo (Italy).gbc,762218,36.345387
FR,IT,Pokemon - Version Cristal (France).gbc,Pokemon - Versione Cristallo (Italy).gbc,719613,34.313822
