page_hex,role,bank_hex,bank_tile_offset_hex,file_offset_hex,nonblank_slots,blank_slots,unique_tiles,sha256,duplicate_base_page
0x00,BASE_GLYPH_PAGE,0x78,0x000,0x1E0000,65,191,66,bcd73e84d252c624ad8167b6cee2c8bec4910f809b2c447d8763a2cdba670daf,True
0x01,TWO_BYTE_GLYPH_PAGE,0x78,0x100,0x1E1000,235,21,236,5c085e935a65a782f7df17a7f2f43cbab5e770fb401dac1b7976547ae6074869,False
0x02,TWO_BYTE_GLYPH_PAGE,0x78,0x200,0x1E2000,234,22,235,7005eb418835d380ef9ca7efc828ccde40c04896982a82506e1fa84e1946fc85,False
0x03,TWO_BYTE_GLYPH_PAGE,0x78,0x300,0x1E3000,235,21,236,a677a486274d155eee055c0e91b5973dec639132363d0d47d348e5bf965b231b,False
0x04,TWO_BYTE_GLYPH_PAGE,0x79,0x000,0x1E4000,235,21,236,5f5b2eef6f7ed81ac5d6fd6df18af2675c7b5d74bfb2344679e64646375e72bc,False
0x05,TWO_BYTE_GLYPH_PAGE,0x79,0x100,0x1E5000,235,21,236,57bc1030712c84d8314e0f6d8f5f7a01fb053af658faeae623b3b8b540c79177,False
0x06,TWO_BYTE_GLYPH_PAGE,0x79,0x200,0x1E6000,238,18,239,6bc493a46a67532a1d52163a6f1d1c50c608cf282ec624da670101fca1e3b7cf,False
0x07,TWO_BYTE_GLYPH_PAGE,0x79,0x300,0x1E7000,235,21,236,53e5eb67162b273048e4af4425de51621f28c5d43131a02e67bce22d9681adda,False
0x08,TWO_BYTE_GLYPH_PAGE,0x7A,0x000,0x1E8000,236,20,237,853ee568a216b628226bd859dc6da265c811d29196d0991fb1753d86f7d20e90,False
0x09,TWO_BYTE_GLYPH_PAGE,0x7A,0x100,0x1E9000,235,21,236,67af2ce6180a54db0ad868605d21ce8b02eaca27e4974ef47f69d0bca678299b,False
0x0A,TWO_BYTE_GLYPH_PAGE,0x7A,0x200,0x1EA000,235,21,236,5b1c9fe163ba46a7f80ddda88546a98df812d4b9ce01c4d366829f2898b88710,False
0x0B,BASE_GLYPH_PAGE,0x7A,0x300,0x1EB000,65,191,66,bcd73e84d252c624ad8167b6cee2c8bec4910f809b2c447d8763a2cdba670daf,True
