version,dex_number,pointer_index_zero_based,pointer_table_bank_hex,pointer_table_cpu_address_hex,pointer_table_file_offset_hex,pointer_raw_hex,target_bank_hex,target_cpu_address_hex,target_file_offset_hex,verified
KOREAN_GOLD,1,0,0x11,0x42FF,0x0442FF,00 40,0x68,0x4000,0x1A0000,True
KOREAN_GOLD,2,1,0x11,0x4301,0x044301,46 40,0x68,0x4046,0x1A0046,True
KOREAN_GOLD,3,2,0x11,0x4303,0x044303,8b 40,0x68,0x408B,0x1A008B,True
KOREAN_GOLD,4,3,0x11,0x4305,0x044305,d1 40,0x68,0x40D1,0x1A00D1,True
KOREAN_GOLD,5,4,0x11,0x4307,0x044307,1e 41,0x68,0x411E,0x1A011E,True
KOREAN_GOLD,6,5,0x11,0x4309,0x044309,7c 41,0x68,0x417C,0x1A017C,True
KOREAN_GOLD,7,6,0x11,0x430B,0x04430B,c1 41,0x68,0x41C1,0x1A01C1,True
KOREAN_GOLD,8,7,0x11,0x430D,0x04430D,20 42,0x68,0x4220,0x1A0220,True
KOREAN_GOLD,9,8,0x11,0x430F,0x04430F,7c 42,0x68,0x427C,0x1A027C,True
KOREAN_GOLD,10,9,0x11,0x4311,0x044311,c6 42,0x68,0x42C6,0x1A02C6,True
KOREAN_GOLD,11,10,0x11,0x4313,0x044313,15 43,0x68,0x4315,0x1A0315,True
KOREAN_GOLD,12,11,0x11,0x4315,0x044315,73 43,0x68,0x4373,0x1A0373,True
KOREAN_GOLD,13,12,0x11,0x4317,0x044317,ca 43,0x68,0x43CA,0x1A03CA,True
KOREAN_GOLD,14,13,0x11,0x4319,0x044319,1c 44,0x68,0x441C,0x1A041C,True
KOREAN_GOLD,15,14,0x11,0x431B,0x04431B,74 44,0x68,0x4474,0x1A0474,True
KOREAN_GOLD,16,15,0x11,0x431D,0x04431D,c3 44,0x68,0x44C3,0x1A04C3,True
KOREAN_GOLD,17,16,0x11,0x431F,0x04431F,25 45,0x68,0x4525,0x1A0525,True
KOREAN_GOLD,18,17,0x11,0x4321,0x044321,75 45,0x68,0x4575,0x1A0575,True
KOREAN_GOLD,19,18,0x11,0x4323,0x044323,c4 45,0x68,0x45C4,0x1A05C4,True
KOREAN_GOLD,20,19,0x11,0x4325,0x044325,23 46,0x68,0x4623,0x1A0623,True
KOREAN_GOLD,21,20,0x11,0x4327,0x044327,78 46,0x68,0x4678,0x1A0678,True
KOREAN_GOLD,22,21,0x11,0x4329,0x044329,c4 46,0x68,0x46C4,0x1A06C4,True
