comparison_id,comparison_key,left_filename,right_filename,left_revision,right_revision,left_size_bytes,right_size_bytes,identical,differing_byte_count,difference_range_count,differing_bank_count,differing_banks_hex
624ea5d07401,GENERATION-II|CRYSTAL|USA-EUROPE-EN,"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc","Pokemon - Crystal Version (USA, Europe).gbc",REV-A,REV-0,2097152,2097152,False,584,79,8,0x00 0x10 0x11 0x3E 0x47 0x5C 0x7E 0x7F
e0f4be9fe911,GENERATION-II|GOLD|JAPAN-JA,Pocket Monsters Kin (Japan) (Rev A).gbc,Pocket Monsters Kin (Japan).gbc,REV-A,REV-0,1048576,1048576,False,10841,426,10,0x00 0x04 0x05 0x09 0x0A 0x0F 0x14 0x21 0x23 0x24
a929a2d57462,GENERATION-II|SILVER|JAPAN-JA,Pocket Monsters Gin (Japan) (Rev A).gbc,Pocket Monsters Gin (Japan).gbc,REV-A,REV-0,1048576,1048576,False,19150,826,16,0x00 0x01 0x03 0x04 0x05 0x09 0x0A 0x0B 0x0F 0x14 0x21 0x23 0x24 0x25 0x3E 0x3F
cbebbd0cee47,GENERATION-I|GREEN|JAPAN-JA,Pocket Monsters - Midori (Japan) (Rev A) (SGB Enhanced).gb,Pocket Monsters - Midori (Japan) (SGB Enhanced).gb,REV-A,REV-0,524288,524288,False,46168,5436,31,0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x0E 0x0F 0x10 0x11 0x12 0x13 0x14 0x15 0x16 0x17 0x18 0x19 0x1A 0x1C 0x1D 0x1E 0x1F
da88f31448c0,GENERATION-I|PIKACHU|JAPAN-JA,Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,REV-0A,REV-B,1048576,1048576,False,307668,8113,61,0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x0E 0x0F 0x10 0x11 0x12 0x13 0x14 0x15 0x16 0x17 0x18 0x1A 0x1C 0x1D 0x1E 0x1F 0x20 0x21 0x22 0x23 0x24 0x25 0x26 0x27 0x28 0x29 0x2A 0x2B 0x2C 0x2D 0x2E 0x2F 0x30 0x31 0x33 0x34 0x35 0x36 0x37 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F
84ac296a94a8,GENERATION-I|PIKACHU|JAPAN-JA,Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,REV-0A,REV-C,1048576,1048576,False,307683,8097,61,0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x0E 0x0F 0x10 0x11 0x12 0x13 0x14 0x15 0x16 0x17 0x18 0x1A 0x1C 0x1D 0x1E 0x1F 0x20 0x21 0x22 0x23 0x24 0x25 0x26 0x27 0x28 0x29 0x2A 0x2B 0x2C 0x2D 0x2E 0x2F 0x30 0x31 0x33 0x34 0x35 0x36 0x37 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F
3f21c13e4141,GENERATION-I|PIKACHU|JAPAN-JA,Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,REV-0A,REV-D,1048576,1048576,False,320147,16944,61,0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x0E 0x0F 0x10 0x11 0x12 0x13 0x14 0x15 0x16 0x17 0x18 0x1A 0x1C 0x1D 0x1E 0x1F 0x20 0x21 0x22 0x23 0x24 0x25 0x26 0x27 0x28 0x29 0x2A 0x2B 0x2C 0x2D 0x2E 0x2F 0x30 0x31 0x33 0x34 0x35 0x36 0x37 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F
3a35b05c8029,GENERATION-I|PIKACHU|JAPAN-JA,Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,REV-B,REV-C,1048576,1048576,False,39485,32801,60,0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x0E 0x0F 0x10 0x11 0x12 0x13 0x14 0x15 0x16 0x17 0x18 0x1A 0x1C 0x1D 0x1E 0x1F 0x20 0x21 0x22 0x23 0x24 0x25 0x26 0x27 0x28 0x29 0x2A 0x2B 0x2C 0x2D 0x2E 0x2F 0x30 0x31 0x34 0x35 0x36 0x37 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F
0551df51946f,GENERATION-I|PIKACHU|JAPAN-JA,Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,REV-B,REV-D,1048576,1048576,False,247838,22172,61,0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x0E 0x0F 0x10 0x11 0x12 0x13 0x14 0x15 0x16 0x17 0x18 0x1A 0x1C 0x1D 0x1E 0x1F 0x20 0x21 0x22 0x23 0x24 0x25 0x26 0x27 0x28 0x29 0x2A 0x2B 0x2C 0x2D 0x2E 0x2F 0x30 0x31 0x33 0x34 0x35 0x36 0x37 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F
8e9b28946cfa,GENERATION-I|PIKACHU|JAPAN-JA,Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,REV-C,REV-D,1048576,1048576,False,245538,22275,61,0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x0E 0x0F 0x10 0x11 0x12 0x13 0x14 0x15 0x16 0x17 0x18 0x1A 0x1C 0x1D 0x1E 0x1F 0x20 0x21 0x22 0x23 0x24 0x25 0x26 0x27 0x28 0x29 0x2A 0x2B 0x2C 0x2D 0x2E 0x2F 0x30 0x31 0x33 0x34 0x35 0x36 0x37 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F
2e1b73b2d965,GENERATION-I|RED|JAPAN-JA,Pocket Monsters - Aka (Japan) (Rev A) (SGB Enhanced).gb,Pocket Monsters - Aka (Japan) (SGB Enhanced).gb,REV-A,REV-0,524288,524288,False,46167,5437,31,0x00 0x01 0x02 0x03 0x04 0x05 0x06 0x07 0x08 0x09 0x0A 0x0B 0x0C 0x0D 0x0E 0x0F 0x10 0x11 0x12 0x13 0x14 0x15 0x16 0x17 0x18 0x19 0x1A 0x1C 0x1D 0x1E 0x1F
