a,b,bytes_a,bytes_b,common_bank_positions,identical_bank_positions,common_4k_chunk_positions,identical_4k_chunk_positions
KR/REV-0,JP/REV-0,2097152,1048576,64,20,256,94
KR/REV-0,JP/REV-A,2097152,1048576,64,20,256,94
KR/REV-0,USA-EUROPE/REV-0,2097152,2097152,128,29,512,222
KR/REV-0,DE/REV-0,2097152,2097152,128,27,512,205
KR/REV-0,FR/REV-0,2097152,2097152,128,27,512,213
KR/REV-0,IT/REV-0,2097152,2097152,128,27,512,217
KR/REV-0,ES/REV-0,2097152,2097152,128,27,512,220
JP/REV-0,JP/REV-A,1048576,1048576,64,54,256,239
JP/REV-0,USA-EUROPE/REV-0,1048576,2097152,64,8,256,43
JP/REV-0,DE/REV-0,1048576,2097152,64,8,256,43
JP/REV-0,FR/REV-0,1048576,2097152,64,8,256,43
JP/REV-0,IT/REV-0,1048576,2097152,64,8,256,43
JP/REV-0,ES/REV-0,1048576,2097152,64,8,256,43
JP/REV-A,USA-EUROPE/REV-0,1048576,2097152,64,8,256,43
JP/REV-A,DE/REV-0,1048576,2097152,64,8,256,43
JP/REV-A,FR/REV-0,1048576,2097152,64,8,256,43
JP/REV-A,IT/REV-0,1048576,2097152,64,8,256,43
JP/REV-A,ES/REV-0,1048576,2097152,64,8,256,43
USA-EUROPE/REV-0,DE/REV-0,2097152,2097152,128,47,512,282
USA-EUROPE/REV-0,FR/REV-0,2097152,2097152,128,47,512,290
USA-EUROPE/REV-0,IT/REV-0,2097152,2097152,128,47,512,294
USA-EUROPE/REV-0,ES/REV-0,2097152,2097152,128,47,512,294
DE/REV-0,FR/REV-0,2097152,2097152,128,48,512,286
DE/REV-0,IT/REV-0,2097152,2097152,128,47,512,287
DE/REV-0,ES/REV-0,2097152,2097152,128,47,512,285
FR/REV-0,IT/REV-0,2097152,2097152,128,47,512,295
FR/REV-0,ES/REV-0,2097152,2097152,128,47,512,295
IT/REV-0,ES/REV-0,2097152,2097152,128,48,512,302
