a,b,different_bytes,equal_bytes,identity
KR-REV-0,JP-REV-0,15052,1332,0.081299
KR-REV-0,JP-REV-A,15053,1331,0.081238
KR-REV-0,USA-EUROPE-REV-0,14820,1564,0.095459
KR-REV-0,DE-REV-0,14971,1413,0.086243
KR-REV-0,FR-REV-0,14978,1406,0.085815
KR-REV-0,IT-REV-0,14947,1437,0.087708
KR-REV-0,ES-REV-0,14946,1438,0.087769
JP-REV-0,JP-REV-A,5,16379,0.999695
JP-REV-0,USA-EUROPE-REV-0,14935,1449,0.088440
JP-REV-0,DE-REV-0,14921,1463,0.089294
JP-REV-0,FR-REV-0,14859,1525,0.093079
JP-REV-0,IT-REV-0,14925,1459,0.089050
JP-REV-0,ES-REV-0,14807,1577,0.096252
JP-REV-A,USA-EUROPE-REV-0,14936,1448,0.088379
JP-REV-A,DE-REV-0,14922,1462,0.089233
JP-REV-A,FR-REV-0,14860,1524,0.093018
JP-REV-A,IT-REV-0,14925,1459,0.089050
JP-REV-A,ES-REV-0,14808,1576,0.096191
USA-EUROPE-REV-0,DE-REV-0,11991,4393,0.268127
USA-EUROPE-REV-0,FR-REV-0,11944,4440,0.270996
USA-EUROPE-REV-0,IT-REV-0,11943,4441,0.271057
USA-EUROPE-REV-0,ES-REV-0,12071,4313,0.263245
DE-REV-0,FR-REV-0,12014,4370,0.266724
DE-REV-0,IT-REV-0,11579,4805,0.293274
DE-REV-0,ES-REV-0,10922,5462,0.333374
FR-REV-0,IT-REV-0,11951,4433,0.270569
FR-REV-0,ES-REV-0,11800,4584,0.279785
IT-REV-0,ES-REV-0,11856,4528,0.276367
