family,normalized_sha256_16,instruction_count,normalized_sequence,version_count,versions
F001,abcc92451ea5a6aa,1,jp $IMM,8,DE-REV-0 ES-REV-0 FR-REV-0 IT-REV-0 JP-REV-0 JP-REV-A KR-REV-0 USA-EUROPE-REV-0
F002,eba6c38223ebfd9f,8,rst $IMM | nop | nop | nop | nop | nop | nop | nop,7,DE-REV-0 ES-REV-0 FR-REV-0 IT-REV-0 JP-REV-0 JP-REV-A USA-EUROPE-REV-0
F003,26924099ca7b53f8,1,reti,8,DE-REV-0 ES-REV-0 FR-REV-0 IT-REV-0 JP-REV-0 JP-REV-A KR-REV-0 USA-EUROPE-REV-0
F004,3fda10ba50840f62,2,call $IMM | jr $IMM,8,DE-REV-0 ES-REV-0 FR-REV-0 IT-REV-0 JP-REV-0 JP-REV-A KR-REV-0 USA-EUROPE-REV-0
F005,85526a7c3917acdd,5,"dec c | jr nz,$IMM | dec b | jr nz,$IMM | ret",8,DE-REV-0 ES-REV-0 FR-REV-0 IT-REV-0 JP-REV-0 JP-REV-A KR-REV-0 USA-EUROPE-REV-0
F006,a7c672f478632da6,2,di | jp $IMM,8,DE-REV-0 ES-REV-0 FR-REV-0 IT-REV-0 JP-REV-0 JP-REV-A KR-REV-0 USA-EUROPE-REV-0
F007,2cff65c6e05f78cb,6,"halt | nop | ld a,[$IMM] | and a | jr nz,$IMM | ret",8,DE-REV-0 ES-REV-0 FR-REV-0 IT-REV-0 JP-REV-0 JP-REV-A KR-REV-0 USA-EUROPE-REV-0
F008,8f444df1a13fc64d,3,inc b | inc c | jr $IMM,8,DE-REV-0 ES-REV-0 FR-REV-0 IT-REV-0 JP-REV-0 JP-REV-A KR-REV-0 USA-EUROPE-REV-0
F009,0cdf1a213c7fe587,1,jp hl,8,DE-REV-0 ES-REV-0 FR-REV-0 IT-REV-0 JP-REV-0 JP-REV-A KR-REV-0 USA-EUROPE-REV-0
F010,8f87ebe36f353793,19,"ld [$IMM],a | ldh a,[$IMM+$IMM] | push af | ld a,$IMM | rst $IMM | call $IMM | rst $IMM | ld hl,$IMM | push hl | ld a,[$IMM] | ld h,a | ld a,[$IMM] | ld l,a | push hl | ld a,[$IMM] | ld h,a | ld a,[$IMM] | ld l,a | ret",8,DE-REV-0 ES-REV-0 FR-REV-0 IT-REV-0 JP-REV-0 JP-REV-A KR-REV-0 USA-EUROPE-REV-0
