kr_address,kr_label,usa_address,usa_label,match_kind,score,kr_insns,usa_insns,address_delta
0x0000,ResetVector,0x0000,ResetVector,semantic-anchor,1.000000,2,2,+0
0x0008,FarCall,0x0008,FarCall,semantic-anchor,1.000000,1,1,+0
0x0010,Bankswitch,0x0010,Bankswitch,semantic-anchor,1.000000,3,3,+0
0x0018,Rst18Trap,0x0018,Rst18Trap,semantic-anchor,0.000000,3,8,+0
0x001E,loc_001e,,,unmatched,0.066667,1,,
0x0020,Rst20Trap,0x0020,Rst20Trap,semantic-anchor,0.000000,3,8,+0
0x0028,JumpTable,0x0028,JumpTable,semantic-anchor,1.000000,10,10,+0
0x0038,Rst38Trap,0x0038,Rst38Trap,semantic-anchor,0.050000,2,8,+0
0x003B,loc_003b,,,unmatched,0.428571,3,,
0x0040,VBlankVector,0x0040,VBlankVector,semantic-anchor,1.000000,1,1,+0
0x0048,LCDVector,0x0048,LCDVector,semantic-anchor,1.000000,1,1,+0
0x0050,TimerVector,0x0050,TimerVector,semantic-anchor,1.000000,1,1,+0
0x0058,SerialVector,0x0058,SerialVector,semantic-anchor,1.000000,1,1,+0
0x0060,JoypadVector,0x0060,JoypadVector,semantic-anchor,1.000000,1,1,+0
0x0100,Start,0x0100,Start,semantic-anchor,1.000000,2,2,+0
0x0150,VBlank,0x0150,VBlank,semantic-anchor,1.000000,17,17,+0
0x032E,loc_032e,0x032E,loc_032e,exact-normalized,1.000000,2,2,+0
0x0333,loc_0333,0x0333,loc_0333,exact-normalized,1.000000,6,6,+0
0x041B,LCD,0x041B,LCD,semantic-anchor,0.772059,17,15,+0
0x0434,loc_0434,0x0430,loc_0430,exact-normalized,1.000000,2,2,-4
0x05CA,_Start,0x05C6,_Start,semantic-anchor,0.711111,5,4,-4
0x05D3,loc_05d3,,,unmatched,0.355556,5,,
0x05DC,loc_05dc,0x05CF,loc_05cf,exact-normalized,1.000000,20,20,-13
0x0603,loc_0603,0x05F6,loc_05f6,exact-normalized,1.000000,7,7,-13
0x0612,loc_0612,0x0605,loc_0605,fuzzy-normalized,0.793651,60,66,-13
0x068D,loc_068d,0x068E,loc_068e,exact-normalized,1.000000,5,5,+1
0x0698,Serial,0x06AA,Serial,semantic-anchor,1.000000,22,22,+18
0x06C0,loc_06c0,0x06D2,loc_06d2,exact-normalized,1.000000,2,2,+18
0x06C5,loc_06c5,0x06D7,loc_06d7,exact-normalized,1.000000,5,5,+18
0x06CF,loc_06cf,0x06E1,loc_06e1,exact-normalized,1.000000,8,8,+18
0x06DE,loc_06de,0x06F0,loc_06f0,exact-normalized,1.000000,8,8,+18
0x06EE,loc_06ee,0x0700,loc_0700,exact-normalized,1.000000,2,2,+18
0x06F1,loc_06f1,0x0703,loc_0703,exact-normalized,1.000000,4,4,+18
0x06F9,loc_06f9,0x070B,loc_070b,exact-normalized,1.000000,5,5,+18
0x08D2,Joypad,0x08DF,Joypad,semantic-anchor,1.000000,1,1,+13
0x1F10,loc_1f10,0x1EB3,loc_1eb3,exact-normalized,1.000000,8,8,-93
0x2EAE,FarCall_hl,0x2E27,FarCall_hl,semantic-anchor,1.000000,18,18,-135
0x2ECF,loc_2ecf,0x2E48,loc_2e48,exact-normalized,1.000000,1,1,-135
0x2ED0,loc_2ed0,0x2E49,loc_2e49,exact-normalized,1.000000,19,19,-135
0x31A7,loc_31a7,0x30FF,loc_30ff,exact-normalized,1.000000,3,3,-168
0x31AD,loc_31ad,0x3105,loc_3105,exact-normalized,1.000000,4,4,-168
0x31F4,loc_31f4,0x314C,loc_314c,exact-normalized,1.000000,3,3,-168
0x31F8,loc_31f8,0x3150,loc_3150,exact-normalized,1.000000,1,1,-168
0x31F9,loc_31f9,0x3151,loc_3151,exact-normalized,1.000000,5,5,-168
0x3D1A,loc_3d1a,0x3D4F,loc_3d4f,exact-normalized,1.000000,18,18,+53
