symbol,KR-REV-0,JP-REV-0,JP-REV-A,USA-EUROPE-REV-0,DE-REV-0,FR-REV-0,IT-REV-0,ES-REV-0
ResetVector,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
FarCall,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008
Bankswitch,0x0010,0x0010,0x0010,0x0010,0x0010,0x0010,0x0010,0x0010
JumpTable,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028
VBlankVector,0x0040,0x0040,0x0040,0x0040,0x0040,0x0040,0x0040,0x0040
LCDVector,0x0048,0x0048,0x0048,0x0048,0x0048,0x0048,0x0048,0x0048
TimerVector,0x0050,0x0050,0x0050,0x0050,0x0050,0x0050,0x0050,0x0050
SerialVector,0x0058,0x0058,0x0058,0x0058,0x0058,0x0058,0x0058,0x0058
JoypadVector,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060,0x0060
Start,0x0100,0x0100,0x0100,0x0100,0x0100,0x0100,0x0100,0x0100
VBlank,0x0150,0x0150,0x0150,0x0150,0x0150,0x0150,0x0150,0x0150
LCD,0x041B,0x041B,0x041B,0x041B,0x041B,0x041B,0x041B,0x041B
_Start,0x05CA,0x05C5,0x05C5,0x05C6,0x05C6,0x05C6,0x05C6,0x05C6
Serial,0x0698,0x06A9,0x06A9,0x06AA,0x06AA,0x06AA,0x06AA,0x06AA
Joypad,0x08D2,0x08DE,0x08DE,0x08DF,0x08DF,0x08DF,0x08DF,0x08DF
FarCall_hl,0x2EAE,0x2DE3,0x2DE3,0x2E27,0x2E54,0x2E39,0x2E4C,0x2E4B
