bank,role_reference,sha1,entropy,unique_bytes,zero_fraction,ff_fraction,nonzero_bytes,trailing_zero_run,trailing_ff_run,all_zero,all_ff
00,Header/Home/RST/interrupts,414b7cbc2347aa7665be19f5fcbbe23132a808f7,7.037544,256,0.041077,0.006409,15711,27,0,False,False
01,Core engine/menu/items,a7edbdea12c2c0522b98047ffafd0e81b1056394,5.971507,255,0.264038,0.005615,12058,2682,0,False,False
02,Palette/player/math/predef,3d7d6d7fe484ac311c8f77872415c65144abaa9c,6.591062,255,0.172913,0.036926,13551,966,0,False,False
03,Events/items/pokemon core,052175f515f6f0b6c4b80a38b750c7a5f4a4b373,6.790443,256,0.116150,0.004395,14481,1527,0,False,False
04,Movement/menus/naming/events,6b603346018456f35a03f3cf05ba764dff17f156,6.901005,256,0.075867,0.062683,15141,535,0,False,False
05,RTC/overworld/save/marts/breeding,26354d4261c044851e100b79a8f14f24f1fb7f91,6.695526,256,0.149780,0.019165,13930,1926,0,False,False
06,Tileset Data 1,7b4fccb4ae71a46fce526280574c6ef0f33a4ffb,6.139475,254,0.147522,0.019531,13967,1276,0,False,False
07,Roofs/Tileset Data 2/Extra Songs 1,f5ca65f4856c3cd555c9fcfffb7f95b0caf7b4a3,6.565594,256,0.099731,0.053284,14750,67,0,False,False
08,Clock Reset/Tileset Data 3/Catch Tutorial/Egg Moves,5c5de6dd3031103ebdb373bd13fa62d16ba50a85,6.544740,256,0.133789,0.074158,14192,449,0,False,False
09,Menus/text buffers/battle menu,dbe61a807fa50451a1006e9ab745360916a7ce9d,6.785466,256,0.153259,0.022156,13873,1050,0,False,False
0A,Link/Mystery Gift/Wildmons,946d6cbe7cc78a55d2434b6c61321a91c07cd108,7.057955,256,0.039856,0.006775,15731,157,0,False,False
0B,Descriptions/trainers/TMHM/Pokerus,20686275d2cc70ca1ef282c48d0e50c59d56ecab,1.700949,238,0.844604,0.000549,2546,13775,0,False,False
0C,Tileset Data 4,dcf5777c6f8295847a8ff24f2512aa4376d83152,6.468876,256,0.136597,0.048096,14146,639,0,False,False
0D,Effect Commands,fc8c053fd7a03fa2ad1d670cb3da46ec71b9fea0,6.856663,256,0.014343,0.005127,16149,95,0,False,False
0E,Enemy Trainers,e4ea53d9d437f5387e64b3bf9f913feee09ae0ee,6.606154,256,0.178284,0.031982,13463,2275,0,False,False
0F,Battle Core,1a32421d9a65b0edd072cb8175c727deccb3d1d5,7.010585,256,0.036682,0.006409,15783,333,0,False,False
10,Pokedex/moves/evolution,d032fb0288b6e66060e0fe70d984ec25a6301613,7.113087,256,0.102356,0.024170,14707,438,0,False,False
11,AI/Pokedex2/events,747cf449526577b86d9d492fe4bb7ad78215ce3e,1.771668,245,0.840820,0.000427,2608,13672,0,False,False
12,Pic pointers/Pics 1,f542e6575f664d854951007d20e8bad866dfb059,7.215595,256,0.036316,0.051636,15789,0,1,False,False
13,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
14,Party/base stats/names/pics loader,20c3fbd5ea4c5f193a856dbca67ee812313cc4f7,6.553153,256,0.207458,0.005859,12985,1270,0,False,False
15,Pics 2,030a1e5e59c170150c9e53c0bb69544d7c843a9e,7.057159,256,0.041565,0.059021,15703,0,1,False,False
16,Pics 3,93154455f05ab8f9b1e120cf59879f3ec8f39346,7.022613,256,0.048279,0.052307,15593,48,0,False,False
17,Pics 4,4775f87270761532488936ae4f373b32867677df,6.987928,256,0.047729,0.057129,15602,0,1,False,False
18,Pics 5,e7cdd41337906bffc46e0b0aadc4d4388ecd382e,6.879397,256,0.061584,0.064331,15375,81,0,False,False
19,Pics 6,1fbdea21338738562567cfb197ed74109bf4fbcb,6.894603,256,0.054443,0.062683,15492,77,0,False,False
1A,Pics 7,e722488ad939479804d3a5f0d9d3f317f3de1258,6.929319,256,0.047180,0.058716,15611,4,0,False,False
1B,Pics 8,caafbea2bbe56bf62f6e22288601abee5b4e2fa2,6.927746,256,0.051086,0.058777,15547,0,1,False,False
1C,Pics 9,cbbe87b9244aa1d6ac7f7a1073a7415c1d1f6a29,6.902482,256,0.049744,0.062683,15569,1,0,False,False
1D,Pics 10,c6f4725b609098b6d8948c6a200fedf628096a65,6.855142,256,0.053955,0.057129,15500,79,0,False,False
1E,Pics 11,b2f4134fa509d9e5855b7a9f50a08d3ec645ba2e,6.838063,256,0.056519,0.062012,15458,0,1,False,False
1F,Unown pic pointers/Pics 12,3ba2831e2e8005ebdc561c0e00691eb2aecaac1f,7.093543,256,0.043274,0.052307,15675,1,0,False,False
20,Trainer pic pointers/Pics 13,181875d6406e61a1f42630decfd8893e53e483b9,7.026915,256,0.043823,0.057861,15666,64,0,False,False
21,Printer/Battle anim GFX/Hall of Fame/Credits,d693ccce973dd677ea9129ade18c8673f5a79f30,6.446249,256,0.167419,0.078308,13641,1028,0,False,False
22,unassigned/padding/unknown,897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.000000,1,1.000000,0.000000,0,16384,0,True,False
23,"Save/phone tilemap, field moves, sprite anims, icons",9d864bbc432a4e60e469ec92901d332b4099b7b8,6.764812,256,0.140442,0.014465,14083,443,0,False,False
24,Phone/RTC/Pokegear/landmarks/slot machine,7cb9a752d6d1dc0007101ca26c617aa1baa3fb57,6.763489,256,0.136902,0.014526,14141,1641,0,False,False
25,Maps/Events,af4d6c3f60ce8377f28375054c48895c397f325e,6.885397,256,0.092102,0.002197,14875,587,0,False,False
26,Title Screen,a4431d5116e96b9cf8d723c43bce12ae40149028,1.425153,228,0.859741,0.025208,2298,13593,0,False,False
