rom_a,rom_b,banks_compared,exact_same_index_banks,exact_bank_list,mean_same_index_byte_equality,median_same_index_byte_equality
JP0,JPA,64,54,01 02 03 06 07 08 0B 0C 0D 0E 10 11 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 32 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F,0.989661,1.000000
JP0,EN,64,8,0C 2A 2B 30 37 3B 3C 3D,0.300130,0.092529
JP0,DE,64,8,0C 2A 2B 30 37 3B 3C 3D,0.292269,0.079590
JP0,FR,64,8,0C 2A 2B 30 37 3B 3C 3D,0.298553,0.093079
JP0,IT,64,8,0C 2A 2B 30 37 3B 3C 3D,0.291413,0.078003
JP0,ES,64,8,0C 2A 2B 30 37 3B 3C 3D,0.291740,0.078003
JP0,KR,64,20,0C 12 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 2A 30 37 3B 3C 3D,0.450253,0.128967
JPA,EN,64,8,0C 2A 2B 30 37 3B 3C 3D,0.300211,0.092529
JPA,DE,64,8,0C 2A 2B 30 37 3B 3C 3D,0.292267,0.079529
JPA,FR,64,8,0C 2A 2B 30 37 3B 3C 3D,0.298551,0.093018
JPA,IT,64,8,0C 2A 2B 30 37 3B 3C 3D,0.291357,0.076355
JPA,ES,64,8,0C 2A 2B 30 37 3B 3C 3D,0.291682,0.076355
JPA,KR,64,20,0C 12 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 2A 30 37 3B 3C 3D,0.450437,0.128967
EN,DE,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,0.693790,0.789612
EN,FR,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,0.710246,0.766968
EN,IT,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,0.708846,0.808289
EN,ES,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,0.710958,0.807312
EN,KR,128,29,0C 13 22 27 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 58 63 67 6F 73 74 75 76 77 7C 7D 7E,0.581332,0.539612
DE,FR,128,48,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 36 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,0.720140,0.866699
DE,IT,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,0.712356,0.822205
DE,ES,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,0.709539,0.744385
DE,KR,128,27,0C 13 22 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 73 74 75 76 77 7C 7D 7E,0.558055,0.513428
FR,IT,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,0.730398,0.837891
FR,ES,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,0.728954,0.873413
FR,KR,128,27,0C 13 22 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 73 74 75 76 77 7C 7D 7E,0.569811,0.529785
IT,ES,128,48,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 36 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,0.746090,0.872925
IT,KR,128,27,0C 13 22 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 73 74 75 76 77 7C 7D 7E,0.571535,0.538330
ES,KR,128,27,0C 13 22 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 73 74 75 76 77 7C 7D 7E,0.574001,0.535706
