file,family,bank_hex,bank_dec,rom_offset_start,layout_label,sha1,entropy_bits_per_byte,unique_bytes,zero_pct,ff_pct,longest_00_run,longest_ff_run,longest_uniform_run,longest_uniform_value,pointer_like_word_pct,western_textcode_pct
Pocket Monsters Eun (Korea).gbc,KR,64,100,0x190000,Text 1,3f50b4ff2b9e9cf3c13f8fe6c677c0709a14ed30,4.431414,219,41.8396,0.0305,6443,1,6443,0x00,15.9546,14.7339
Pocket Monsters Eun (Korea).gbc,KR,65,101,0x194000,Text 2,b4d1ccad5dc48e70da5b8bd93d004ded38e9fea2,4.602416,228,38.4888,0.116,5959,1,5959,0x00,16.3452,15.7532
Pocket Monsters Eun (Korea).gbc,KR,66,102,0x198000,Text 3,987214680ec9c7604767170ef3ef08518aa224ad,1.69363,172,82.4463,0.0,13389,0,13389,0x00,4.6387,4.5532
Pocket Monsters Eun (Korea).gbc,KR,67,103,0x19C000,(layout gap / data),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pocket Monsters Eun (Korea).gbc,KR,68,104,0x1A0000,Pokedex Entries 001-128,a99a18c797e5a1a87e8cbc5883dcd63acc2a3407,4.780202,243,34.5093,0.0183,5596,1,5596,0x00,14.2578,19.2688
Pocket Monsters Eun (Korea).gbc,KR,69,105,0x1A4000,Pokedex Entries 129-251,f8e3a0b7400dfde4bc4d75667bd8a1d709408785,4.6817,238,36.4075,0.061,5906,1,5906,0x00,13.8306,18.8477
Pocket Monsters Eun (Korea).gbc,KR,6A,106,0x1A8000,(layout gap / data),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pocket Monsters Eun (Korea).gbc,KR,6B,107,0x1AC000,(layout gap / data),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pocket Monsters Eun (Korea).gbc,KR,6C,108,0x1B0000,Names,448981a83f0f487c5faaab1dff27584fd305956d,3.691596,224,51.7517,0.0427,8479,1,8479,0x00,16.5649,19.1162
Pocket Monsters Eun (Korea).gbc,KR,6D,109,0x1B4000,Move Descriptions,1788efed70262c51bfd6a06fc15917f55259c5f9,5.392714,244,20.6543,0.0793,3373,1,3373,0x00,20.1172,23.0774
Pocket Monsters Eun (Korea).gbc,KR,6E,110,0x1B8000,Item Descriptions,12f82b49ee14b4799746841688a1e9ed08f590b2,3.479361,234,58.6975,0.0305,9616,4,9616,0x00,11.1328,12.0911
Pocket Monsters Eun (Korea).gbc,KR,6F,111,0x1BC000,(layout gap / data),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pocket Monsters Eun (Korea).gbc,KR,70,112,0x1C0000,bank70 / Tileset Data 6 / Pokegear GFX / Credits Strings,1d0299a453eaefe4600d23fad8ba0e78345e54d9,2.831396,253,71.6492,0.946,11479,2,11479,0x00,6.0181,17.5476
Pocket Monsters Eun (Korea).gbc,KR,71,113,0x1C4000,bank71,8a32854ffc687ce140a36e0932a91d59de04dc79,3.964362,218,53.8696,8.3191,8253,514,8253,0x00,15.4907,19.3665
Pocket Monsters Eun (Korea).gbc,KR,72,114,0x1C8000,DMG Error Screen,3f6222a1a1b306bd11bc2ab8d9239a2b61b5d4b1,0.90938,134,89.9902,2.9175,14581,26,14581,0x00,1.123,7.3486
Pocket Monsters Eun (Korea).gbc,KR,73,115,0x1CC000,(unlabeled / unresolved),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pocket Monsters Eun (Korea).gbc,KR,74,116,0x1D0000,(unlabeled / unresolved),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pocket Monsters Eun (Korea).gbc,KR,75,117,0x1D4000,(unlabeled / unresolved),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pocket Monsters Eun (Korea).gbc,KR,76,118,0x1D8000,(unlabeled / unresolved),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pocket Monsters Eun (Korea).gbc,KR,77,119,0x1DC000,(unlabeled / unresolved),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pocket Monsters Eun (Korea).gbc,KR,78,120,0x1E0000,Hangul Tables 1,424d1bb624a72155b4c79779fb176a2c762c0529,3.410483,90,53.4546,0.0,2103,0,2103,0x00,11.3037,22.7905
Pocket Monsters Eun (Korea).gbc,KR,79,121,0x1E4000,Hangul Tables 2,e03d79db440d9ec6780b166e6c98d0190aad7465,3.921904,77,41.3879,0.0,261,0,261,0x00,17.0166,27.7893
Pocket Monsters Eun (Korea).gbc,KR,7A,122,0x1E8000,Hangul Tables 3,bdac5f855ed51f060886686fb8f570df98c35cee,3.473205,98,53.1311,0.0,2103,0,2103,0x00,14.3311,20.0317
Pocket Monsters Eun (Korea).gbc,KR,7B,123,0x1EC000,Diploma GFX,8035ac0dc5c0c80455c4c94cd31ca90cd1aedf27,0.76864,124,92.6086,1.886,14884,1,14884,0x00,1.2207,4.0466
Pocket Monsters Eun (Korea).gbc,KR,7C,124,0x1F0000,(unlabeled / unresolved),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pocket Monsters Eun (Korea).gbc,KR,7D,125,0x1F4000,(unlabeled / unresolved),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pocket Monsters Eun (Korea).gbc,KR,7E,126,0x1F8000,(unlabeled / unresolved),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pocket Monsters Eun (Korea).gbc,KR,7F,127,0x1FC000,bank7F,9d7f3e610e04dae34f246751ae1b952cb2d7f389,1.289941,168,88.1409,0.1099,14380,1,14380,0x00,1.9897,4.248
