a,b,bank_count,mean_aligned_bank_similarity_pct,median_pct,min_pct,max_pct,exact_bank_count
Pocket Monsters Eun (Korea).gbc,Pokemon - Edicion Plata (Spain).gbc,128,57.167864,53.494263,1.568604,100.0,27
Pocket Monsters Eun (Korea).gbc,Pokemon - Silberne Edition (Germany).gbc,128,55.603933,49.612427,1.568604,100.0,27
Pocket Monsters Eun (Korea).gbc,"Pokemon - Silver Version (USA, Europe).gbc",128,57.927418,53.771973,1.568604,100.0,29
Pocket Monsters Eun (Korea).gbc,Pokemon - Version Argent (France).gbc,128,56.780386,52.453613,1.568604,100.0,27
Pocket Monsters Eun (Korea).gbc,Pokemon - Versione Argento (Italy).gbc,128,56.956863,53.472901,1.568604,100.0,27
Pokemon - Edicion Plata (Spain).gbc,Pokemon - Silberne Edition (Germany).gbc,128,70.939589,73.361207,10.046387,100.0,47
Pokemon - Edicion Plata (Spain).gbc,"Pokemon - Silver Version (USA, Europe).gbc",128,71.103048,79.415894,2.172852,100.0,47
Pokemon - Edicion Plata (Spain).gbc,Pokemon - Version Argent (France).gbc,128,72.950697,85.427856,6.890869,100.0,47
Pokemon - Edicion Plata (Spain).gbc,Pokemon - Versione Argento (Italy).gbc,128,74.797535,85.424804,8.630371,100.0,48
Pokemon - Silberne Edition (Germany).gbc,"Pokemon - Silver Version (USA, Europe).gbc",128,69.421148,76.696777,2.130127,100.0,47
Pokemon - Silberne Edition (Germany).gbc,Pokemon - Version Argent (France).gbc,128,71.998882,84.365845,8.648682,100.0,48
Pokemon - Silberne Edition (Germany).gbc,Pokemon - Versione Argento (Italy).gbc,128,71.222258,78.35083,6.964111,100.0,47
"Pokemon - Silver Version (USA, Europe).gbc",Pokemon - Version Argent (France).gbc,128,71.03219,75.265503,2.172852,100.0,47
"Pokemon - Silver Version (USA, Europe).gbc",Pokemon - Versione Argento (Italy).gbc,128,70.939589,79.373168,2.154541,100.0,47
Pokemon - Version Argent (France).gbc,Pokemon - Versione Argento (Italy).gbc,128,72.900057,80.245971,14.849854,100.0,47
