a,b,size_a,size_b,shared_bytes,diff_bytes_shared,diff_pct_shared,first_diff,last_diff,common_prefix_bytes,common_suffix_bytes,shared_bank_count,identical_aligned_banks,identical_aligned_bank_count,most_similar_bank,min_bank_diff_bytes,max_bank_diff_bytes
Pocket Monsters Eun (Korea).gbc,Pocket Monsters Gin (Japan) (Rev A).gbc,2097152,1048576,1048576,575797,54.912281,0x000009,0x0FE047,9,8120,64,"0C,12,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,2A,30,37,3B,3C,3D",20,12,0,15907
Pocket Monsters Eun (Korea).gbc,Pocket Monsters Gin (Japan).gbc,2097152,1048576,1048576,584153,55.709171,0x000009,0x0FFFE3,9,28,64,"0C,12,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,2A,30,37,3B,3C,3D",20,12,0,15907
Pocket Monsters Eun (Korea).gbc,Pokemon - Edicion Plata (Spain).gbc,2097152,2097152,2097152,898255,42.832136,0x000009,0x1FFFFF,9,0,128,"0C,13,22,28,29,2A,2C,2D,2F,30,34,35,37,3B,3C,3D,63,67,6F,73,74,75,76,77,7C,7D,7E",27,12,0,16127
Pocket Monsters Eun (Korea).gbc,Pokemon - Silberne Edition (Germany).gbc,2097152,2097152,2097152,931053,44.396067,0x000009,0x1FFFFF,9,0,128,"0C,13,22,28,29,2A,2C,2D,2F,30,34,35,37,3B,3C,3D,63,67,6F,73,74,75,76,77,7C,7D,7E",27,12,0,16127
Pocket Monsters Eun (Korea).gbc,"Pokemon - Silver Version (USA, Europe).gbc",2097152,2097152,2097152,882326,42.072582,0x000009,0x1FFFFF,9,0,128,"0C,13,22,27,28,29,2A,2C,2D,2F,30,34,35,37,3B,3C,3D,58,63,67,6F,73,74,75,76,77,7C,7D,7E",29,12,0,16127
Pocket Monsters Eun (Korea).gbc,Pokemon - Version Argent (France).gbc,2097152,2097152,2097152,906381,43.219614,0x000009,0x1FFFFF,9,0,128,"0C,13,22,28,29,2A,2C,2D,2F,30,34,35,37,3B,3C,3D,63,67,6F,73,74,75,76,77,7C,7D,7E",27,12,0,16127
Pocket Monsters Eun (Korea).gbc,Pokemon - Versione Argento (Italy).gbc,2097152,2097152,2097152,902680,43.043137,0x000009,0x1FFFFF,9,0,128,"0C,13,22,28,29,2A,2C,2D,2F,30,34,35,37,3B,3C,3D,63,67,6F,73,74,75,76,77,7C,7D,7E",27,12,0,16127
Pocket Monsters Gin (Japan) (Rev A).gbc,Pocket Monsters Gin (Japan).gbc,1048576,1048576,1048576,19150,1.826286,0x00014C,0x0FFFE3,332,28,64,"02,06,07,08,0C,0D,0E,10,11,12,13,15,16,17,18,19,1A,1B,1C,1D,1E,1F,20,22,26,27,28,29,2A,2B,2C,2D,2E,2F,30,31,32,33,34,35,36,37,38,39,3A,3B,3C,3D",48,2,0,10787
Pocket Monsters Gin (Japan) (Rev A).gbc,Pokemon - Edicion Plata (Spain).gbc,1048576,2097152,1048576,746717,71.212482,0x000009,0x0FE047,9,0,64,"0C,2A,2B,30,37,3B,3C,3D",8,12,0,16127
Pocket Monsters Gin (Japan) (Rev A).gbc,Pokemon - Silberne Edition (Germany).gbc,1048576,2097152,1048576,746571,71.198559,0x000009,0x0FE047,9,0,64,"0C,2A,2B,30,37,3B,3C,3D",8,12,0,16127
