language,bank_hex,stream_count,used_bytes,zero_tail_bytes,literal_payload_bytes,unknown_codes,terminal_counts
EN,64,300,8517,7867,7692,0,DONE:216;PROMPT:65;TX_END:19
EN,65,258,8386,7998,7664,0,DONE:141;PROMPT:96;TX_END:21
EN,66,97,2629,13755,2375,0,DONE:44;PROMPT:43;TX_END:10
DE,64,303,9269,7115,8436,0,DONE:212;PROMPT:65;TX_END:26
DE,65,258,9512,6872,8795,0,DONE:140;PROMPT:97;TX_END:21
DE,66,98,3031,13353,2780,0,DONE:43;PROMPT:43;TX_END:12
FR,64,301,8251,8133,7434,0,DONE:215;PROMPT:65;TX_END:21
FR,65,256,8390,7994,7684,0,DONE:141;PROMPT:96;TX_END:19
FR,66,98,2750,13634,2489,0,DONE:44;PROMPT:42;TX_END:12
IT,64,301,8327,8057,7497,0,DONE:215;PROMPT:65;TX_END:21
IT,65,256,8544,7840,7864,0,DONE:141;PROMPT:96;TX_END:19
IT,66,98,2770,13614,2507,0,DONE:43;PROMPT:43;TX_END:12
ES,64,305,8620,7764,7766,0,DONE:206;PROMPT:65;TX_END:34
ES,65,256,8731,7653,7983,0,DONE:137;PROMPT:97;TX_END:22
ES,66,98,2809,13575,2540,0,DONE:41;PROMPT:43;TX_END:14
KR,64,297,9941,6443,9048,0,DONE:221;PROMPT:65;TX_END:11
KR,65,255,10425,5959,9652,0,DONE:142;PROMPT:96;TX_END:17
KR,66,89,2995,13389,2730,0,DONE:39;PROMPT:40;TX_END:10
