from_national_id,from_constant,method,parameter,to_constant,to_national_id
252,TREECKO,EVO_LEVEL,16,GROVYLE,253
253,GROVYLE,EVO_LEVEL,36,SCEPTILE,254
255,TORCHIC,EVO_LEVEL,16,COMBUSKEN,256
256,COMBUSKEN,EVO_LEVEL,36,BLAZIKEN,257
258,MUDKIP,EVO_LEVEL,16,MARSHTOMP,259
259,MARSHTOMP,EVO_LEVEL,36,SWAMPERT,260
261,POOCHYENA,EVO_LEVEL,18,MIGHTYENA,262
263,ZIGZAGOON,EVO_LEVEL,20,LINOONE,264
265,WURMPLE,EVO_LEVEL_SILCOON,7,SILCOON,266
265,WURMPLE,EVO_LEVEL_CASCOON,7,CASCOON,268
266,SILCOON,EVO_LEVEL,10,BEAUTIFLY,267
268,CASCOON,EVO_LEVEL,10,DUSTOX,269
270,LOTAD,EVO_LEVEL,14,LOMBRE,271
271,LOMBRE,EVO_ITEM,ITEM_WATER_STONE,LUDICOLO,272
273,SEEDOT,EVO_LEVEL,14,NUZLEAF,274
274,NUZLEAF,EVO_ITEM,ITEM_LEAF_STONE,SHIFTRY,275
290,NINCADA,EVO_LEVEL_NINJASK,20,NINJASK,291
290,NINCADA,EVO_LEVEL_SHEDINJA,20,SHEDINJA,292
276,TAILLOW,EVO_LEVEL,22,SWELLOW,277
285,SHROOMISH,EVO_LEVEL,23,BRELOOM,286
278,WINGULL,EVO_LEVEL,25,PELIPPER,279
283,SURSKIT,EVO_LEVEL,22,MASQUERAIN,284
320,WAILMER,EVO_LEVEL,40,WAILORD,321
300,SKITTY,EVO_ITEM,ITEM_MOON_STONE,DELCATTY,301
343,BALTOY,EVO_LEVEL,36,CLAYDOL,344
339,BARBOACH,EVO_LEVEL,30,WHISCASH,340
341,CORPHISH,EVO_LEVEL,30,CRAWDAUNT,342
349,FEEBAS,EVO_BEAUTY,170,MILOTIC,350
318,CARVANHA,EVO_LEVEL,30,SHARPEDO,319
328,TRAPINCH,EVO_LEVEL,35,VIBRAVA,329
329,VIBRAVA,EVO_LEVEL,45,FLYGON,330
296,MAKUHITA,EVO_LEVEL,24,HARIYAMA,297
309,ELECTRIKE,EVO_LEVEL,26,MANECTRIC,310
322,NUMEL,EVO_LEVEL,33,CAMERUPT,323
363,SPHEAL,EVO_LEVEL,32,SEALEO,364
364,SEALEO,EVO_LEVEL,44,WALREIN,365
331,CACNEA,EVO_LEVEL,32,CACTURNE,332
361,SNORUNT,EVO_LEVEL,42,GLALIE,362
298,AZURILL,EVO_FRIENDSHIP,0,MARILL,183
325,SPOINK,EVO_LEVEL,32,GRUMPIG,326
307,MEDITITE,EVO_LEVEL,37,MEDICHAM,308
333,SWABLU,EVO_LEVEL,35,ALTARIA,334
360,WYNAUT,EVO_LEVEL,15,WOBBUFFET,202
355,DUSKULL,EVO_LEVEL,37,DUSCLOPS,356
287,SLAKOTH,EVO_LEVEL,18,VIGOROTH,288
288,VIGOROTH,EVO_LEVEL,36,SLAKING,289
316,GULPIN,EVO_LEVEL,26,SWALOT,317
293,WHISMUR,EVO_LEVEL,20,LOUDRED,294
294,LOUDRED,EVO_LEVEL,40,EXPLOUD,295
366,CLAMPERL,EVO_TRADE_ITEM,ITEM_DEEP_SEA_TOOTH,HUNTAIL,367
366,CLAMPERL,EVO_TRADE_ITEM,ITEM_DEEP_SEA_SCALE,GOREBYSS,368
353,SHUPPET,EVO_LEVEL,37,BANETTE,354
304,ARON,EVO_LEVEL,32,LAIRON,305
305,LAIRON,EVO_LEVEL,42,AGGRON,306
345,LILEEP,EVO_LEVEL,40,CRADILY,346
347,ANORITH,EVO_LEVEL,40,ARMALDO,348
280,RALTS,EVO_LEVEL,20,KIRLIA,281
281,KIRLIA,EVO_LEVEL,30,GARDEVOIR,282
371,BAGON,EVO_LEVEL,30,SHELGON,372
372,SHELGON,EVO_LEVEL,50,SALAMENCE,373
374,BELDUM,EVO_LEVEL,20,METANG,375
375,METANG,EVO_LEVEL,45,METAGROSS,376
