national_id,constant,level,move
252,TREECKO,1,POUND
252,TREECKO,1,LEER
252,TREECKO,6,ABSORB
252,TREECKO,11,QUICK_ATTACK
252,TREECKO,16,PURSUIT
252,TREECKO,21,SCREECH
252,TREECKO,26,MEGA_DRAIN
252,TREECKO,31,AGILITY
252,TREECKO,36,SLAM
252,TREECKO,41,DETECT
252,TREECKO,46,GIGA_DRAIN
253,GROVYLE,1,POUND
253,GROVYLE,1,LEER
253,GROVYLE,1,ABSORB
253,GROVYLE,1,QUICK_ATTACK
253,GROVYLE,6,ABSORB
253,GROVYLE,11,QUICK_ATTACK
253,GROVYLE,16,FURY_CUTTER
253,GROVYLE,17,PURSUIT
253,GROVYLE,23,SCREECH
253,GROVYLE,29,LEAF_BLADE
253,GROVYLE,35,AGILITY
253,GROVYLE,41,SLAM
253,GROVYLE,47,DETECT
253,GROVYLE,53,FALSE_SWIPE
254,SCEPTILE,1,POUND
254,SCEPTILE,1,LEER
254,SCEPTILE,1,ABSORB
254,SCEPTILE,1,QUICK_ATTACK
254,SCEPTILE,6,ABSORB
254,SCEPTILE,11,QUICK_ATTACK
254,SCEPTILE,16,FURY_CUTTER
254,SCEPTILE,17,PURSUIT
254,SCEPTILE,23,SCREECH
254,SCEPTILE,29,LEAF_BLADE
254,SCEPTILE,35,AGILITY
254,SCEPTILE,43,SLAM
254,SCEPTILE,51,DETECT
254,SCEPTILE,59,FALSE_SWIPE
255,TORCHIC,1,SCRATCH
255,TORCHIC,1,GROWL
255,TORCHIC,7,FOCUS_ENERGY
255,TORCHIC,10,EMBER
255,TORCHIC,16,PECK
255,TORCHIC,19,SAND_ATTACK
255,TORCHIC,25,FIRE_SPIN
255,TORCHIC,28,QUICK_ATTACK
255,TORCHIC,34,SLASH
255,TORCHIC,37,MIRROR_MOVE
255,TORCHIC,43,FLAMETHROWER
256,COMBUSKEN,1,SCRATCH
256,COMBUSKEN,1,GROWL
256,COMBUSKEN,1,FOCUS_ENERGY
256,COMBUSKEN,1,EMBER
256,COMBUSKEN,7,FOCUS_ENERGY
256,COMBUSKEN,13,EMBER
256,COMBUSKEN,16,DOUBLE_KICK
256,COMBUSKEN,17,PECK
256,COMBUSKEN,21,SAND_ATTACK
256,COMBUSKEN,28,BULK_UP
256,COMBUSKEN,32,QUICK_ATTACK
256,COMBUSKEN,39,SLASH
256,COMBUSKEN,43,MIRROR_MOVE
256,COMBUSKEN,50,SKY_UPPERCUT
257,BLAZIKEN,1,FIRE_PUNCH
257,BLAZIKEN,1,SCRATCH
257,BLAZIKEN,1,GROWL
257,BLAZIKEN,1,FOCUS_ENERGY
257,BLAZIKEN,1,EMBER
257,BLAZIKEN,7,FOCUS_ENERGY
257,BLAZIKEN,13,EMBER
257,BLAZIKEN,16,DOUBLE_KICK
257,BLAZIKEN,17,PECK
257,BLAZIKEN,21,SAND_ATTACK
257,BLAZIKEN,28,BULK_UP
257,BLAZIKEN,32,QUICK_ATTACK
257,BLAZIKEN,36,BLAZE_KICK
257,BLAZIKEN,42,SLASH
257,BLAZIKEN,49,MIRROR_MOVE
257,BLAZIKEN,59,SKY_UPPERCUT
258,MUDKIP,1,TACKLE
258,MUDKIP,1,GROWL
258,MUDKIP,6,MUD_SLAP
258,MUDKIP,10,WATER_GUN
258,MUDKIP,15,BIDE
258,MUDKIP,19,FORESIGHT
258,MUDKIP,24,MUD_SPORT
258,MUDKIP,28,TAKE_DOWN
258,MUDKIP,33,WHIRLPOOL
258,MUDKIP,37,PROTECT
258,MUDKIP,42,HYDRO_PUMP
258,MUDKIP,46,ENDEAVOR
259,MARSHTOMP,1,TACKLE
259,MARSHTOMP,1,GROWL
259,MARSHTOMP,1,MUD_SLAP
259,MARSHTOMP,1,WATER_GUN
259,MARSHTOMP,6,MUD_SLAP
259,MARSHTOMP,10,WATER_GUN
259,MARSHTOMP,15,BIDE
259,MARSHTOMP,16,MUD_SHOT
259,MARSHTOMP,20,FORESIGHT
259,MARSHTOMP,25,MUD_SPORT
259,MARSHTOMP,31,TAKE_DOWN
259,MARSHTOMP,37,MUDDY_WATER
259,MARSHTOMP,42,PROTECT
259,MARSHTOMP,46,EARTHQUAKE
259,MARSHTOMP,53,ENDEAVOR
260,SWAMPERT,1,TACKLE
260,SWAMPERT,1,GROWL
260,SWAMPERT,1,MUD_SLAP
260,SWAMPERT,1,WATER_GUN
260,SWAMPERT,6,MUD_SLAP
260,SWAMPERT,10,WATER_GUN
260,SWAMPERT,15,BIDE
