national_id,constant,pokeemerald_raw_species_id,hp,attack,defense,speed,sp_attack,sp_defense,type1,type2,catch_rate,exp_yield,ev_hp,ev_attack,ev_defense,ev_speed,ev_sp_attack,ev_sp_defense,item_common,item_rare,gender_ratio,egg_cycles,friendship,growth_rate,egg_group1,egg_group2,ability1,ability2,safari_flee_rate,body_color,no_flip
252,TREECKO,277,40,45,35,70,65,55,TYPE_GRASS,TYPE_GRASS,45,65,0,0,0,1,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),20,70,GROWTH_MEDIUM_SLOW,EGG_GROUP_MONSTER,EGG_GROUP_DRAGON,ABILITY_OVERGROW,ABILITY_NONE,0,BODY_COLOR_GREEN,FALSE
253,GROVYLE,278,50,65,45,95,85,65,TYPE_GRASS,TYPE_GRASS,45,141,0,0,0,2,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),20,70,GROWTH_MEDIUM_SLOW,EGG_GROUP_MONSTER,EGG_GROUP_DRAGON,ABILITY_OVERGROW,ABILITY_NONE,0,BODY_COLOR_GREEN,FALSE
254,SCEPTILE,279,70,85,65,120,105,85,TYPE_GRASS,TYPE_GRASS,45,208,0,0,0,3,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),20,70,GROWTH_MEDIUM_SLOW,EGG_GROUP_MONSTER,EGG_GROUP_DRAGON,ABILITY_OVERGROW,ABILITY_NONE,0,BODY_COLOR_GREEN,FALSE
255,TORCHIC,280,45,60,40,45,70,50,TYPE_FIRE,TYPE_FIRE,45,65,0,0,0,0,1,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),20,70,GROWTH_MEDIUM_SLOW,EGG_GROUP_FIELD,EGG_GROUP_FIELD,ABILITY_BLAZE,ABILITY_NONE,0,BODY_COLOR_RED,FALSE
256,COMBUSKEN,281,60,85,60,55,85,60,TYPE_FIRE,TYPE_FIGHTING,45,142,0,1,0,0,1,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),20,70,GROWTH_MEDIUM_SLOW,EGG_GROUP_FIELD,EGG_GROUP_FIELD,ABILITY_BLAZE,ABILITY_NONE,0,BODY_COLOR_RED,FALSE
257,BLAZIKEN,282,80,120,70,80,110,70,TYPE_FIRE,TYPE_FIGHTING,45,209,0,3,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),20,70,GROWTH_MEDIUM_SLOW,EGG_GROUP_FIELD,EGG_GROUP_FIELD,ABILITY_BLAZE,ABILITY_NONE,0,BODY_COLOR_RED,FALSE
258,MUDKIP,283,50,70,50,40,50,50,TYPE_WATER,TYPE_WATER,45,65,0,1,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),20,70,GROWTH_MEDIUM_SLOW,EGG_GROUP_MONSTER,EGG_GROUP_WATER_1,ABILITY_TORRENT,ABILITY_NONE,0,BODY_COLOR_BLUE,FALSE
259,MARSHTOMP,284,70,85,70,50,60,70,TYPE_WATER,TYPE_GROUND,45,143,0,2,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),20,70,GROWTH_MEDIUM_SLOW,EGG_GROUP_MONSTER,EGG_GROUP_WATER_1,ABILITY_TORRENT,ABILITY_NONE,0,BODY_COLOR_BLUE,FALSE
260,SWAMPERT,285,100,110,90,60,85,90,TYPE_WATER,TYPE_GROUND,45,210,0,3,0,0,0,0,ITEM_NONE,ITEM_NONE,PERCENT_FEMALE(12.5),20,70,GROWTH_MEDIUM_SLOW,EGG_GROUP_MONSTER,EGG_GROUP_WATER_1,ABILITY_TORRENT,ABILITY_NONE,0,BODY_COLOR_BLUE,FALSE
261,POOCHYENA,286,35,55,35,35,30,30,TYPE_DARK,TYPE_DARK,255,55,0,1,0,0,0,0,ITEM_NONE,ITEM_PECHA_BERRY,PERCENT_FEMALE(50),15,70,GROWTH_MEDIUM_FAST,EGG_GROUP_FIELD,EGG_GROUP_FIELD,ABILITY_RUN_AWAY,ABILITY_NONE,0,BODY_COLOR_GRAY,FALSE
