national_id,constant,tutor_move
252,TREECKO,MOVE_BODY_SLAM
252,TREECKO,MOVE_COUNTER
252,TREECKO,MOVE_DOUBLE_EDGE
252,TREECKO,MOVE_DYNAMIC_PUNCH
252,TREECKO,MOVE_ENDURE
252,TREECKO,MOVE_FURY_CUTTER
252,TREECKO,MOVE_MEGA_KICK
252,TREECKO,MOVE_MEGA_PUNCH
252,TREECKO,MOVE_MIMIC
252,TREECKO,MOVE_MUD_SLAP
252,TREECKO,MOVE_SEISMIC_TOSS
252,TREECKO,MOVE_SLEEP_TALK
252,TREECKO,MOVE_SNORE
252,TREECKO,MOVE_SUBSTITUTE
252,TREECKO,MOVE_SWAGGER
252,TREECKO,MOVE_SWIFT
252,TREECKO,MOVE_SWORDS_DANCE
252,TREECKO,MOVE_THUNDER_PUNCH
253,GROVYLE,MOVE_BODY_SLAM
253,GROVYLE,MOVE_COUNTER
253,GROVYLE,MOVE_DOUBLE_EDGE
253,GROVYLE,MOVE_DYNAMIC_PUNCH
253,GROVYLE,MOVE_ENDURE
253,GROVYLE,MOVE_FURY_CUTTER
253,GROVYLE,MOVE_MEGA_KICK
253,GROVYLE,MOVE_MEGA_PUNCH
253,GROVYLE,MOVE_MIMIC
253,GROVYLE,MOVE_MUD_SLAP
253,GROVYLE,MOVE_SEISMIC_TOSS
253,GROVYLE,MOVE_SLEEP_TALK
253,GROVYLE,MOVE_SNORE
253,GROVYLE,MOVE_SUBSTITUTE
253,GROVYLE,MOVE_SWAGGER
253,GROVYLE,MOVE_SWIFT
253,GROVYLE,MOVE_SWORDS_DANCE
253,GROVYLE,MOVE_THUNDER_PUNCH
254,SCEPTILE,MOVE_BODY_SLAM
254,SCEPTILE,MOVE_COUNTER
254,SCEPTILE,MOVE_DOUBLE_EDGE
254,SCEPTILE,MOVE_DYNAMIC_PUNCH
254,SCEPTILE,MOVE_ENDURE
254,SCEPTILE,MOVE_FURY_CUTTER
254,SCEPTILE,MOVE_MEGA_KICK
254,SCEPTILE,MOVE_MEGA_PUNCH
254,SCEPTILE,MOVE_MIMIC
254,SCEPTILE,MOVE_MUD_SLAP
254,SCEPTILE,MOVE_SEISMIC_TOSS
254,SCEPTILE,MOVE_SLEEP_TALK
254,SCEPTILE,MOVE_SNORE
254,SCEPTILE,MOVE_SUBSTITUTE
254,SCEPTILE,MOVE_SWAGGER
254,SCEPTILE,MOVE_SWIFT
254,SCEPTILE,MOVE_SWORDS_DANCE
254,SCEPTILE,MOVE_THUNDER_PUNCH
255,TORCHIC,MOVE_BODY_SLAM
255,TORCHIC,MOVE_COUNTER
255,TORCHIC,MOVE_DOUBLE_EDGE
255,TORCHIC,MOVE_ENDURE
255,TORCHIC,MOVE_MEGA_KICK
255,TORCHIC,MOVE_MEGA_PUNCH
255,TORCHIC,MOVE_MIMIC
255,TORCHIC,MOVE_MUD_SLAP
255,TORCHIC,MOVE_ROCK_SLIDE
255,TORCHIC,MOVE_SEISMIC_TOSS
255,TORCHIC,MOVE_SLEEP_TALK
255,TORCHIC,MOVE_SNORE
255,TORCHIC,MOVE_SUBSTITUTE
255,TORCHIC,MOVE_SWAGGER
255,TORCHIC,MOVE_SWIFT
255,TORCHIC,MOVE_SWORDS_DANCE
256,COMBUSKEN,MOVE_BODY_SLAM
256,COMBUSKEN,MOVE_COUNTER
256,COMBUSKEN,MOVE_DOUBLE_EDGE
256,COMBUSKEN,MOVE_DYNAMIC_PUNCH
256,COMBUSKEN,MOVE_ENDURE
256,COMBUSKEN,MOVE_FIRE_PUNCH
256,COMBUSKEN,MOVE_FURY_CUTTER
256,COMBUSKEN,MOVE_MEGA_KICK
256,COMBUSKEN,MOVE_MEGA_PUNCH
256,COMBUSKEN,MOVE_MIMIC
256,COMBUSKEN,MOVE_MUD_SLAP
256,COMBUSKEN,MOVE_ROCK_SLIDE
256,COMBUSKEN,MOVE_SEISMIC_TOSS
256,COMBUSKEN,MOVE_SLEEP_TALK
256,COMBUSKEN,MOVE_SNORE
256,COMBUSKEN,MOVE_SUBSTITUTE
256,COMBUSKEN,MOVE_SWAGGER
256,COMBUSKEN,MOVE_SWIFT
256,COMBUSKEN,MOVE_SWORDS_DANCE
256,COMBUSKEN,MOVE_THUNDER_PUNCH
257,BLAZIKEN,MOVE_BODY_SLAM
257,BLAZIKEN,MOVE_COUNTER
257,BLAZIKEN,MOVE_DOUBLE_EDGE
257,BLAZIKEN,MOVE_DYNAMIC_PUNCH
257,BLAZIKEN,MOVE_ENDURE
257,BLAZIKEN,MOVE_FIRE_PUNCH
257,BLAZIKEN,MOVE_FURY_CUTTER
257,BLAZIKEN,MOVE_MEGA_KICK
257,BLAZIKEN,MOVE_MEGA_PUNCH
257,BLAZIKEN,MOVE_MIMIC
257,BLAZIKEN,MOVE_MUD_SLAP
257,BLAZIKEN,MOVE_ROCK_SLIDE
257,BLAZIKEN,MOVE_SEISMIC_TOSS
257,BLAZIKEN,MOVE_SLEEP_TALK
257,BLAZIKEN,MOVE_SNORE
257,BLAZIKEN,MOVE_SUBSTITUTE
257,BLAZIKEN,MOVE_SWAGGER
257,BLAZIKEN,MOVE_SWIFT
257,BLAZIKEN,MOVE_SWORDS_DANCE
257,BLAZIKEN,MOVE_THUNDER_PUNCH
258,MUDKIP,MOVE_BODY_SLAM
258,MUDKIP,MOVE_DEFENSE_CURL
258,MUDKIP,MOVE_DOUBLE_EDGE
258,MUDKIP,MOVE_ENDURE
258,MUDKIP,MOVE_ICY_WIND
258,MUDKIP,MOVE_MIMIC
258,MUDKIP,MOVE_MUD_SLAP
258,MUDKIP,MOVE_ROLLOUT
258,MUDKIP,MOVE_SLEEP_TALK
258,MUDKIP,MOVE_SNORE
258,MUDKIP,MOVE_SUBSTITUTE
258,MUDKIP,MOVE_SWAGGER
259,MARSHTOMP,MOVE_BODY_SLAM
259,MARSHTOMP,MOVE_COUNTER
259,MARSHTOMP,MOVE_DEFENSE_CURL
259,MARSHTOMP,MOVE_DOUBLE_EDGE
259,MARSHTOMP,MOVE_DYNAMIC_PUNCH
259,MARSHTOMP,MOVE_ENDURE
259,MARSHTOMP,MOVE_ICE_PUNCH
259,MARSHTOMP,MOVE_ICY_WIND
259,MARSHTOMP,MOVE_MEGA_KICK
259,MARSHTOMP,MOVE_MEGA_PUNCH
259,MARSHTOMP,MOVE_MIMIC
259,MARSHTOMP,MOVE_MUD_SLAP
259,MARSHTOMP,MOVE_ROCK_SLIDE
259,MARSHTOMP,MOVE_ROLLOUT
259,MARSHTOMP,MOVE_SEISMIC_TOSS
259,MARSHTOMP,MOVE_SLEEP_TALK
259,MARSHTOMP,MOVE_SNORE
259,MARSHTOMP,MOVE_SUBSTITUTE
259,MARSHTOMP,MOVE_SWAGGER
260,SWAMPERT,MOVE_BODY_SLAM
260,SWAMPERT,MOVE_COUNTER
260,SWAMPERT,MOVE_DEFENSE_CURL
260,SWAMPERT,MOVE_DOUBLE_EDGE
260,SWAMPERT,MOVE_DYNAMIC_PUNCH
260,SWAMPERT,MOVE_ENDURE
260,SWAMPERT,MOVE_ICE_PUNCH
260,SWAMPERT,MOVE_ICY_WIND
260,SWAMPERT,MOVE_MEGA_KICK
260,SWAMPERT,MOVE_MEGA_PUNCH
260,SWAMPERT,MOVE_MIMIC
260,SWAMPERT,MOVE_MUD_SLAP
260,SWAMPERT,MOVE_ROCK_SLIDE
260,SWAMPERT,MOVE_ROLLOUT
260,SWAMPERT,MOVE_SEISMIC_TOSS
260,SWAMPERT,MOVE_SLEEP_TALK
260,SWAMPERT,MOVE_SNORE
260,SWAMPERT,MOVE_SUBSTITUTE
260,SWAMPERT,MOVE_SWAGGER
261,POOCHYENA,MOVE_BODY_SLAM
