source_gen2_id,target_logical_id,target_name,method,arg1_move_id,raw_item_id,time,location_code,note
190,252,Ambipom,LEVEL_MOVE_KNOWN,252,,0,0,level up knowing Double Hit
200,253,Mismagius,ITEM,0,0x94,0,0,Dusk Stone
198,254,Honchkrow,ITEM,0,0x94,0,0,Dusk Stone
215,255,Weavile,LEVEL_HELD_ITEM_TIME,0,0x95,2,0,level up at night holding Razor Claw
82,256,Magnezone,LEVEL_LOCATION,0,,0,1,Johto adaptation: level up at Power Plant magnetic field
108,257,Lickilicky,LEVEL_MOVE_KNOWN,205,,0,0,level up knowing Rollout
112,258,Rhyperior,TRADE_HELD_ITEM,0,0x99,0,0,trade holding Protector
114,259,Tangrowth,LEVEL_MOVE_KNOWN,246,,0,0,level up knowing AncientPower
125,260,Electivire,TRADE_HELD_ITEM,0,0x9A,0,0,trade holding Electirizer
126,261,Magmortar,TRADE_HELD_ITEM,0,0x9B,0,0,trade holding Magmarizer
176,262,Togekiss,ITEM,0,0x93,0,0,Shiny Stone
193,263,Yanmega,LEVEL_MOVE_KNOWN,246,,0,0,level up knowing AncientPower
133,264,Leafeon,LEVEL_LOCATION,0,,0,2,Johto adaptation: level up in Ilex Forest moss zone
133,265,Glaceon,LEVEL_LOCATION,0,,0,3,Johto adaptation: level up in Ice Path ice zone
207,266,Gliscor,LEVEL_HELD_ITEM_TIME,0,0xA2,2,0,level up at night holding Razor Fang
221,267,Mamoswine,LEVEL_MOVE_KNOWN,246,,0,0,level up knowing AncientPower
233,268,Porygon-Z,TRADE_HELD_ITEM,0,0xAB,0,0,trade holding Dubious Disc
