logical_id,national_dex,expanded_johto_no,name_en,name_ko,parent_gen2_id,hp,atk,def,spe,spa,spd,type1_id,type2_id,catch_rate,base_exp_gen4,growth_id,egg_groups_packed,hatch_cycles,held_item1_raw,held_item2_raw,source
252,424,126,Ambipom,겟핸보숭,190,75,100,66,115,60,66,0,0,45,186,4,0x55,20,0x00,0x00,res/pokemon/ambipom/data.json
253,429,230,Mismagius,무우마직,200,60,60,60,105,105,105,8,8,45,187,4,0xBB,25,0x00,0x00,res/pokemon/mismagius/data.json
254,430,222,Honchkrow,돈크로우,198,100,125,52,71,105,52,27,2,30,187,3,0x44,20,0x00,0x00,res/pokemon/honchkrow/data.json
255,461,228,Weavile,포푸니라,215,70,120,65,125,45,85,27,25,45,199,3,0x55,20,0x00,0x49,res/pokemon/weavile/data.json
256,462,122,Magnezone,자포코일,82,70,70,115,60,130,90,23,9,30,211,0,0xAA,20,0x00,0x8F,res/pokemon/magnezone/data.json
257,463,185,Lickilicky,내룸벨트,108,110,85,95,50,80,95,0,0,30,193,0,0x11,20,0x00,0x00,res/pokemon/lickilicky/data.json
258,464,220,Rhyperior,거대코뿌리,112,115,140,130,40,55,55,4,5,30,217,5,0x15,20,0x00,0x00,res/pokemon/rhyperior/data.json
259,465,187,Tangrowth,덩쿠림보,114,100,100,125,50,110,50,22,22,30,211,0,0x77,20,0x00,0x00,res/pokemon/tangrowth/data.json
260,466,161,Electivire,에레키블,125,75,123,67,95,95,85,23,23,30,199,0,0x88,25,0x00,0x9A,res/pokemon/electivire/data.json
261,467,156,Magmortar,마그마번,126,75,95,67,83,125,95,20,20,30,199,0,0x88,25,0x00,0x9B,res/pokemon/magmortar/data.json
262,468,48,Togekiss,토게키스,176,85,50,95,80,120,115,0,2,30,220,4,0x46,10,0x00,0x00,res/pokemon/togekiss/data.json
263,469,103,Yanmega,메가자리,193,86,76,86,95,116,56,7,2,30,198,0,0x33,20,0x00,0x00,res/pokemon/yanmega/data.json
264,470,194,Leafeon,리피아,133,65,110,130,95,60,65,22,22,45,196,0,0x55,35,0x00,0x00,res/pokemon/leafeon/data.json
265,471,195,Glaceon,글레이시아,133,65,60,110,65,130,95,25,25,45,196,0,0x55,35,0x00,0x00,res/pokemon/glaceon/data.json
266,472,200,Gliscor,글라이온,207,75,95,125,95,45,75,4,2,30,192,3,0x33,20,0x00,0x00,res/pokemon/gliscor/data.json
267,473,204,Mamoswine,맘모꾸리,221,110,130,80,80,70,60,25,4,50,207,5,0x55,20,0x00,0x00,res/pokemon/mamoswine/data.json
268,474,233,Porygon-Z,폴리곤Z,233,85,80,70,90,135,75,0,0,30,185,0,0xAA,20,0x00,0x00,res/pokemon/porygon_z/data.json
