bank_hex,zero_in_count,zero_in,zero_in_all_six
13,6,EN;DE;FR;IT;ES;KR,True
22,6,EN;DE;FR;IT;ES;KR,True
27,2,EN;KR,False
28,6,EN;DE;FR;IT;ES;KR,True
29,6,EN;DE;FR;IT;ES;KR,True
2C,6,EN;DE;FR;IT;ES;KR,True
2D,6,EN;DE;FR;IT;ES;KR,True
2F,6,EN;DE;FR;IT;ES;KR,True
34,6,EN;DE;FR;IT;ES;KR,True
35,6,EN;DE;FR;IT;ES;KR,True
58,2,EN;KR,False
63,6,EN;DE;FR;IT;ES;KR,True
67,6,EN;DE;FR;IT;ES;KR,True
6A,1,KR,False
6B,1,KR,False
6F,6,EN;DE;FR;IT;ES;KR,True
71,5,EN;DE;FR;IT;ES,False
72,5,EN;DE;FR;IT;ES,False
73,6,EN;DE;FR;IT;ES;KR,True
74,6,EN;DE;FR;IT;ES;KR,True
75,6,EN;DE;FR;IT;ES;KR,True
76,6,EN;DE;FR;IT;ES;KR,True
77,6,EN;DE;FR;IT;ES;KR,True
78,5,EN;DE;FR;IT;ES,False
79,5,EN;DE;FR;IT;ES,False
7A,5,EN;DE;FR;IT;ES,False
7B,5,EN;DE;FR;IT;ES,False
7C,6,EN;DE;FR;IT;ES;KR,True
7D,6,EN;DE;FR;IT;ES;KR,True
7E,6,EN;DE;FR;IT;ES;KR,True
