file,size,sha256
Pocket_Monsters___Fire_Red__Japan___Rev_1__abilities.csv,1811,25f36f5e67459c63ff3258c8d259e786eda7d2b67c2a887349c06d7ec1df1e46
Pocket_Monsters___Fire_Red__Japan___Rev_1__items.csv,52033,192687c789273d502c1e60950a87ff9e10842c73c6d107e18bef8c4251a0cb8c
Pocket_Monsters___Fire_Red__Japan___Rev_1__pokedex.csv,47277,2323020470713161d29294465f8d594e9dc04f2043bdcec794b1666d9f11773e
Pocket_Monsters___Fire_Red__Japan__abilities.csv,1811,25f36f5e67459c63ff3258c8d259e786eda7d2b67c2a887349c06d7ec1df1e46
Pocket_Monsters___Fire_Red__Japan__items.csv,52033,ddd90286d00aa6574aea243476c4e8b5464ccec599ba36a0ed91c259f44bc476
Pocket_Monsters___Fire_Red__Japan__pokedex.csv,47277,a26140d6e313a0d5a6b91a7bef5a44953c71efe3a162406cd7623e1594cdf2c1
Pokemon___Edicion_Rojo_Fuego__Spain__abilities.csv,7406,70181e891eeddddd2f271cb742548baee5f7e387c224fcde160e36ac15c055a5
Pokemon___Edicion_Rojo_Fuego__Spain__items.csv,48236,1f885a1a7a89909019030eae094fc2c84916fb622b24fcbf2bb3e7c2b233643c
Pokemon___Edicion_Rojo_Fuego__Spain__pokedex.csv,50021,0b20a57d4ff085b9a7fcfe6ae97290efcdb1418713c4aa158047bd8d5b0d45df
Pokemon___Feuerrote_Edition__Germany__abilities.csv,7404,254214b76998f6befd2fddaef7bdbd4b30cc13e52f8e32669c46866eb93bd34d
Pokemon___Feuerrote_Edition__Germany__items.csv,48059,65081d04b65c77c8787e9816de801524f3ac10b817faa0bc4e3bcfbf8f1e17d6
Pokemon___Feuerrote_Edition__Germany__pokedex.csv,49988,01ff8c7ecde63d28f8fea878b82b6b2ea6fe0fe45ff9b6abdfa2cd6fddfa38fe
Pokemon___Fire_Red_Version__USA__Europe___Rev_1__abilities.csv,7325,23017e2889f2832acfd6af133720b9002d79a62e0ddd63d787fb1097d47b06c3
Pokemon___Fire_Red_Version__USA__Europe___Rev_1__items.csv,47985,284b8355f7da2c74c543ce76710af570f7e58cd10f76c964a17862cc9aae3337
Pokemon___Fire_Red_Version__USA__Europe___Rev_1__pokedex.csv,49730,0b9b48b546df7fab204b0c9ef8e885b1ffd3aff4ed6bdc35dd51f8c12b7ef48a
Pokemon___Fire_Red_Version__USA__abilities.csv,7325,d879f4c7c7d64e3b8d196a1b4ee190b051c11d0db6c4501376adaaf2f60d0dfd
Pokemon___Fire_Red_Version__USA__items.csv,47985,55c12f504d109be0f212232cd35d8aca6a44e5343665a7ebd84e303d7d836039
Pokemon___Fire_Red_Version__USA__pokedex.csv,49731,d7611ffcee51dfbe187a7ec7f48bb9b4b6f0dfa9b3291616709945a94b52eb22
Pokemon___Version_Rouge_Feu__France__abilities.csv,7307,5e21d97476635fea7e8cb26be85fd93f062a20c27502a5e4ae6ab544a4f00761
Pokemon___Version_Rouge_Feu__France__items.csv,48045,dd95958b15d83a9f6cdfdf5676b1ffb645b2aa5cfd87b264eef4af4e67fa3f51
Pokemon___Version_Rouge_Feu__France__pokedex.csv,49915,9c6c9aeec671a4e4c58e4b14bc27ec2c22520b943eea6d7007dd1cbf6b668e4d
Pokemon___Versione_Rosso_Fuoco__Italy__abilities.csv,7359,2e1335110fcbb498b5b6bbc58dce3a61e1a1263b04a332f4b4d8f974c197c349
Pokemon___Versione_Rosso_Fuoco__Italy__items.csv,48062,16fb7fe0d6cb3c95a96ec7c56e1fc2c18a2af81f4f2e6ef6d5a6dbbfd7d33a31
Pokemon___Versione_Rosso_Fuoco__Italy__pokedex.csv,49804,36e3e2224b00b7489bb0dbf7ca625ffc7d9714cd7aa39869cdbc4ccb3bcdc91b
