language_region,revision,block_index,file_offset_hex,gba_address_hex,size,sha256,zero_ratio,ff_ratio,entropy_bits_per_byte
JA-JP,REV-0,0,0x00000000,0x08000000,1048576,cd806a1f4d191073f88ed55b23394c1914b550dc4db68b4f63d0d227c328dd7d,0.10175228,0.00990295,6.614513
JA-JP,REV-0,1,0x00100000,0x08100000,1048576,d3ddd475ffb5a3ed35e2dd7a290f1e948d607d52c86ccdac39656b0cb5d5e799,0.22381210,0.01806164,6.258579
JA-JP,REV-0,2,0x00200000,0x08200000,1048576,b7407301de7b9ac6862fe3006bb6216bbf187bbdb5715c587798cddc79d3e1a8,0.18818188,0.00813866,6.354621
JA-JP,REV-0,3,0x00300000,0x08300000,1048576,87bf520b1dd14a86561b05479ae2c61a0077b054cff9901b62a703cd15d80d63,0.31050205,0.02090931,5.870656
JA-JP,REV-0,4,0x00400000,0x08400000,1048576,3b4af05462bbf552f8ea1d9427c37071a07b0028b3210c91cfeae532046a8c0e,0.14703083,0.02537155,7.017633
JA-JP,REV-0,5,0x00500000,0x08500000,1048576,55d3b05c5e5e140e2f651e18aff6076d5ae5774021e63194a4384add1ba8adf1,0.03478241,0.02341557,7.579783
JA-JP,REV-0,6,0x00600000,0x08600000,1048576,d0e07a434a630fc041cb32775b4d3aebf3bdd796b146c5a52883ca08c635c694,0.01748848,0.22668171,6.641731
JA-JP,REV-0,7,0x00700000,0x08700000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
JA-JP,REV-0,8,0x00800000,0x08800000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
JA-JP,REV-0,9,0x00900000,0x08900000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
JA-JP,REV-0,10,0x00A00000,0x08A00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
JA-JP,REV-0,11,0x00B00000,0x08B00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
JA-JP,REV-0,12,0x00C00000,0x08C00000,1048576,6cbfc729712d4767ca9a84595557aefa7a2925f319c72ffd763bbded1f1fe2fe,0.30869484,0.02024937,5.600322
JA-JP,REV-0,13,0x00D00000,0x08D00000,1048576,1c5e637b22d0a3c42568fd238ba8b8ff2500a19ef760c6f622ddcffc6b5a7ad4,0.17300224,0.42487240,4.236735
JA-JP,REV-0,14,0x00E00000,0x08E00000,1048576,f5fb04aa5b882706b9309e885f19477261336ef76a150c3b4d3489dfac3953ec,0.00000000,1.00000000,0.000000
JA-JP,REV-0,15,0x00F00000,0x08F00000,1048576,b625bad2a1a6dd976903b7b5e58e05964c3b15e29c15732a07a794455f2334d2,0.55193615,0.34900951,1.806260
DE-DE,REV-0,0,0x00000000,0x08000000,1048576,1d4528dd99c3bbd72952484b046af3d97dcd71f1a8bdce779de96a73bb7c0b8c,0.10182667,0.01001930,6.612121
DE-DE,REV-0,1,0x00100000,0x08100000,1048576,881b96f080216e36c014f4e2a04d1a28bcedae26aa7c07b15211ad09a8a3e7d8,0.17087841,0.01681423,6.531579
DE-DE,REV-0,2,0x00200000,0x08200000,1048576,7738fdaa05f60b3e4f886dfb9aa09a8233931d327e1319ecbc4731962a9ac860,0.35936260,0.01614380,5.597307
DE-DE,REV-0,3,0x00300000,0x08300000,1048576,61d426c59cd1ae5ff98ac403caddb31c108c790e1fb2bc7efa0809fcdbac26b7,0.29181004,0.01451778,5.779586
DE-DE,REV-0,4,0x00400000,0x08400000,1048576,64cf848e24c71b6e75ce60dfdeceb822cd3c8bcacdf07c6efc8b0e57a5b0c4c2,0.16225433,0.02878380,6.853360
DE-DE,REV-0,5,0x00500000,0x08500000,1048576,02fb7f894efabdb4bc154d36f72f1a28e745c6fab398430ee107142b266277f1,0.03286266,0.02279854,7.590595
