left,right,block_index,file_offset_hex,differing_bytes,difference_ratio
JA-JP/REV-0,DE-DE/REV-0,0,0x00000000,1011105,0.96426487
JA-JP/REV-0,DE-DE/REV-0,1,0x00100000,978895,0.93354702
JA-JP/REV-0,DE-DE/REV-0,2,0x00200000,938360,0.89488983
JA-JP/REV-0,DE-DE/REV-0,3,0x00300000,945709,0.90189838
JA-JP/REV-0,DE-DE/REV-0,4,0x00400000,1012123,0.96523571
JA-JP/REV-0,DE-DE/REV-0,5,0x00500000,1040879,0.99265957
JA-JP/REV-0,DE-DE/REV-0,6,0x00600000,1042788,0.99448013
JA-JP/REV-0,DE-DE/REV-0,7,0x00700000,96453,0.09198475
JA-JP/REV-0,DE-DE/REV-0,8,0x00800000,0,0.00000000
JA-JP/REV-0,DE-DE/REV-0,9,0x00900000,0,0.00000000
JA-JP/REV-0,DE-DE/REV-0,10,0x00A00000,0,0.00000000
JA-JP/REV-0,DE-DE/REV-0,11,0x00B00000,0,0.00000000
JA-JP/REV-0,DE-DE/REV-0,12,0x00C00000,1027343,0.97975063
JA-JP/REV-0,DE-DE/REV-0,13,0x00D00000,984390,0.93878746
JA-JP/REV-0,DE-DE/REV-0,14,0x00E00000,715649,0.68249607
JA-JP/REV-0,DE-DE/REV-0,15,0x00F00000,682613,0.65099049
JA-JP/REV-0,ES-ES/REV-0,0,0x00000000,1010468,0.96365738
JA-JP/REV-0,ES-ES/REV-0,1,0x00100000,969756,0.92483139
JA-JP/REV-0,ES-ES/REV-0,2,0x00200000,937318,0.89389610
JA-JP/REV-0,ES-ES/REV-0,3,0x00300000,937306,0.89388466
JA-JP/REV-0,ES-ES/REV-0,4,0x00400000,1011892,0.96501541
JA-JP/REV-0,ES-ES/REV-0,5,0x00500000,1040563,0.99235821
JA-JP/REV-0,ES-ES/REV-0,6,0x00600000,1041813,0.99355030
JA-JP/REV-0,ES-ES/REV-0,7,0x00700000,65946,0.06289101
JA-JP/REV-0,ES-ES/REV-0,8,0x00800000,0,0.00000000
JA-JP/REV-0,ES-ES/REV-0,9,0x00900000,0,0.00000000
JA-JP/REV-0,ES-ES/REV-0,10,0x00A00000,0,0.00000000
JA-JP/REV-0,ES-ES/REV-0,11,0x00B00000,0,0.00000000
JA-JP/REV-0,ES-ES/REV-0,12,0x00C00000,1027343,0.97975063
JA-JP/REV-0,ES-ES/REV-0,13,0x00D00000,984564,0.93895340
JA-JP/REV-0,ES-ES/REV-0,14,0x00E00000,715730,0.68257332
JA-JP/REV-0,ES-ES/REV-0,15,0x00F00000,682613,0.65099049
JA-JP/REV-0,EN-EUROPE/REV-1,0,0x00000000,1010574,0.96375847
JA-JP/REV-0,EN-EUROPE/REV-1,1,0x00100000,979053,0.93369770
JA-JP/REV-0,EN-EUROPE/REV-1,2,0x00200000,938363,0.89489269
JA-JP/REV-0,EN-EUROPE/REV-1,3,0x00300000,943206,0.89951134
JA-JP/REV-0,EN-EUROPE/REV-1,4,0x00400000,1012980,0.96605301
JA-JP/REV-0,EN-EUROPE/REV-1,5,0x00500000,1040584,0.99237823
JA-JP/REV-0,EN-EUROPE/REV-1,6,0x00600000,1043162,0.99483681
JA-JP/REV-0,EN-EUROPE/REV-1,7,0x00700000,104038,0.09921837
JA-JP/REV-0,EN-EUROPE/REV-1,8,0x00800000,0,0.00000000
JA-JP/REV-0,EN-EUROPE/REV-1,9,0x00900000,0,0.00000000
JA-JP/REV-0,EN-EUROPE/REV-1,10,0x00A00000,0,0.00000000
JA-JP/REV-0,EN-EUROPE/REV-1,11,0x00B00000,0,0.00000000
JA-JP/REV-0,EN-EUROPE/REV-1,12,0x00C00000,1027343,0.97975063
JA-JP/REV-0,EN-EUROPE/REV-1,13,0x00D00000,984566,0.93895531
JA-JP/REV-0,EN-EUROPE/REV-1,14,0x00E00000,710578,0.67765999
JA-JP/REV-0,EN-EUROPE/REV-1,15,0x00F00000,682613,0.65099049
JA-JP/REV-0,EN-USA/REV-0,0,0x00000000,1001234,0.95485115
JA-JP/REV-0,EN-USA/REV-0,1,0x00100000,980412,0.93499374
JA-JP/REV-0,EN-USA/REV-0,2,0x00200000,940444,0.89687729
JA-JP/REV-0,EN-USA/REV-0,3,0x00300000,942412,0.89875412
JA-JP/REV-0,EN-USA/REV-0,4,0x00400000,1013176,0.96623993
JA-JP/REV-0,EN-USA/REV-0,5,0x00500000,1040649,0.99244022
JA-JP/REV-0,EN-USA/REV-0,6,0x00600000,1043192,0.99486542
JA-JP/REV-0,EN-USA/REV-0,7,0x00700000,103926,0.09911156
JA-JP/REV-0,EN-USA/REV-0,8,0x00800000,0,0.00000000
