rom_a,bank_a,bank_a_hex,rom_b,bank_b,bank_b_hex,bank_delta,offset_delta_hex,same_offset
JP_R0,194,C2,EN_R0,210,D2,16,+0x100000,False
JP_R0,195,C3,EN_R0,211,D3,16,+0x100000,False
JP_R0,196,C4,EN_R0,212,D4,16,+0x100000,False
JP_R0,197,C5,EN_R0,213,D5,16,+0x100000,False
JP_R0,198,C6,EN_R0,214,D6,16,+0x100000,False
JP_R0,199,C7,EN_R0,215,D7,16,+0x100000,False
JP_R0,201,C9,EN_R0,217,D9,16,+0x100000,False
JP_R0,202,CA,EN_R0,218,DA,16,+0x100000,False
JP_R0,203,CB,EN_R0,219,DB,16,+0x100000,False
JP_R0,204,CC,EN_R0,220,DC,16,+0x100000,False
JP_R0,205,CD,EN_R0,221,DD,16,+0x100000,False
JP_R0,206,CE,EN_R0,222,DE,16,+0x100000,False
JP_R0,207,CF,EN_R0,223,DF,16,+0x100000,False
JP_R0,208,D0,EN_R0,224,E0,16,+0x100000,False
JP_R0,209,D1,EN_R0,225,E1,16,+0x100000,False
JP_R0,210,D2,EN_R0,226,E2,16,+0x100000,False
JP_R0,211,D3,EN_R0,227,E3,16,+0x100000,False
