rom_a,rom_b,equal_bytes,similarity,identical_banks
JP_R0,EN_R0,6306671,0.37590688,84
JP_R0,EN_R1,6300156,0.37551856,84
JP_R0,DE_R0,6300909,0.37556344,84
JP_R0,ES_R0,6351904,0.37860298,84
JP_R0,FR_R0,6358230,0.37898004,85
JP_R0,IT_R0,6358362,0.37898791,85
EN_R0,EN_R1,10353202,0.61709893,142
EN_R0,DE_R0,8968683,0.53457516,115
EN_R0,ES_R0,9782163,0.58306235,137
EN_R0,FR_R0,9758828,0.58167148,137
EN_R0,IT_R0,8728901,0.52028304,115
EN_R1,DE_R0,8928554,0.53218329,115
EN_R1,ES_R0,9765926,0.58209455,137
EN_R1,FR_R0,9761518,0.58183181,137
EN_R1,IT_R0,8720044,0.51975513,115
DE_R0,ES_R0,8683801,0.51759487,115
DE_R0,FR_R0,8704450,0.51882565,115
DE_R0,IT_R0,9156483,0.54576892,115
ES_R0,FR_R0,10088327,0.60131115,137
ES_R0,IT_R0,8945171,0.53317374,115
FR_R0,IT_R0,8859156,0.52804685,116
