rom_id,repository,path
RUBY-DE-REV-0,Sakurai,GENERATION-III/RUBY/GERMAN-GERMANY/REV-0/ANALYSIS
RUBY-DE-REV-0-DEBUG,Sakurai,GENERATION-III/RUBY/GERMAN-GERMANY/REV-0-DEBUG/ANALYSIS
RUBY-DE-REV-1,Sakurai,GENERATION-III/RUBY/GERMAN-GERMANY/REV-1/ANALYSIS
RUBY-EN-REV-0,Sakurai,GENERATION-III/RUBY/ENGLISH-USA-EUROPE/REV-0/ANALYSIS
RUBY-EN-REV-1,Sakurai,GENERATION-III/RUBY/ENGLISH-USA-EUROPE/REV-1/ANALYSIS
RUBY-EN-REV-2,Sakurai,GENERATION-III/RUBY/ENGLISH-USA-EUROPE/REV-2/ANALYSIS
RUBY-ES-REV-0,Sakurai,GENERATION-III/RUBY/SPANISH-SPAIN/REV-0/ANALYSIS
RUBY-ES-REV-1,Sakurai,GENERATION-III/RUBY/SPANISH-SPAIN/REV-1/ANALYSIS
RUBY-FR-REV-0,Sakurai,GENERATION-III/RUBY/FRENCH-FRANCE/REV-0/ANALYSIS
RUBY-FR-REV-1,Sakurai,GENERATION-III/RUBY/FRENCH-FRANCE/REV-1/ANALYSIS
RUBY-IT-REV-0,Sakurai,GENERATION-III/RUBY/ITALIAN-ITALY/REV-0/ANALYSIS
RUBY-IT-REV-1,Sakurai,GENERATION-III/RUBY/ITALIAN-ITALY/REV-1/ANALYSIS
RUBY-JP-REV-0,Sakurai,GENERATION-III/RUBY/JAPANESE-JAPAN/REV-0/ANALYSIS
