game_code,base_id,target_id,range_index,start_hex,end_exclusive_hex,length,base_range_sha256,target_range_sha256
AXVD,RUBY-DE-REV-0,RUBY-DE-REV-1,0,0x000000BC,0x000000BE,2,87afe6086fe4571e37657e76281301f189c75ebae1d2eaafb56d578067a1d95e,acfa6b0e008d0208f16026b4d17a4c070e8f9f8d05461bf3ad590044fcd89026
AXVD,RUBY-DE-REV-0,RUBY-DE-REV-1,1,0x00009367,0x00009368,1,2795044ce0f83f718bc79c5f2add1e52521978df91ce9b7f82c9097191d33602,b7d25296e7bc6a6bf66da09b1c5ed273d99e3a9fc6d43e46ccb8b358fa13d4e9
AXVD,RUBY-DE-REV-0,RUBY-DE-REV-1,2,0x0000938B,0x0000938C,1,fb95aa98d6e6c5827a57ec17b978d647fcc01d98c357b7e64989af57339e9ac3,5d5c7d20a3aab9c158f23304df4bec3bd9d56c517db3caeaa519d4d05624d7a0
AXVE,RUBY-EN-REV-1,RUBY-EN-REV-2,0,0x000000BC,0x000000BE,2,dd1e2826c0124a6d4f7397a5a71f633928926c0608b62fb9e615ba778acc39ff,4634c4b51a45e6b0eea6846ba9b8e20c32aa108fe67bb9cc0583ecc137e21818
AXVE,RUBY-EN-REV-1,RUBY-EN-REV-2,1,0x0000919B,0x0000919C,1,2795044ce0f83f718bc79c5f2add1e52521978df91ce9b7f82c9097191d33602,b7d25296e7bc6a6bf66da09b1c5ed273d99e3a9fc6d43e46ccb8b358fa13d4e9
AXVE,RUBY-EN-REV-1,RUBY-EN-REV-2,2,0x000091BF,0x000091C0,1,fb95aa98d6e6c5827a57ec17b978d647fcc01d98c357b7e64989af57339e9ac3,5d5c7d20a3aab9c158f23304df4bec3bd9d56c517db3caeaa519d4d05624d7a0
AXVF,RUBY-FR-REV-0,RUBY-FR-REV-1,0,0x000000BC,0x000000BE,2,b8811852747cfa3620c3dd2af5d59498c240f208e689b4052bac934c29faf094,b317dbeddf90f0f35bb88ea4ba4bd76b137568b277a355c9ed0615070d7ddbca
AXVF,RUBY-FR-REV-0,RUBY-FR-REV-1,1,0x00009367,0x00009368,1,2795044ce0f83f718bc79c5f2add1e52521978df91ce9b7f82c9097191d33602,b7d25296e7bc6a6bf66da09b1c5ed273d99e3a9fc6d43e46ccb8b358fa13d4e9
AXVF,RUBY-FR-REV-0,RUBY-FR-REV-1,2,0x0000938B,0x0000938C,1,fb95aa98d6e6c5827a57ec17b978d647fcc01d98c357b7e64989af57339e9ac3,5d5c7d20a3aab9c158f23304df4bec3bd9d56c517db3caeaa519d4d05624d7a0
AXVI,RUBY-IT-REV-0,RUBY-IT-REV-1,0,0x000000BC,0x000000BE,2,38031a28cee4d129ea4f27e398955b88c6db228b1bb3ba92baa4b4bb7039363a,cccc369c5141675a9e9b1925164f30cdd60992dca467248d898856719825b3fd
AXVI,RUBY-IT-REV-0,RUBY-IT-REV-1,1,0x00009367,0x00009368,1,2795044ce0f83f718bc79c5f2add1e52521978df91ce9b7f82c9097191d33602,b7d25296e7bc6a6bf66da09b1c5ed273d99e3a9fc6d43e46ccb8b358fa13d4e9
AXVI,RUBY-IT-REV-0,RUBY-IT-REV-1,2,0x0000938B,0x0000938C,1,fb95aa98d6e6c5827a57ec17b978d647fcc01d98c357b7e64989af57339e9ac3,5d5c7d20a3aab9c158f23304df4bec3bd9d56c517db3caeaa519d4d05624d7a0
AXVS,RUBY-ES-REV-0,RUBY-ES-REV-1,0,0x000000BC,0x000000BE,2,906c5d2485cae722073a430f4d04fe1767507592cef226629aeadb85a2ec909d,7f774bb46e7e342a2d9d0514b27cee622012f7415645345054f8cd31e1dda661
AXVS,RUBY-ES-REV-0,RUBY-ES-REV-1,1,0x00009367,0x00009368,1,2795044ce0f83f718bc79c5f2add1e52521978df91ce9b7f82c9097191d33602,b7d25296e7bc6a6bf66da09b1c5ed273d99e3a9fc6d43e46ccb8b358fa13d4e9
AXVS,RUBY-ES-REV-0,RUBY-ES-REV-1,2,0x0000938B,0x0000938C,1,fb95aa98d6e6c5827a57ec17b978d647fcc01d98c357b7e64989af57339e9ac3,5d5c7d20a3aab9c158f23304df4bec3bd9d56c517db3caeaa519d4d05624d7a0
