method_id,method_name,supported_by_retail_gen3_engine,used_in_hgss_1_493,phase8_action
0,NONE,YES,0,preserve numeric ID
1,FRIENDSHIP,YES,9,preserve numeric ID
2,FRIENDSHIP_DAY,YES,3,preserve numeric ID
3,FRIENDSHIP_NIGHT,YES,2,preserve numeric ID
4,LEVEL,YES,162,preserve numeric ID
5,TRADE,YES,4,preserve numeric ID
6,TRADE_ITEM,YES,13,preserve numeric ID
7,STONE,YES,25,preserve numeric ID
8,LEVEL_ATK_GT_DEF,YES,1,preserve numeric ID
9,LEVEL_ATK_EQ_DEF,YES,1,preserve numeric ID
10,LEVEL_ATK_LT_DEF,YES,1,preserve numeric ID
11,LEVEL_PID_LO,YES,1,preserve numeric ID
12,LEVEL_PID_HI,YES,1,preserve numeric ID
13,LEVEL_NINJASK,YES,1,preserve numeric ID
14,LEVEL_SHEDINJA,YES,1,preserve numeric ID
15,BEAUTY,YES,1,preserve numeric ID
16,STONE_MALE,NO,1,add engine case
17,STONE_FEMALE,NO,1,add engine case
18,ITEM_DAY,NO,1,add engine case
19,ITEM_NIGHT,NO,2,add engine case
20,HAS_MOVE,NO,7,add engine case
21,OTHER_PARTY_MON,NO,1,add engine case
22,LEVEL_MALE,NO,1,add engine case
23,LEVEL_FEMALE,NO,2,add engine case
24,CORONET,NO,2,add engine case
25,ETERNA,NO,1,add engine case
26,ROUTE217,NO,1,add engine case
