target,rom_file,sha1,name_table_offset,name_record_bytes,legacy_name_records,evolution_table_offset,legacy_evo_slots_per_species,levelup_pointer_table_offset,legacy_learnset_pointer_records
Ruby_JP,Pocket Monsters - Ruby (Japan).gba,5c5e546720300b99ae45d2aa35c646c8b8ff5c56,0x1CA354,6,412,0x1D5926,5,0x1D997C,412
Ruby_EN_Rev2,"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",5b64eacf892920518db4ec664e62a086dd5f5bc8,0x1F7184,11,412,0x203B8A,5,0x207BE0,412
Sapphire_JP,Pocket Monsters - Sapphire (Japan).gba,3233342c2f3087e6ffe6c1791cd5867db07df842,0x1CA2E4,6,412,0x1D58B6,5,0x1D990C,412
Sapphire_EN_Rev2,"Pokemon - Sapphire Version (USA, Europe) (Rev 2).gba",89b45fb172e6b55d51fc0e61989775187f6fe63c,0x1F7114,11,412,0x203B1A,5,0x207B70,412
Emerald_JP,Pocket Monsters - Emerald (Japan).gba,d7cf8f156ba9c455d164e1ea780a6bf1945465c2,0x2EA31C,6,412,0x2F5CAE,5,0x2F9D04,412
Emerald_EN,"Pokemon - Emerald Version (USA, Europe).gba",f3ae088181bf583e55daf962a92bb46f4f1d07b7,0x3185C8,11,412,0x325326,5,0x32937C,412
FireRed_JP_Rev1,Pocket Monsters - Fire Red (Japan) (Rev 1).gba,7c7107b87c3ccf6e3dbceb9cf80ceeffb25a1857,0x1FF4D0,6,412,0x21197E,5,0x2159D4,412
FireRed_EN_Rev1,"Pokemon - Fire Red Version (USA, Europe) (Rev 1).gba",c4d0119d9bcb36687f41a8f7ca72ab7af60558e4,0x245F50,11,412,0x2597CE,5,0x25D824,412
LeafGreen_JP,Pocket Monsters - Leaf Green (Japan).gba,5946f1b59e8d71cc61249661464d864185c92a5f,0x203C94,6,412,0x216146,5,0x21A19C,412
LeafGreen_EU_Rev1,Pokemon - Leaf Green Version (Europe) (Rev 1).gba,7862c67bdecbe21d1d69ce082ce34327e1c6ed5e,0x245F2C,11,412,0x2597AE,5,0x25D804,412
