file_id,path,member_index,size_black,size_white,type_black,type_white,sha1_black,sha1_white,same
268,/a/0/2/6,0,13882,14173,LZ compressed,LZ compressed,3c66032264e007b9423a1aad4d667aef2581f90d,c9136063a172adecacdd1cdb2ffdef7e5fb1df12,False
268,/a/0/2/6,1,1246,1248,LZ compressed,LZ compressed,709d55c43ab5c7202a426bafb98f67001dcb23d7,4a0ee6c593b83bf5cfce57ffed06f54ea2d1079d,False
268,/a/0/2/6,2,552,552,NCLR palette,NCLR palette,92c257220d8fbd9bc33f29bf3a4d4f08dfdb859f,d0f83cf442e8320e1533d45e4a7175f5b3a2f432,False
268,/a/0/2/6,3,253,253,LZ compressed,LZ compressed,e520f860bca44908569160441b79b4620e089c03,5ab673ee7e4d6bc1679bb4a7c0113a454acb7f81,False
268,/a/0/2/6,4,552,552,NCLR palette,NCLR palette,afd030742a2a576b5c16615601bed4ca97e5473b,b09c5468d07415f3d4fc7c8aef7dcddf1315874c,False
268,/a/0/2/6,6,140,142,NCER cell,NCER cell,1129b80809058dc9806080efa8e7bd00e72ffeea,5d9db002070545f025771c2a9f10abd85beab079,False
268,/a/0/2/6,7,112,114,NANR animation,NANR animation,8dc7cbd638a7072d571b77a878989175d92a88e3,7c6febc53c205eb9fd54d0f862ef5841f7560f05,False
268,/a/0/2/6,8,552,552,NCLR palette,NCLR palette,f49c0204947d63f5dde55d7061fc671041589622,f3339a034ecb3f5e1eb33997def9e0c4676a93c2,False
328,/a/0/8/6,0,3294,3294,raw/other,raw/other,eb4ed6f40060c1bda8fc17a6933d61305faa226d,bca2260a930f1c5ef0199be74ea0e93d9a804f7d,False
368,/a/1/2/6,0,232,232,raw/other,raw/other,883b0d630aab076fb081d1689d609dd893d56daa,e6ff469ab9ade6479477fea306ed6bf5da47384f,False
368,/a/1/2/6,5,232,232,raw/other,raw/other,e310f6272d8518c8c8d6abcf338bc4d0adc10b51,2837b3990d10a1ada3a6c77a6d4f0281bb57871d,False
368,/a/1/2/6,6,232,232,raw/other,raw/other,312946cfee43be698a077cc260724afd69a04728,55c5e379ed28b916a58523b14ca440618c2892db,False
368,/a/1/2/6,49,928,928,raw/other,raw/other,17d5fc426e76e31dc3f88d3b8171cb3353cd11b6,d7fd5d74680e7314087c4744986be6f0703822fc,False
368,/a/1/2/6,52,232,232,raw/other,raw/other,f04bf5228c6c0b3c7b64fb8e1a50aa41afbf32f4,8a04afe2caf1fa79e193fca456a8ecb17f984bfd,False
368,/a/1/2/6,53,232,232,raw/other,raw/other,e7e39137f2621837af5b3c1f82bcadb4b17e7b4f,e7ba8ef60ec3e34bc32bf4cb96648c04cb5f6406,False
368,/a/1/2/6,58,232,232,raw/other,raw/other,e7e39137f2621837af5b3c1f82bcadb4b17e7b4f,e7ba8ef60ec3e34bc32bf4cb96648c04cb5f6406,False
368,/a/1/2/6,69,232,232,raw/other,raw/other,ef93f1ad31a025edabfab48c621c303409f69d33,3ea43942395018ac0911dda9f5a2a54d4d6f7988,False
368,/a/1/2/6,71,232,232,raw/other,raw/other,3b2496ea97419730d757bb2eb09b113352415836,155d06b56c6608610d0c53525eab1fca5bfbad66,False
368,/a/1/2/6,75,232,232,raw/other,raw/other,7da80fe2bd70594d5f6072b3e656041871c7b8a2,dcad691c287816cdcc565596daf01933c9d45ff9,False
368,/a/1/2/6,77,232,232,raw/other,raw/other,8e04ce3528889bd386c7e0099060b39508982857,df793cbf95858c80fa85e450d700e18279fb473d,False
368,/a/1/2/6,79,232,232,raw/other,raw/other,30f6e10f488a5550e6f14f62c27dc5fbd8545c6f,f8d4ab943aba4bd3c9fd6173210d795c9ff4cd61,False
368,/a/1/2/6,80,232,232,raw/other,raw/other,b1dd1e4fb722738f14a2cae1cf458efe7cfdc7ab,c4f337e440d5aeac58cc0d3bed81d21501741da9,False
368,/a/1/2/6,81,232,232,raw/other,raw/other,b1dd1e4fb722738f14a2cae1cf458efe7cfdc7ab,c4f337e440d5aeac58cc0d3bed81d21501741da9,False
368,/a/1/2/6,82,232,232,raw/other,raw/other,d40284b788d7178e23013dfdb402832099fa2521,16092b7f3592f3bf1af54410a8372873de3dbfcc,False
368,/a/1/2/6,83,232,232,raw/other,raw/other,55c7b4518226409ef28a477adf8f9e0dd886352b,cffc2b30a50fc12c63d0a4da62ea183a5129fdb1,False
368,/a/1/2/6,84,928,928,raw/other,raw/other,01767cc02ad3ad8e328211e89a623c3c3cd8ba67,19ae9e6eae77dc0d9d6268ae8c46a95cbfdf9e4a,False
368,/a/1/2/6,95,232,232,raw/other,raw/other,e159afa191f94b5a51308c0a8abc070c0584a9f5,2e646fd431b6cae5440f359ce1e0030bbf3eefe4,False
368,/a/1/2/6,98,232,232,raw/other,raw/other,ea015ee68e5ffc232281f360d67a02a2d13a2653,8e91c72c152a9e061bed72e4fd2c2c0c2d4f407a,False
368,/a/1/2/6,99,232,232,raw/other,raw/other,015a75235fc75f10875611dad20c119232bfe8c6,b52a81a9a8a22f90e3fae91926743ad718bcef83,False
368,/a/1/2/6,100,232,232,raw/other,raw/other,cec940982cbcc04b87724c9a26db2bd0da532b7f,dc4dccb14fce16d74b646dd3b36f08245be8a98d,False
368,/a/1/2/6,101,232,232,raw/other,raw/other,27dfd0b0be6e06a24b2810093dcf4037d636038c,e574c25376b3f712bd05fdc74d1f6b45d8320de7,False
368,/a/1/2/6,102,232,232,raw/other,raw/other,6f7a2b1df081342a5943a20604a3491e0952152b,00c13492782820f106354e2532f6cc2200fb3ba9,False
368,/a/1/2/6,104,232,232,raw/other,raw/other,d521702b3c4beda91db3a078d8c0a60cafad4c12,f78efe75ef323d189f1ff9d8f1621bf2dc1ff8b3,False
368,/a/1/2/6,105,232,232,raw/other,raw/other,a076b64f2adc29fee53751f75b0817622e416b49,2014562b06e917049d72139752f4855f0eb0ec42,False
368,/a/1/2/6,106,232,232,raw/other,raw/other,cc1bc2d104dccf91db757c24c9bd211c3da7b3fe,e1eb041d37a8de37fa5c5eb8aaa2e9313737811f,False
368,/a/1/2/6,107,232,232,raw/other,raw/other,55c7b4518226409ef28a477adf8f9e0dd886352b,cffc2b30a50fc12c63d0a4da62ea183a5129fdb1,False
368,/a/1/2/6,108,232,232,raw/other,raw/other,68a57975248b9f99cc3e20b62335907a315f7fa5,cb75e6853bf2ac3c07cca829e81370b91a4eccd2,False
368,/a/1/2/6,109,232,232,raw/other,raw/other,56711f5fae621f6b31c2d27cf36c9af76bf77682,fd3b32665521433de53820d890bb77566d759dbf,False
420,/a/1/7/8,10,249,249,raw/other,raw/other,99eb6edaf00c52a450bfe81aebc591393a2919c9,87a86c99ab196fdfd8097c1f00bf1cc424a3d466,False
420,/a/1/7/8,11,249,249,raw/other,raw/other,99eb6edaf00c52a450bfe81aebc591393a2919c9,3115235811b52f51d9fb2c8fc5a324f2e819655b,False
420,/a/1/7/8,13,249,249,raw/other,raw/other,87a86c99ab196fdfd8097c1f00bf1cc424a3d466,99eb6edaf00c52a450bfe81aebc591393a2919c9,False
420,/a/1/7/8,14,249,249,raw/other,raw/other,3115235811b52f51d9fb2c8fc5a324f2e819655b,99eb6edaf00c52a450bfe81aebc591393a2919c9,False
420,/a/1/7/8,197,249,249,raw/other,raw/other,8e3b166939876bf77ceac90ba9f890d24ae9d258,99eb6edaf00c52a450bfe81aebc591393a2919c9,False
420,/a/1/7/8,199,249,249,raw/other,raw/other,99eb6edaf00c52a450bfe81aebc591393a2919c9,8e3b166939876bf77ceac90ba9f890d24ae9d258,False
420,/a/1/7/8,366,249,249,raw/other,raw/other,182e42138a1f48f16a1a6400b1ad35797f496dcc,99eb6edaf00c52a450bfe81aebc591393a2919c9,False
420,/a/1/7/8,367,249,249,raw/other,raw/other,99eb6edaf00c52a450bfe81aebc591393a2919c9,182e42138a1f48f16a1a6400b1ad35797f496dcc,False
420,/a/1/7/8,428,249,249,raw/other,raw/other,99eb6edaf00c52a450bfe81aebc591393a2919c9,02302f82bf38b4e294352e386c23e5c898af9f26,False
420,/a/1/7/8,429,249,249,raw/other,raw/other,02302f82bf38b4e294352e386c23e5c898af9f26,99eb6edaf00c52a450bfe81aebc591393a2919c9,False
420,/a/1/7/8,537,249,249,raw/other,raw/other,3f5d155cada691a12dd0d59dcd0343cab3d1b312,278982df53caa49b9fcc37e0b22b868127988219,False
420,/a/1/7/8,538,249,249,raw/other,raw/other,278982df53caa49b9fcc37e0b22b868127988219,3f5d155cada691a12dd0d59dcd0343cab3d1b312,False
420,/a/1/7/8,545,249,249,raw/other,raw/other,3f74a4460dcd9df7641ea456e77ff4b0af654a56,99eb6edaf00c52a450bfe81aebc591393a2919c9,False
420,/a/1/7/8,546,249,249,raw/other,raw/other,13f258dff03a2647f915e00c21e3a3e62e029e3f,99eb6edaf00c52a450bfe81aebc591393a2919c9,False
420,/a/1/7/8,547,249,249,raw/other,raw/other,99eb6edaf00c52a450bfe81aebc591393a2919c9,3f74a4460dcd9df7641ea456e77ff4b0af654a56,False
420,/a/1/7/8,548,249,249,raw/other,raw/other,99eb6edaf00c52a450bfe81aebc591393a2919c9,13f258dff03a2647f915e00c21e3a3e62e029e3f,False
420,/a/1/7/8,573,249,249,raw/other,raw/other,b72aa0aeef0a380fa8f29187e7475f78fb42841d,99eb6edaf00c52a450bfe81aebc591393a2919c9,False
