column,offset,min,max,unique,most_common
0,0x00,0,4116,35,4112:293;4096:50;4110:8;4103:8;4100:4;1536:4;4111:4;1024:4
1,0x02,2,273,104,210:49;219:31;244:22;217:16;224:15;248:15;211:14;242:14
2,0x04,0,254,238,0:40;175:23;44:15;13:13;46:13;50:10;26:8;165:8
3,0x06,0,852,427,0:1;2:1;4:1;6:1;8:1;10:1;12:1;14:1
4,0x08,1,853,427,1:1;3:1;5:1;7:1;9:1;11:1;13:1;15:1
5,0x0A,2,468,427,2:1;3:1;4:1;5:1;6:1;7:1;11:1;12:1
6,0x0C,1001,1170,54,1080:31;1028:30;1071:28;1084:25;1065:22;1060:16;1029:16;1046:16
7,0x0E,1001,1170,54,1080:31;1028:30;1071:28;1084:25;1065:22;1060:16;1029:16;1047:16
8,0x10,1001,1170,54,1080:31;1028:30;1071:28;1084:25;1065:22;1060:16;1029:16;1048:16
9,0x12,1001,1170,54,1080:31;1028:30;1071:28;1084:25;1065:22;1060:16;1029:16;1049:16
10,0x14,0,65535,113,65535:315;0:1;1:1;2:1;3:1;4:1;5:1;6:1
11,0x16,0,426,427,0:1;1:1;2:1;3:1;4:1;5:1;6:1;7:1
12,0x18,0,424,93,28:33;62:31;160:31;214:16;264:15;120:13;16:11;96:11
13,0x1A,0,1140,158,8:30;35:29;9:17;40:14;45:14;13:12;7:10;10:10
14,0x1C,0,17984,32,0:251;64:112;1536:14;17984:9;12864:5;17472:4;16896:4;4672:2
15,0x1E,2112,60736,50,18721:156;23843:31;60480:27;2337:27;19746:22;60416:16;7331:15;18725:14
16,0x20,0,65535,200,65535:59;0:35;175:23;44:14;13:13;46:13;26:8;165:8
17,0x22,0,0,1,0:427
18,0x24,0,801,57,5:307;16:28;0:15;1:4;371:3;43:2;30:2;178:2
19,0x26,0,0,1,0:427
20,0x28,0,8,5,0:419;3:5;8:1;1:1;5:1
21,0x2A,0,0,1,0:427
22,0x2C,0,758,55,4:305;16:28;0:19;431:5;184:4;38:2;599:2;306:2
23,0x2E,0,0,1,0:427
