offset,name,confidence,evidence
0x00,unknown_flags_0,unknown,35 unique values; not named
0x02,tileset_load_candidate,historical/tentative,historically cataloged as tile set load (?)
0x04,map_terrain_load,historical/high,historically cataloged as map terrain load
0x06,script_set_A_member,confirmed,equals 2*zone for all 427 rows; executable script file
0x08,script_set_B_metadata_member,confirmed,equals 2*zone+1; byte-identical to overworld tail for all 427 rows
0x0A,text_bank_member,high,historically documented text script selector; all values fit story/text archive range
0x0C,music_set_A,historical/tentative,historically cataloged music set A (?)
0x0E,music_set_B,historical/tentative,historically cataloged music set B (?)
0x10,music_set_C,historical/tentative,historically cataloged music set C (?)
0x12,music_set_D,historical/tentative,historically cataloged music set D (?)
0x14,encounter_member,confirmed,FFFF=no encounters; non-FFFF set exactly 0..111
0x16,overworld_member,confirmed,equals zone index for all 427 rows
0x18,current_location_parent,historical/high,historically cataloged current location/submap
0x1A,unknown_1A,unknown,not assigned
0x1C,camera_angle,historical/high,historically cataloged camera angle control
0x1E,field_flags_battle_bg,historical/high,historically cataloged bike/fly and battle pad/background flags
0x20,camera_view_shift,historical/tentative,historically cataloged camera/view shift
0x22,constant_zero_22,confirmed,zero in all 427 records
0x24,flyto_x,historical/high,historically cataloged FlyTo X
0x26,constant_zero_26,confirmed,zero in all 427 records
0x28,flyto_z,historical/high,historically cataloged FlyTo Z
0x2A,constant_zero_2A,confirmed,zero in all 427 records
0x2C,flyto_y,historical/high,historically cataloged FlyTo Y
0x2E,constant_zero_2E,confirmed,zero in all 427 records
