species_id,species_name_en,form_count,form_stats_index,separate_alt_personal_members,shared_base_personal_only
201,Unown,28,0,,true
351,Castform,4,662,662;663;664,false
386,Deoxys,4,650,650;651;652,false
412,Burmy,3,0,,true
413,Wormadam,3,653,653;654,false
421,Cherrim,2,0,,true
422,Shellos,2,0,,true
423,Gastrodon,2,0,,true
479,Rotom,6,657,657;658;659;660;661,false
487,Giratina,2,656,656,false
492,Shaymin,2,655,655,false
493,Arceus,17,0,,true
550,Basculin,2,665,665,false
555,Darmanitan,2,666,666,false
585,Deerling,4,0,,true
586,Sawsbuck,4,0,,true
648,Meloetta,2,667,667,false
649,Genesect,5,0,,true
