opcode_hex,command,family,edge_rule,confidence
0x1B,RTCallGlobalAsync,control/global-script,param0=global_script_id,high
0x1C,RTCallGlobal,control/global-script,param0=global_script_id,high
0x21,RTReserveScript,control/reserved-script,param0=script_id,high
0x23,FlagSet,flag,param0=flag_write_true,confirmed
0x24,FlagReset,flag,param0=flag_write_false,confirmed
0x25,FlagGet,flag,param0=flag_read;param1=dest_var,confirmed
0x28,WorkSetConst,variable,param0=dest_var;param1=value,confirmed
0x29,WorkGet,variable,param0=dest_var;param1=src_var,high
0x2A,WorkSet,variable,param0=dest_var;param1=src_var,high
0x34,MsgSystem,text,param0=message_id;zone_text_context,high
0x35,MsgSystemAsync,text,param0=message_id;zone_text_context,high
0x38,MsgInfo,text,param0=message_id;zone_text_context,high
0x3A,MsgMulti,text,param0=message_id;zone_text_context,high
0x3C,MsgActorEx,text,param0=text_file;param1=message_id;param2=actor_id,confirmed
0x3D,MsgActor,text,param0=text_file;param1=message_id,confirmed
0x43,MsgPlaceSign,text,param0=message_id;zone_text_context,high
0x48,MsgActorGendered,text,param0=text_file;param1=male_message;param2=female_message;param3=actor_id,confirmed
0x49,MsgActorVersioned,text,param0=text_file;param1=white_message;param2=black_message;param3=actor_id,confirmed
0x4D,WordSetItemName,text-dynamic,param1=item_id,high
0x50,WordSetTMMoveName,text-dynamic,param1=item_id,high
0x51,WordSetMoveName,text-dynamic,param1=move_id,high
0x57,WordSetPokeSpecies,text-dynamic,param1=species_id,high
0x59,WordSetPlaceName,text-dynamic,param1=zone_id,high
0x61,WordSetTrainerClassName,text-dynamic,param1=trainer_class_id,high
0x64,ActorCmdExec,actor/control,param0=actor_id;param1=relative_movement_pointer,confirmed
0x84,ActorGetTrainerID,trainer,param0=dest_var,medium
0x85,CallTrainerBattle,trainer,param0=trainer1_id;param1=trainer2_id;param2=flags,confirmed
0x86,CallTrainerMultiBattle,trainer,param0=ally_trainer_id;param1=trainer1_id;param2=trainer2_id;param3=flags,confirmed
0x8A,TrainerGetBattleType,trainer,param0=trainer_id;param1=dest_var,high
0x8B,TrainerBGMPlayPush,trainer,param0=trainer_id,high
0x92,TrainerGetFieldAction,trainer,param0=trainer_id;param1=dest_var,high
0x93,TrainerGetPrizeItem,trainer/item,param0=trainer_id;param1=dest_item_var,high
0x94,CallTradedPokemonBattle,trainer,param0=trainer1_id;param1=trainer2_id;param2=flags;param3=saved_pokemon_index,high
0x95,TrainerFlagSet,trainer,param0=trainer_id,confirmed
0x96,TrainerFlagReset,trainer,param0=trainer_id,confirmed
0x97,TrainerFlagGet,trainer,param0=trainer_id;param1=dest_var,confirmed
0xAB,PVPlay,pokemon/audio,param0=species_id;param1=form_id,high
0xB5,ItemAdd,item,param0=item_id;param1=amount;param2=success_var,confirmed
0xB6,ItemSub,item,param0=item_id;param1=amount;param2=success_var,confirmed
0xB7,ItemCheckSpace,item,param0=item_id;param1=amount;param2=success_var,confirmed
0xB8,ItemCheckCount,item,param0=item_id;param1=amount;param2=success_var,confirmed
0xB9,ItemGetCount,item,param0=item_id;param1=dest_var,confirmed
0xBA,ItemIsTMHM,item,param0=item_id;param1=dest_var,confirmed
0xBB,ItemGetPocket,item,param0=item_id;param1=dest_var,confirmed
0xBD,ItemGetClass,item,param0=item_id;param1=dest_var,high
0xBE,MapChangeFake,zone-transition,param0=zone_id;param1=x;param2=z;param3=direction,confirmed
0xBF,MapChangeWarpPad,zone-transition,param0=zone_id;param1=x;param2=z;param3=direction,confirmed
0xC0,MapChangeWarpRail,zone-transition,param0=zone_id;param1=line_id;param2=front;param3=side;param4=direction,confirmed
0xC1,MapChangeQuicksand,zone-transition,param0=zone_id;param1=x;param2=z,confirmed
0xC2,MapChangeWarp,zone-transition,param0=zone_id;param1=x;param2=z;param3=direction,confirmed
0xC4,MapChangeCore,zone-transition,param0=zone_id;param1=x;param2=y;param3=z;param4=direction,confirmed
0xCC,RTGetTextFile,text,param0=dest_text_file_var,high
0xCF,RTCGetWeekDay,time,param0=dest_var,high
0xD0,RTCGetDate,time,param0=month_var;param1=day_var,high
0xD1,RTCGetTime,time,param0=hour_var;param1=minute_var,high
0xD2,RTCGetSeason,season,param0=dest_var,confirmed
0xD3,FieldGetZoneID,zone,param0=dest_var,high
0xD9,FieldSetTeleportZone,zone,param0=teleport_slot,medium
0xDC,FieldSetNextZone,zone-transition,param0=zone_id;param1=direction;param2=x;param3=y;param4=z,high
0x10C,PokePartyAdd,pokemon-gift,param0=success_var;param1=species_id;param2=form_id;param3=level,confirmed
0x10E,PokePartyAddEx,pokemon-gift,param0=success_var;param1=species_id;param2=form_id;param3=level;param4=ability_choice;param5=gender;param6=shiny;param7=held_item;param8=ball,confirmed
0x10F,PokePartyAddEgg,pokemon-gift,param0=success_var;param1=species_id;param2=form_id,confirmed
0x122,BoxAdd,pokemon-gift,param0=success_var;param1=species_id;param2=form_id;param3=level,confirmed
0x123,BoxAddEx,pokemon-gift,param0=success_var;param1=species_id;param2=form_id;param3=level;param4=ability_choice;param5=gender;param6=shiny;param7=held_item;param8=ball,confirmed
0x178,CallWildBattle,pokemon-static,param0=species_id;param1=level;param2=flags,confirmed
