repository,current_group,classification,target_group,action
Sakurai,GENERATION-V/_SHARED/MULTI/REV-ALL/ANALYSIS/BW-EUR-REV-UNKNOWN/CORE-RECORD-DATABASES,BW1 direct shared ROM-derived data,GENERATION-V/_SHARED/EU-EN/REV-0/{ANALYSIS|DATA}/GAME-DATA/CORE-RECORDS/BW1,SPLIT_BY_ARTIFACT_TYPE
Sakurai,GENERATION-V/_SHARED/MULTI/REV-ALL/ANALYSIS/BW-EUR-REV-UNKNOWN/MAP-RELATION-GRAPH,BW1 direct shared field topology,GENERATION-V/_SHARED/EU-EN/REV-0/{ANALYSIS|DATA}/FIELD/MAP-RELATION-GRAPH/BW1,SPLIT_BY_ARTIFACT_TYPE
Sakurai,GENERATION-V/_SHARED/MULTI/REV-ALL/ANALYSIS/BW-EUR-REV-UNKNOWN/ROM-BASELINE-SWEETNDS,BW1 supplied-ROM identity plus Black/White comparison,GENERATION-V/_SHARED/EU-EN/REV-0/{ANALYSIS|MANIFESTS|DIFFS|TOOLS}/ROM,SPLIT_BY_ARTIFACT_TYPE
Sakurai,GENERATION-V/_SHARED/MULTI/REV-ALL/ANALYSIS/BW-EUR-REV-UNKNOWN/ROM-DATA-CATALOG,BW1 filesystem/NARC census and comparison,GENERATION-V/_SHARED/EU-EN/REV-0/{ANALYSIS|DATA|DIFFS}/FILESYSTEM,SPLIT_BY_ARTIFACT_TYPE
Sakurai,GENERATION-V/_SHARED/MULTI/REV-ALL/ANALYSIS/BW-EUR-REV-UNKNOWN/SCRIPT-EVENT-GRAPH,BW1 script/event parser plus research,GENERATION-V/_SHARED/EU-EN/REV-0/{ANALYSIS|DATA|TOOLS}/FIELD/SCRIPT-EVENT-GRAPH/BW1,SPLIT_BY_ARTIFACT_TYPE
Sakurai,GENERATION-V/_SHARED/MULTI/REV-ALL/ANALYSIS/BW-EUR-REV-UNKNOWN-SPRITES,BW1 sprite preservation research/tooling,GENERATION-V/_SHARED/EU-EN/REV-0/{ANALYSIS|TOOLS|TESTS|MANIFESTS|REPORTS}/SPRITES/BATTLE/64X64-PRESERVATION,SPLIT_BY_ARTIFACT_TYPE
Sakurai,GENERATION-V/_SHARED/MULTI/REV-ALL/ANALYSIS/BW-B2W2/PARTY-SCREEN,BW1 direct party-screen audit with B2W2 comparison notes,GENERATION-V/_SHARED/EU-EN/REV-0/{ANALYSIS|DATA}/UI/PARTY-SCREEN/BW1,SPLIT_BY_ARTIFACT_TYPE
Sakurai,GENERATION-V/_SHARED/MULTI/REV-ALL/ANALYSIS/BW-B2W2/STATUS-SCREEN,Cross-generation integration specification using Gen V baseline,GENERATION-V/_SHARED/MULTI/REV-ALL/{ANALYSIS|DATA}/PORTS/GEN1-GEN5/STATUS-SCREEN,SPLIT_BY_ARTIFACT_TYPE
Sakurai,GENERATION-V/_SHARED/MULTI/REV-ALL/ANALYSIS/BW-B2W2/GAME-PARAMETERS,Gen V source schema plus Gen II/III porting research,GENERATION-V/_SHARED/MULTI/REV-ALL/{DATA|TOOLS|ANALYSIS}/GAME-DATA+PORTS,SPLIT_SOURCE_SCHEMA_FROM_PORTING
Sakurai,GENERATION-V/_SHARED/MULTI/REV-ALL/ANALYSIS/BW-EUR-REV-MIXED/GAME-PARAMETERS,Gen III-targeted runtime/parameter port analysis,GENERATION-III/_SHARED/MULTI/REV-ALL/ANALYSIS/PORTS/FROM-GEN5/GAME-PARAMETERS,MOVE_TO_TARGET_GENERATION
Sakurai,GENERATION-V/_SHARED/MULTI/REV-ALL/ANALYSIS/BW-MULTI-REGION/PARAMETER-PORT,Cross-target Gen II/III parameter-port analysis,GENERATION-V/_SHARED/MULTI/REV-ALL/{ANALYSIS|MANIFESTS}/PORTS/GEN2-GEN3/PARAMETERS,SPLIT_BY_ARTIFACT_TYPE
Sakurai,GENERATION-V/_SHARED/MULTI/REV-ALL/ANALYSIS/BW-MULTI-REGION/ROM-INTEGRITY/WHITE-EUR-TRUNCATION.md,White supplied-ROM integrity correction,GENERATION-V/WHITE/EU-EN/REV-0/VERIFICATION/ROM-INTEGRITY/WHITE-EUR-TRUNCATION.md,MOVE_GAME_SPECIFIC
Sakurai,GENERATION-II/**/GEN5-PARAMETERS,Gen II target integration of Gen V parameters,GENERATION-II/_SHARED/MULTI/REV-ALL/ANALYSIS/PORTS/FROM-GEN5/PARAMETERS,CONSOLIDATE_TARGET_OWNED
Sakurai,GENERATION-III/**/GEN5-PARAMETERS,Gen III target integration of Gen V parameters,GENERATION-III/_SHARED/MULTI/REV-ALL/ANALYSIS/PORTS/FROM-GEN5/PARAMETERS,CONSOLIDATE_TARGET_OWNED
Tsubaki,GENERATION-V/_SHARED/MULTI/REV-ALL/SOURCE/BW/EUR/REV-MIXED/IMPLEMENTATION/GEN2-GEN3-FORM-RUNTIME/gen2,Generation II runtime code consuming Gen V formats,GENERATION-II/_SHARED/MULTI/REV-ALL/SOURCE/PORTS/FROM-GEN5/FORM-RUNTIME,MOVE_TO_TARGET_GENERATION
