generation,game_id,platform_id,release_id,dump_id,coordinate,sha256,size_bytes
GEN-01,RED,GB,JP-JA-HV1,DUMP-SHA256-751ABB1FB2B2D6B9,GEN-01/RED/RELEASES/GB/CART/JP-JA-HV1,751abb1fb2b2d6b91dc631fa10ed36bd07f682cb5c3febe6c8f0e3dabc1fae1c,524288
GEN-01,BLUE,GB,JP-JA-HV0,DUMP-SHA256-71A70E5F77C10917,GEN-01/BLUE/RELEASES/GB/CART/JP-JA-HV0,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,524288
GEN-02,CRYSTAL,GBC,BXTJ-HV0,DUMP-SHA256-136ADA06CB68656B,GEN-02/CRYSTAL/RELEASES/GBC/CART/BXTJ-HV0,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,2097152
GEN-03,EMERALD,GBA,BPEJ-HV0,DUMP-SHA256-33F5610B9186B4AD,GEN-03/EMERALD/RELEASES/GBA/CART/BPEJ-HV0,33f5610b9186b4add09fef68895deb00f552b997b3d133b5a961e5123506343c,16777216
GEN-03,FIRERED,GBA,BPRJ-HV1,DUMP-SHA256-CEC5FC4DBE38CD80,GEN-03/FIRERED/RELEASES/GBA/CART/BPRJ-HV1,cec5fc4dbe38cd8026bd6664a1a041d9dc91e8d4249bab04e7bde70c3cdf4e06,16777216
GEN-03,LEAFGREEN,GBA,BPGJ-HV0,DUMP-SHA256-2957B392DC09FC8D,GEN-03/LEAFGREEN/RELEASES/GBA/CART/BPGJ-HV0,2957b392dc09fc8df45a660af5493368d7bd378d299862f4cc115998e9da0bf2,16777216
GEN-01,GREEN,GB,JP-JA-HV1,DUMP-SHA256-3F0DC460CA8D06BE,GEN-01/GREEN/RELEASES/GB/CART/JP-JA-HV1,3f0dc460ca8d06be1c9ac96307c939c0ea7baa366b40c2f1f4ad63242b6c4816,524288
GEN-01,YELLOW,GB,JP-JA-HV3,DUMP-SHA256-1349408F328F633B,GEN-01/YELLOW/RELEASES/GB/CART/JP-JA-HV3,1349408f328f633b33e059e654edabd19810530df9c883eda03a85d5bb10161a,1048576
GEN-03,RUBY,GBA,AXVJ-HV0,DUMP-SHA256-E911CAA1FFBF8704,GEN-03/RUBY/RELEASES/GBA/CART/AXVJ-HV0,e911caa1ffbf8704cd45bbe064ade40e24efa50dfdce82adf4b2899b5f733852,8388608
GEN-03,SAPPHIRE,GBA,AXPJ-HV0,DUMP-SHA256-6A5FF7656531AB41,GEN-03/SAPPHIRE/RELEASES/GBA/CART/AXPJ-HV0,6a5ff7656531ab41d1ea9cd8f2d045ab6228405b43f3ee09ea3ff5077c0f60c9,8388608
GEN-02,SILVER,GBC,AAXK-HV0,DUMP-SHA256-EBBAC63C0C4309C8,GEN-02/SILVER/RELEASES/GBC/CART/AAXK-HV0,ebbac63c0c4309c82dbb6723e7163369784f962b4fd3e2f486075307c3008a22,2097152
GEN-02,GOLD,GBC,AAUK-HV0,DUMP-SHA256-9C273E86E6120C6A,GEN-02/GOLD/RELEASES/GBC/CART/AAUK-HV0,9c273e86e6120c6a038160ccb0153b8b20425b84fc08a496281c1d1bcac492f6,2097152
GEN-02,SILVER,GBC,AAXJ-HV1,DUMP-SHA256-99E5267FBF5A7748,GEN-02/SILVER/RELEASES/GBC/CART/AAXJ-HV1,99e5267fbf5a7748d4f3b75ba1990cb5d91348339468607a04bfbc6081c62d71,1048576
GEN-02,GOLD,GBC,AAUJ-HV1,DUMP-SHA256-27A07A1D3FAF9C6A,GEN-02/GOLD/RELEASES/GBC/CART/AAUJ-HV1,27a07a1d3faf9c6a0b1b60d5e88ee3a4159a751a47b4c46ab09f1202d52bac3e,1048576
GEN-01,BLUE,GB,US-EU-EN-HV0,DUMP-SHA256-2A951313C2640E8C,GEN-01/BLUE/RELEASES/GB/CART/US-EU-EN-HV0,2a951313c2640e8c2cb21f25d1db019ae6245d9c7121f754fa61afd7bee6452d,1048576
GEN-02,CRYSTAL,GBC,BYTE-HV1,DUMP-SHA256-FDCC3C8C43813CF8,GEN-02/CRYSTAL/RELEASES/GBC/CART/BYTE-HV1,fdcc3c8c43813cf8731fc037d2a6d191bac75439c34b24ba1c27526e6acdc8a2,2097152
GEN-03,EMERALD,GBA,BPEE-HV0,DUMP-SHA256-A9DEC84DFE7F62AB,GEN-03/EMERALD/RELEASES/GBA/CART/BPEE-HV0,a9dec84dfe7f62ab2220bafaef7479da0929d066ece16a6885f6226db19085af,16777216
GEN-03,FIRERED,GBA,BPRE-HV1,DUMP-SHA256-6D306E01BA04907E,GEN-03/FIRERED/RELEASES/GBA/CART/BPRE-HV1,6d306e01ba04907efaa0611a32fee3b440a1e8ac8b4e0acdd223dc9281afa170,16777216
GEN-02,GOLD,GBC,AAUE-HV0,DUMP-SHA256-FB0016D27B1E5374,GEN-02/GOLD/RELEASES/GBC/CART/AAUE-HV0,fb0016d27b1e5374e1ec9fcad60e6628d8646103b5313ca683417f52b97e7e4e,2097152
GEN-03,LEAFGREEN,GBA,BPGE-HV1,DUMP-SHA256-2F978F635B9593F6,GEN-03/LEAFGREEN/RELEASES/GBA/CART/BPGE-HV1,2f978f635b9593f6ca26ec42481c53a6b39f6cddd894ad5c062c1419fac58825,16777216
GEN-01,RED,GB,US-EU-EN-HV0,DUMP-SHA256-5CA7BA01642A3B27,GEN-01/RED/RELEASES/GB/CART/US-EU-EN-HV0,5ca7ba01642a3b27b0cc0b5349b52792795b62d3ed977e98a09390659af96b7b,1048576
GEN-03,RUBY,GBA,AXVE-HV2,DUMP-SHA256-0FDD36E92B75BED6,GEN-03/RUBY/RELEASES/GBA/CART/AXVE-HV2,0fdd36e92b75bed65d09df4635ab0b707b288c2bf1dc4c6e7a4a4f0eebe9d64c,16777216
GEN-03,SAPPHIRE,GBA,AXPE-HV2,DUMP-SHA256-02CA41513580A8B7,GEN-03/SAPPHIRE/RELEASES/GBA/CART/AXPE-HV2,02ca41513580a8b780989dee428df747b52a0b1a55bec617886b4059eb1152fb,16777216
GEN-02,SILVER,GBC,AAXE-HV0,DUMP-SHA256-72B190859A59623C,GEN-02/SILVER/RELEASES/GBC/CART/AAXE-HV0,72b190859a59623cbef6c49d601f8de52c1d2331b4f08a8d2acc17274fc19a8c,2097152
