item_id_decimal,item_id_hex,original_gs_korean,latest_korean,change_category,verification_status,source_agreement,original_encoded_length_bytes,latest_encoded_length_bytes,record_byte_delta_with_terminator,cpu_address_hex
4,0x04,수퍼볼,슈퍼볼,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,6,6,0,0x401B
8,0x08,달맞이 돌,달의돌,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,6,-3,0x4035
10,0x0A,화상 치료제,화상치료제,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x4046
11,0x0B,얼음상태 치료제,얼음상태치료제,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,15,14,-1,0x4052
12,0x0C,잠깨는 약,잠깨는약,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x4062
13,0x0D,마비 치료제,마비치료제,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x406C
15,0x0F,풀 회복약,풀회복약,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x407F
16,0x10,고급 상처약,고급상처약,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x4089
17,0x11,좋은 상처약,좋은상처약,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x4095
19,0x13,동굴탈출 로프,동굴탈출로프,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x40A8
21,0x15,PP 맥스,PP맥스,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,7,6,-1,0x40C7
22,0x16,불꽃의 돌,불꽃의돌,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x40CF
23,0x17,천둥의 돌,천둥의돌,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x40D9
24,0x18,물의 돌,물의돌,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,7,6,-1,0x40E3
26,0x1A,맥스 업,맥스업,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,7,6,-1,0x40EE
30,0x1E,럭키 펀치,럭키펀치,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x410F
32,0x20,이상한 사탕,이상한사탕,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x4124
34,0x22,잎사귀 돌,리프의돌,RENAMED_OR_SPELLING,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,9,8,-1,0x413B
35,0x23,금속 파우더,금속파우더,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x4145
39,0x27,기력의 조각,기력의조각,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x416C
40,0x28,기력의 덩어리,기력의덩어리,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x4178
41,0x29,이펙트 가드,이펙트가드,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,11,10,-1,0x4186
42,0x2A,실버 스프레이,실버스프레이,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x4192
43,0x2B,골드 스프레이,골드스프레이,SPACING_NORMALIZATION,CURRENT_LOCALIZATION_DATA_CONSENSUS,PKHEX_EQUALS_POKEAPI,13,12,-1,0x41A0
