generation,game,platform,package_kind,release_id,language,market,source_filename,size_bytes,sha1,sha256,dump_id,canonical_source_path,canonical_dump_path,target_id
GEN-01,BLUE,GB,CART,JP-JA-HV0,ja,JP,Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,524288,0da501e3e5c51ab8fef55b092dcdd7e6b050e424,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,USER-UPLOAD-0da501e3,GEN-01/BLUE/SOURCE/GB/CART/JP-JA-HV0,GEN-01/BLUE/SOURCE/GB/CART/JP-JA-HV0/DUMPS/USER-UPLOAD-0da501e3,KO-GEN01-BLUE-JP-JA-HV0
GEN-01,BLUE,GB,CART,US-EU-EN-HV0,en,US-EU,"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",1048576,d7037c83e1ae5b39bde3c30787637ba1d4c48ce2,2a951313c2640e8c2cb21f25d1db019ae6245d9c7121f754fa61afd7bee6452d,USER-UPLOAD-d7037c83,GEN-01/BLUE/SOURCE/GB/CART/US-EU-EN-HV0,GEN-01/BLUE/SOURCE/GB/CART/US-EU-EN-HV0/DUMPS/USER-UPLOAD-d7037c83,KO-GEN01-BLUE-US-EU-EN-HV0
GEN-01,GREEN,GB,CART,JP-JA-HV0,ja,JP,Pocket Monsters - Midori (Japan) (SGB Enhanced).gb,524288,82c0eef40a5e2423699d9fd8ba15dfaa8b51d196,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,USER-UPLOAD-82c0eef4,GEN-01/GREEN/SOURCE/GB/CART/JP-JA-HV0,GEN-01/GREEN/SOURCE/GB/CART/JP-JA-HV0/DUMPS/USER-UPLOAD-82c0eef4,KO-GEN01-GREEN-JP-JA-HV0
GEN-01,GREEN,GB,CART,JP-JA-HV1,ja,JP,Pocket Monsters - Midori (Japan) (Rev A) (SGB Enhanced).gb,524288,4b97cd44aa3f0dd290bfe7b3ac17b7bd8270897b,3f0dc460ca8d06be1c9ac96307c939c0ea7baa366b40c2f1f4ad63242b6c4816,USER-UPLOAD-4b97cd44,GEN-01/GREEN/SOURCE/GB/CART/JP-JA-HV1,GEN-01/GREEN/SOURCE/GB/CART/JP-JA-HV1/DUMPS/USER-UPLOAD-4b97cd44,KO-GEN01-GREEN-JP-JA-HV1
GEN-01,RED,GB,CART,JP-JA-HV0,ja,JP,Pocket Monsters - Aka (Japan) (SGB Enhanced).gb,524288,0623ad12f48c259447980d68bd85ddbf8204b2cd,392ce450d708c8d127aaed7afc20001a48625bd83a5fa5325be82f5c0972ccfa,USER-UPLOAD-0623ad12,GEN-01/RED/SOURCE/GB/CART/JP-JA-HV0,GEN-01/RED/SOURCE/GB/CART/JP-JA-HV0/DUMPS/USER-UPLOAD-0623ad12,KO-GEN01-RED-JP-JA-HV0
GEN-01,RED,GB,CART,JP-JA-HV1,ja,JP,Pocket Monsters - Aka (Japan) (Rev A) (SGB Enhanced).gb,524288,ef74c79cded14204ac79e77f4964d9cb25003120,751abb1fb2b2d6b91dc631fa10ed36bd07f682cb5c3febe6c8f0e3dabc1fae1c,USER-UPLOAD-ef74c79c,GEN-01/RED/SOURCE/GB/CART/JP-JA-HV1,GEN-01/RED/SOURCE/GB/CART/JP-JA-HV1/DUMPS/USER-UPLOAD-ef74c79c,KO-GEN01-RED-JP-JA-HV1
GEN-01,RED,GB,CART,US-EU-EN-HV0,en,US-EU,"Pokemon - Red Version (USA, Europe) (SGB Enhanced).gb",1048576,ea9bcae617fdf159b045185467ae58b2e4a48b9a,5ca7ba01642a3b27b0cc0b5349b52792795b62d3ed977e98a09390659af96b7b,USER-UPLOAD-ea9bcae6,GEN-01/RED/SOURCE/GB/CART/US-EU-EN-HV0,GEN-01/RED/SOURCE/GB/CART/US-EU-EN-HV0/DUMPS/USER-UPLOAD-ea9bcae6,KO-GEN01-RED-US-EU-EN-HV0
GEN-01,YELLOW,GB,CART,JP-JA-HV0,ja,JP,Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,1048576,1fb6c264e950d97ce3fd99b347e485b2150df4ff,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,USER-UPLOAD-1fb6c264,GEN-01/YELLOW/SOURCE/GB/CART/JP-JA-HV0,GEN-01/YELLOW/SOURCE/GB/CART/JP-JA-HV0/DUMPS/USER-UPLOAD-1fb6c264,KO-GEN01-YELLOW-JP-JA-HV0
GEN-01,YELLOW,GB,CART,JP-JA-HV1,ja,JP,Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,1048576,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,1acab20d1aa3e19c081abaac3e303c4cf3e582213937acbf25942b31c28aecfe,USER-UPLOAD-28e4b853,GEN-01/YELLOW/SOURCE/GB/CART/JP-JA-HV1,GEN-01/YELLOW/SOURCE/GB/CART/JP-JA-HV1/DUMPS/USER-UPLOAD-28e4b853,KO-GEN01-YELLOW-JP-JA-HV1
GEN-01,YELLOW,GB,CART,JP-JA-HV2,ja,JP,Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,1048576,91864ecdf26d1c593bde4d9ed615520eb57d5e41,2c67561f6b2de4ca3a1150f04dc736aead4bf7b5a98ce38196cef899a91be2fd,USER-UPLOAD-91864ecd,GEN-01/YELLOW/SOURCE/GB/CART/JP-JA-HV2,GEN-01/YELLOW/SOURCE/GB/CART/JP-JA-HV2/DUMPS/USER-UPLOAD-91864ecd,KO-GEN01-YELLOW-JP-JA-HV2
GEN-01,YELLOW,GB,CART,JP-JA-HV3,ja,JP,Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,1048576,a40298a8123613ee60cd7aab204d788b8425976e,1349408f328f633b33e059e654edabd19810530df9c883eda03a85d5bb10161a,USER-UPLOAD-a40298a8,GEN-01/YELLOW/SOURCE/GB/CART/JP-JA-HV3,GEN-01/YELLOW/SOURCE/GB/CART/JP-JA-HV3/DUMPS/USER-UPLOAD-a40298a8,KO-GEN01-YELLOW-JP-JA-HV3
GEN-01,YELLOW,GBC,CART,US-EU-EN-HV0,en,US-EU,"Pokemon - Yellow Version (USA, Europe).gbc",1048576,cc7d03262ebfaf2f06772c1a480c7d9d5f4a38e1,8cbaa499397e4f1a679c992ea9382a2dd7942ab398b48c19829c2d9529de47bf,USER-UPLOAD-cc7d0326,GEN-01/YELLOW/SOURCE/GBC/CART/US-EU-EN-HV0,GEN-01/YELLOW/SOURCE/GBC/CART/US-EU-EN-HV0/DUMPS/USER-UPLOAD-cc7d0326,KO-GEN01-YELLOW-US-EU-EN-HV0
GEN-02,CRYSTAL,GBC,CART,BXTJ-HV0,ja,JP,Pocket Monsters - Crystal Version (Japan).gbc,2097152,95127b901bbce2407daf43cce9f45d4c27ef635d,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,UPLOAD-95127b90,GEN-02/CRYSTAL/SOURCE/GBC/CART/BXTJ-HV0,GEN-02/CRYSTAL/SOURCE/GBC/CART/BXTJ-HV0/DUMPS/UPLOAD-95127b90,KO-GEN02-CRYSTAL-BXTJ-HV0
GEN-02,CRYSTAL,GBC,CART,BYTE-HV0,en,US-EU,"Pokemon - Crystal Version (USA, Europe).gbc",2097152,f4cd194bdee0d04ca4eac29e09b8e4e9d818c133,d6702e353dcbe2d2c69183046c878ef13a0dae4006e8cdff521cca83dd1582fe,UPLOAD-f4cd194b,GEN-02/CRYSTAL/SOURCE/GBC/CART/BYTE-HV0,GEN-02/CRYSTAL/SOURCE/GBC/CART/BYTE-HV0/DUMPS/UPLOAD-f4cd194b,KO-GEN02-CRYSTAL-BYTE-HV0
GEN-02,CRYSTAL,GBC,CART,BYTE-HV1,en,US-EU,"Pokemon - Crystal Version (USA, Europe) (Rev A).gbc",2097152,f2f52230b536214ef7c9924f483392993e226cfb,fdcc3c8c43813cf8731fc037d2a6d191bac75439c34b24ba1c27526e6acdc8a2,UPLOAD-f2f52230,GEN-02/CRYSTAL/SOURCE/GBC/CART/BYTE-HV1,GEN-02/CRYSTAL/SOURCE/GBC/CART/BYTE-HV1/DUMPS/UPLOAD-f2f52230,KO-GEN02-CRYSTAL-BYTE-HV1
GEN-02,GOLD,GBC,CART,AAUJ-HV0,ja,JP,Pocket Monsters Kin (Japan).gbc,1048576,8814f1039450a5d3684b1389f588ccd7ee7c3436,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,PROJECT-8814f103,GEN-02/GOLD/SOURCE/GBC/CART/AAUJ-HV0,GEN-02/GOLD/SOURCE/GBC/CART/AAUJ-HV0/DUMPS/PROJECT-8814f103,KO-GEN02-GOLD-AAUJ-HV0
GEN-02,GOLD,GBC,CART,AAUJ-HV1,ja,JP,Pocket Monsters Kin (Japan) (Rev A).gbc,1048576,a222402235d484ee8e39f3f31bae57cf13daf585,27a07a1d3faf9c6a0b1b60d5e88ee3a4159a751a47b4c46ab09f1202d52bac3e,PROJECT-a2224022,GEN-02/GOLD/SOURCE/GBC/CART/AAUJ-HV1,GEN-02/GOLD/SOURCE/GBC/CART/AAUJ-HV1/DUMPS/PROJECT-a2224022,KO-GEN02-GOLD-AAUJ-HV1
GEN-02,GOLD,GBC,CART,AAUE-HV0,en,US-EU,"Pokemon - Gold Version (USA, Europe).gbc",2097152,d8b8a3600a465308c9953dfa04f0081c05bdcb94,fb0016d27b1e5374e1ec9fcad60e6628d8646103b5313ca683417f52b97e7e4e,PROJECT-d8b8a360,GEN-02/GOLD/SOURCE/GBC/CART/AAUE-HV0,GEN-02/GOLD/SOURCE/GBC/CART/AAUE-HV0/DUMPS/PROJECT-d8b8a360,KO-GEN02-GOLD-AAUE-HV0
GEN-02,GOLD,GBC,CART,AAUK-HV0,ko,KR,Pocket Monsters Geum (Korea).gbc,2097152,c0ff3999e1093e1af59ef3eea3f1bfd7c1f18a65,9c273e86e6120c6a038160ccb0153b8b20425b84fc08a496281c1d1bcac492f6,UPLOAD-c0ff3999,GEN-02/GOLD/SOURCE/GBC/CART/AAUK-HV0,GEN-02/GOLD/SOURCE/GBC/CART/AAUK-HV0/DUMPS/UPLOAD-c0ff3999,KO-GEN02-GOLD-AAUK-HV0
GEN-02,SILVER,GBC,CART,AAXJ-HV0,ja,JP,Pocket Monsters Gin (Japan).gbc,1048576,fa8c51059c1642faa570db56ef089f54d1d2011f,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,PROJECT-fa8c5105,GEN-02/SILVER/SOURCE/GBC/CART/AAXJ-HV0,GEN-02/SILVER/SOURCE/GBC/CART/AAXJ-HV0/DUMPS/PROJECT-fa8c5105,KO-GEN02-SILVER-AAXJ-HV0
GEN-02,SILVER,GBC,CART,AAXJ-HV1,ja,JP,Pocket Monsters Gin (Japan) (Rev A).gbc,1048576,a11d5ddc26eb826086593f82370b15d16404d33e,99e5267fbf5a7748d4f3b75ba1990cb5d91348339468607a04bfbc6081c62d71,PROJECT-a11d5ddc,GEN-02/SILVER/SOURCE/GBC/CART/AAXJ-HV1,GEN-02/SILVER/SOURCE/GBC/CART/AAXJ-HV1/DUMPS/PROJECT-a11d5ddc,KO-GEN02-SILVER-AAXJ-HV1
GEN-02,SILVER,GBC,CART,AAXE-HV0,en,US-EU,"Pokemon - Silver Version (USA, Europe).gbc",2097152,49b163f7e57702bc939d642a18f591de55d92dae,72b190859a59623cbef6c49d601f8de52c1d2331b4f08a8d2acc17274fc19a8c,PROJECT-49b163f7,GEN-02/SILVER/SOURCE/GBC/CART/AAXE-HV0,GEN-02/SILVER/SOURCE/GBC/CART/AAXE-HV0/DUMPS/PROJECT-49b163f7,KO-GEN02-SILVER-AAXE-HV0
