layout,rom_keys,file_start,file_end,gba_start,gba_end,mode,label,confidence,note
COMMON,ALL,0x00000000,0x00000003,0x08000000,0x08000003,ARM,Start,SOURCE_MATCH_EXACT,"ARM branch to Init; target differs by layout"
COMMON,ALL,0x00000004,0x000000BF,0x08000004,0x080000BF,DATA,GBA_ROM_HEADER,SOURCE_MATCH_EXACT,"Nintendo logo/title/game code/maker/version/checksum header"
COMMON,ALL,0x000000C0,0x000000CF,0x080000C0,0x080000CF,DATA,GPIO_HEADER_AREA,SOURCE_MATCH_EXACT,"Includes GPIOPortData/Direction/ReadEnable in pokeruby reference"
A,"AXVJ_v0_JPN;AXVE_v0_USA;AXVE_v1_EUR;AXVE_v2_USA_EUR",0x000000D0,0x00000103,0x080000D0,0x08000103,ARM,Init,SOURCE_MATCH_EXACT,"Sets IRQ/SYS stacks and interrupt vector; BX to AgbMain"
A,"AXVJ_v0_JPN;AXVE_v0_USA;AXVE_v1_EUR;AXVE_v2_USA_EUR",0x00000104,0x0000010B,0x08000104,0x0800010B,DATA,SP_LITERALS,SOURCE_MATCH_EXACT,"sp_sys / sp_irq literals"
A,"AXVJ_v0_JPN;AXVE_v0_USA;AXVE_v1_EUR;AXVE_v2_USA_EUR",0x0000010C,0x0000024B,0x0800010C,0x0800024B,ARM,IntrMain_AND_POOL,SOURCE_MATCH_EXACT,"Interrupt dispatcher plus literal pool; end boundary precedes AgbMain"
A,"AXVJ_v0_JPN;AXVE_v0_USA;AXVE_v1_EUR;AXVE_v2_USA_EUR",0x0000024C,,0x0800024C,,THUMB,AgbMain,SOURCE_MATCH_EXACT,"THUMB entry pointer stored as 0x0800024D"
B,"AXVS_v0_ESP;AXVS_v1_ESP;AXVF_v0_FRA;AXVF_v1_FRA;AXVI_v0_ITA;AXVI_v1_ITA;AXVD_v0_DEU;AXVD_v1_DEU;AXVD_v0_DEU_DEBUG",0x000000D0,0x00000203,0x080000D0,0x08000203,DATA,EXTENDED_LOCALIZED_METADATA,CROSS_VERSION_MAPPED,"German pokeruby source exposes version/language/name/graphics pointers here; ES/FR/IT share the same binary geometry"
B,"AXVS_v0_ESP;AXVS_v1_ESP;AXVF_v0_FRA;AXVF_v1_FRA;AXVI_v0_ITA;AXVI_v1_ITA;AXVD_v0_DEU;AXVD_v1_DEU;AXVD_v0_DEU_DEBUG",0x00000204,0x00000237,0x08000204,0x08000237,ARM,Init,SOURCE_MATCH_EXACT,"German exact-source layout; byte-pattern mapped to ES/FR/IT"
B,"AXVS_v0_ESP;AXVS_v1_ESP;AXVF_v0_FRA;AXVF_v1_FRA;AXVI_v0_ITA;AXVI_v1_ITA;AXVD_v0_DEU;AXVD_v1_DEU;AXVD_v0_DEU_DEBUG",0x00000238,0x0000023F,0x08000238,0x0800023F,DATA,SP_LITERALS,SOURCE_MATCH_EXACT,"sp_sys / sp_irq literals"
B,"AXVS_v0_ESP;AXVS_v1_ESP;AXVF_v0_FRA;AXVF_v1_FRA;AXVI_v0_ITA;AXVI_v1_ITA;AXVD_v0_DEU;AXVD_v1_DEU;AXVD_v0_DEU_DEBUG",0x00000240,0x0000037F,0x08000240,0x0800037F,ARM,IntrMain_AND_POOL,SOURCE_MATCH_EXACT,"German exact-source layout; end boundary precedes AgbMain"
B,"AXVS_v0_ESP;AXVS_v1_ESP;AXVF_v0_FRA;AXVF_v1_FRA;AXVI_v0_ITA;AXVI_v1_ITA;AXVD_v0_DEU;AXVD_v1_DEU;AXVD_v0_DEU_DEBUG",0x00000380,,0x08000380,,THUMB,AgbMain,CROSS_VERSION_MAPPED,"THUMB entry pointer stored as 0x08000381"
