overlay_id	source_unit_count	embedded_source_units
1	1	event_gtsnego.c
2	1	event_wifibattlematch.c
6	1	event_wificlub.c
9	3	net_devwifi.c | dwc_rap.c | dwc_rapcommon.c
10	36	event_ircbattle.c | musical_event.c | musical_dressup_sys.c | musical_stage_sys.c | musical_program.c | delivery_beacon.c | delivery_irc.c | script_sys.c | script_work.c | map_matrix.c | map_replace.c | event_poke_status.c | scrcmd_work.c | scrcmd_proc.c | scrcmd_sodateya.c | scrcmd_musical.c | field_encount_st.c | move_pokemon.c | scrcmd_network.c | event_shortcut_menu.c | event_field_proclink.c | eventdata_system.c | calender.c | game_beacon_search.c | game_beacon_accessor.c | symbol_map.c | ;event_research_radar.c | comm_player.c | fld_btl_inst_tool.c | field_g3d_map.c | report_event.c | namein_setup.c | fldmmdl.c | event_battle.c | trcard_sys.c | waza_oshie.c
11	1	intrude_comm.c
12	3	union_comm.c | union_main.c | colosseum.c
14	3	net_devwireless.c | net_whpipe.c | wih.c
16	1	dwc_raputil.c
18	3	intrude_field.c | intrude_subdisp.c | event_comm_common.c
19	3	union_oneself.c | union_msg.c | union_eff.c
20	3	event_mapchange.c | field_wfbc_data_local.c | el_scoreboard.c
