legacy_release_id	legacy_dump_id	v6_release_id	v6_dump_id	v6_release_path
AXVD-R0	PROJECT-1c2a5333	AXVD-HV0	UPLOAD-1c2a5333	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVD-HV0
AXVD-R0-DEBUG	PROJECT-ca5e3d41	AXVD-HV0-DEBUG	UPLOAD-ca5e3d41	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVD-HV0-DEBUG
AXVD-R1	PROJECT-424740be	AXVD-HV1	UPLOAD-424740be	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVD-HV1
AXVE-R0	PROJECT-f28b6ffc	AXVE-HV0	UPLOAD-f28b6ffc	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVE-HV0
AXVE-R1	PROJECT-610b96a9	AXVE-HV1	UPLOAD-610b96a9	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVE-HV1
AXVE-R2	PROJECT-5b64eacf	AXVE-HV2	UPLOAD-5b64eacf	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVE-HV2
AXVF-R0	PROJECT-a6ee9420	AXVF-HV0	UPLOAD-a6ee9420	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVF-HV0
AXVF-R1	PROJECT-ba888dfb	AXVF-HV1	UPLOAD-ba888dfb	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVF-HV1
AXVI-R0	PROJECT-2b313422	AXVI-HV0	UPLOAD-2b313422	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVI-HV0
AXVI-R1	PROJECT-015a5d38	AXVI-HV1	UPLOAD-015a5d38	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVI-HV1
AXVJ-R0	PROJECT-5c5e5467	AXVJ-HV0	UPLOAD-5c5e5467	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVJ-HV0
AXVS-R0	PROJECT-1f49f728	AXVS-HV0	UPLOAD-1f49f728	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVS-HV0
AXVS-R1	PROJECT-9ac73481	AXVS-HV1	UPLOAD-9ac73481	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVS-HV1
