lineage,phase,frame,scx,tilemap_left_px
Red/Green legacy,out,0,0,72
Red/Green legacy,out,1,8,64
Red/Green legacy,out,2,16,56
Red/Green legacy,out,3,24,48
Red/Green legacy,out,4,32,40
Red/Green legacy,out,5,40,32
Red/Green legacy,out,6,48,24
Red/Green legacy,out,7,56,16
Red/Green legacy,out,8,64,8
Red/Green legacy,out,9,72,0
Red/Green legacy,out,10,80,-8
Red/Green legacy,out,11,88,-16
Red/Green legacy,out,12,96,-24
Red/Green legacy,out,13,104,-32
Red/Green legacy,out,14,112,-40
Red/Green legacy,out,15,120,-48
Red/Green legacy,out,16,128,-56
Red/Green legacy,out,17,136,-64
Red/Green legacy,out,18,144,-72
Red/Green legacy,out,19,152,-80
Red/Green legacy,in,0,160,168
Red/Green legacy,in,1,168,160
Red/Green legacy,in,2,176,152
Red/Green legacy,in,3,184,144
Red/Green legacy,in,4,192,136
Red/Green legacy,in,5,200,128
Red/Green legacy,in,6,208,120
Red/Green legacy,in,7,216,112
Red/Green legacy,in,8,224,104
Red/Green legacy,in,9,232,96
Red/Green legacy,in,10,240,88
Red/Green legacy,in,11,248,80
Blue revised,out,0,0,40
Blue revised,out,1,1,39
Blue revised,out,2,2,38
Blue revised,out,3,4,36
Blue revised,out,4,6,34
Blue revised,out,5,9,31
Blue revised,out,6,12,28
Blue revised,out,7,16,24
Blue revised,out,8,20,20
Blue revised,out,9,25,15
Blue revised,out,10,30,10
Blue revised,out,11,36,4
Blue revised,out,12,42,-2
Blue revised,out,13,50,-10
Blue revised,out,14,58,-18
Blue revised,out,15,66,-26
Blue revised,out,16,75,-35
Blue revised,out,17,84,-44
Blue revised,in,0,136,160
Blue revised,in,1,146,150
Blue revised,in,2,156,140
Blue revised,in,3,165,131
Blue revised,in,4,174,122
Blue revised,in,5,183,113
Blue revised,in,6,192,104
Blue revised,in,7,200,96
Blue revised,in,8,208,88
Blue revised,in,9,216,80
Blue revised,in,10,224,72
Blue revised,in,11,230,66
Blue revised,in,12,236,60
Blue revised,in,13,242,54
Blue revised,in,14,247,49
Blue revised,in,15,252,44
Blue revised,in,16,255,41
