bank,file_start,size,sha1,entropy_bits_per_byte,zero_bytes,ff_bytes
00,0x000000,16384,5c50c205d61da12784a5aa0fa9014e0318517326,7.148893,364,260
01,0x004000,16384,34690d3cfb7abacfd770c52d76dd3955c082a4f5,7.254003,583,82
02,0x008000,16384,d348c7b86ddd36c2d45fef78a5fae97367df865d,6.978919,379,257
03,0x00C000,16384,6deff8266de605d8562cbdbf67b8921f2cb4e029,7.349282,395,262
04,0x010000,16384,d99683eb102a738e08163e11c4bf7bd444a49550,6.778047,2173,310
05,0x014000,16384,ac4181a6e38c3372d9842c338d86ea74694a4305,6.302340,804,178
06,0x018000,16384,01b06cb8ccb9110b631543af06ffc727a82035e4,7.250023,367,166
07,0x01C000,16384,f201f3741860acac72069bd9e27d18a0b1b12eda,7.184923,370,217
08,0x020000,16384,de9a604ae943e89bdd9e74e33f3c8d6f167d9be1,7.059168,309,287
09,0x024000,16384,314b4e40615342e72ace9e1d44878cce518070e2,7.808880,13,288
0A,0x028000,16384,5370045e0ff523d9102dae4753a4e1135657172f,7.840146,11,283
0B,0x02C000,16384,07efe0e7a4b5df67fbd877d9a23265b56f840169,7.836844,203,299
0C,0x030000,16384,26eadb4795517d29936489d446962e23d0ffa437,7.819980,10,334
0D,0x034000,16384,1225b1bb261614c8dfffc27611148b57471ed4de,7.803008,250,549
0E,0x038000,16384,6f9a7d65eef81c77d8344056ac265a806fc9e597,7.145405,2018,372
0F,0x03C000,16384,29766acd4191e6ce6f1467513168cd847bff8ccd,7.080828,292,68
10,0x040000,16384,d6880c1bfde1eb5543a9deaa333648a3c2331636,6.969505,1260,436
11,0x044000,16384,e27bf15c20ac626b708a622f3a970920b38f3766,7.196892,356,333
12,0x048000,16384,e8faafcf931045513e2210b0565435e1f7f96d8f,7.127930,397,209
13,0x04C000,16384,a39b3e680a40e3b74d37c1692fa847bdbce19d21,7.835871,35,325
14,0x050000,16384,6e57a9e5726fa5b3252cf321c416ff1bb3456fd9,7.294475,349,169
15,0x054000,16384,ef7edd451a6eeee4b6e41f6f932ae9990864663c,7.139841,408,127
16,0x058000,16384,50b3d96ef2acc522863c3cfba9c8055bbc5ade04,7.160632,403,130
17,0x05C000,16384,7cc73d86eec3d2371f13bac2869f8c365060bab6,7.101634,399,189
18,0x060000,16384,802db7b1328a4c15c4fa712e3a446ab1e0f5b5f6,7.049474,382,184
19,0x064000,16384,b72b68391c735f3c2723fc31b02f13106cdef09f,6.508050,1473,1584
1A,0x068000,16384,a266c160f6ace3bf3c3d40aab9c24823ff965ed2,6.371074,1044,1292
1B,0x06C000,16384,682b94550690d2e4c4103fe93753ed74ab38fc72,6.201428,1420,1810
1C,0x070000,16384,4249ab5133841889a9b90b21d30edf0d62624a60,6.873593,2113,431
1D,0x074000,16384,9dae16e0708e97de2af1f24f58db67bfc176974c,7.091263,324,170
1E,0x078000,16384,19bfac7d62658a98c000d7e6d2ec699ed1ecef2b,6.782914,2202,608
1F,0x07C000,16384,ff43de20c18860e296b7ed16e5de19d2a298aa88,7.072184,404,288
