release_id	dump_id	canonical_path	source_filename	size_bytes	crc32	md5	sha1	sha256	game_code	header_version	market	language	build_kind
AXVD-HV0	UPLOAD-1c2a5333	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVD-HV0	Pokemon - Rubin-Edition (Germany).gba	16777216	15e1e280	1af28ea547d4116dc752c93f7f694239	1c2a53332382e14dab8815e3a6dd81ad89534050	22b28a91be484178236d7f39d64210205698b417394913e089b47796c998fa75	AXVD	0	EU	DE	retail
AXVD-HV0-DEBUG	UPLOAD-ca5e3d41	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVD-HV0-DEBUG	Pokemon - Rubin-Edition (Germany) (Debug Version).gba	16777216	40686c47	a93c24b102f9ffbd5676e18f2e4cb33c	ca5e3d415c4b47353a73a616878ba833f3648b7a	548e9db988d387f8876a0aa40ea1ecb6f1110a8a550413e1861c9656fff7427a	AXVD	0	EU	DE	debug
AXVD-HV1	UPLOAD-424740be	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVD-HV1	Pokemon - Rubin-Edition (Germany) (Rev 1).gba	16777216	cae89464	9aa6ac6fd369a686373a2e1bf8bb6aa3	424740be1fc67a5ddb954794443646e6aeee2c1b	e0b620d576bc503e083bb9d2af1f5ffc40127b84e6ca734e3c45534d0d008043	AXVD	1	EU	DE	retail
AXVE-HV0	UPLOAD-f28b6ffc	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVE-HV0	Pokemon - Ruby Version (USA).gba	16777216	f0815ee7	53d1a2027ab49df34a689faa1fb14726	f28b6ffc97847e94a6c21a63cacf633ee5c8df1e	53d591215de2cab847d14fbcf8c516f0128cfa8556f1236065e0535aa5936d4e	AXVE	0	US	EN	retail
AXVE-HV1	UPLOAD-610b96a9	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVE-HV1	Pokemon - Ruby Version (Europe) (Rev 1).gba	16777216	61641576	e0503182a2e699678bcf25a6897a24d6	610b96a9c9a7d03d2bafb655e7560ccff1a6d894	0d80909998a901c7edef5942068585bc855a85aec7e083aa6aeff84a5b2f8ec0	AXVE	1	EU	EN	retail
AXVE-HV2	UPLOAD-5b64eacf	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVE-HV2	Pokemon - Ruby Version (USA, Europe) (Rev 2).gba	16777216	aeac73e6	3e1b2065b3837c14ffbd03fe205fdfd7	5b64eacf892920518db4ec664e62a086dd5f5bc8	0fdd36e92b75bed65d09df4635ab0b707b288c2bf1dc4c6e7a4a4f0eebe9d64c	AXVE	2	US-EU	EN	retail
AXVF-HV0	UPLOAD-a6ee9420	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVF-HV0	Pokemon - Version Rubis (France).gba	16777216	690fd310	3c971ea747a4bbdbd305c6f85c1c99ff	a6ee94202bec0641c55d242757e84dc89336d4cb	160185eb928c649b0bb5cfbda6d3cb5239b474b69c0a6b61d939bbfd546177f7	AXVF	0	EU	FR	retail
AXVF-HV1	UPLOAD-ba888dfb	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVF-HV1	Pokemon - Version Rubis (France) (Rev 1).gba	16777216	9f981f72	c014449536d7d32e5b6a3b91d10c0fe9	ba888dfba231a231cbd60fe228e894b54fb1ed79	9678645ca67932a42c92b1d6bac118925a6be9f67135ae8fe7747df85cdabdd0	AXVF	1	EU	FR	retail
AXVI-HV0	UPLOAD-2b313422	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVI-HV0	Pokemon - Versione Rubino (Italy).gba	16777216	c18231a9	4d3e531abcbbe530c0543c91d1d7d63f	2b3134224392f58da00f802faa1bf4b5cf6270be	61844250fc2766dbab163c84e277c50e3a0b35d6f2defb491a2d38def0ef2ab7	AXVI	0	EU	IT	retail
AXVI-HV1	UPLOAD-015a5d38	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVI-HV1	Pokemon - Versione Rubino (Italy) (Rev 1).gba	16777216	9305e793	1191848184916ade8df270fa27d2555f	015a5d380afe316a2a6fcc561798ebff9dfb3009	be116b6fa8d8c12d7ccff3faefd5defd886faa427ff2c85c06d245cbe4e531b2	AXVI	1	EU	IT	retail
AXVJ-HV0	UPLOAD-5c5e5467	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVJ-HV0	Pocket Monsters - Ruby (Japan).gba	8388608	cee9471a	27c9f37193977828f9808f3f76ff8c76	5c5e546720300b99ae45d2aa35c646c8b8ff5c56	e911caa1ffbf8704cd45bbe064ade40e24efa50dfdce82adf4b2899b5f733852	AXVJ	0	JP	JA	retail
AXVS-HV0	UPLOAD-1f49f728	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVS-HV0	Pokemon - Edicion Rubi (Spain).gba	16777216	eb0729cf	e15eff9df4cdb078896e7ee894dc98f6	1f49f7289253dcbfecbc4c5ba3e67aa0652ec83c	b03c3d0230889a40615371bd616f02160dd1e33bb116659d72d98c27462c40d0	AXVS	0	EU	ES	retail
AXVS-HV1	UPLOAD-9ac73481	LIBRARY/GEN-03/RUBY/SOURCE/GBA/CART/AXVS-HV1	Pokemon - Edicion Rubi (Spain) (Rev 1).gba	16777216	b980fff5	61623a55ac0ff4cb97db7c9a78a477ad	9ac73481d7f5d150a018309bba91d185ce99fb7c	0db39958c19abcedc7670fb16fd3274a5b205df794eb7491bea0580aa752e095	AXVS	1	EU	ES	retail
