release_id	dump_id	source_filename	build_kind	sakurai_owner	tsubaki_owner
AXVJ-R0	PROJECT-5c5e5467	Pocket Monsters - Ruby (Japan).gba	retail	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVJ-R0	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVJ-R0
AXVS-R1	PROJECT-9ac73481	Pokemon - Edicion Rubi (Spain) (Rev 1).gba	retail	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVS-R1	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVS-R1
AXVS-R0	PROJECT-1f49f728	Pokemon - Edicion Rubi (Spain).gba	retail	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVS-R0	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVS-R0
AXVD-R0-DEBUG	PROJECT-ca5e3d41	Pokemon - Rubin-Edition (Germany) (Debug Version).gba	debug	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVD-R0-DEBUG	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVD-R0-DEBUG
AXVD-R1	PROJECT-424740be	Pokemon - Rubin-Edition (Germany) (Rev 1).gba	retail	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVD-R1	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVD-R1
AXVD-R0	PROJECT-1c2a5333	Pokemon - Rubin-Edition (Germany).gba	retail	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVD-R0	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVD-R0
AXVE-R1	PROJECT-610b96a9	Pokemon - Ruby Version (Europe) (Rev 1).gba	retail	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVE-R1	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVE-R1
AXVE-R0	PROJECT-f28b6ffc	Pokemon - Ruby Version (USA).gba	retail	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVE-R0	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVE-R0
AXVE-R2	PROJECT-5b64eacf	Pokemon - Ruby Version (USA, Europe) (Rev 2).gba	retail	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVE-R2	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVE-R2
AXVF-R1	PROJECT-ba888dfb	Pokemon - Version Rubis (France) (Rev 1).gba	retail	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVF-R1	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVF-R1
AXVF-R0	PROJECT-a6ee9420	Pokemon - Version Rubis (France).gba	retail	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVF-R0	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVF-R0
AXVI-R1	PROJECT-015a5d38	Pokemon - Versione Rubino (Italy) (Rev 1).gba	retail	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVI-R1	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVI-R1
AXVI-R0	PROJECT-2b313422	Pokemon - Versione Rubino (Italy).gba	retail	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVI-R0	LIBRARY/GEN-03/GBA/RUBY/RELEASES/AXVI-R0
