release_id,bank_hex,offset_start,offset_end_exclusive,sha1,sha256,entropy_bits_per_byte,zero_fraction,ff_fraction,most_common_byte,most_common_fraction,all_zero,all_ff
JP-JA-HV0,00,0x000000,0x004000,3f3c27f7b8960211fc903af906610c34d98e7a84,49a72079d41f4b598508e3e59eedf7bebc59a0cc4b87641f788acadfbcc36bf4,7.170967,0.023499,0.010376,0xCD,0.037048,False,False
JP-JA-HV0,01,0x004000,0x008000,658e0b402cfcfb73b348e28ea211f8f5d71617c8,4aaf7e5b8a0725e88d83683d27f194b656e3aa0cd996b226a4fe5d340af1b0af,7.269861,0.035828,0.004944,0xCD,0.046387,False,False
JP-JA-HV0,02,0x008000,0x00C000,ab1c569e0bef1f2a1430410e031248df70047316,4583375c15a049e1367b6b502de6781688da83768fc9c33b44f3868b5930c6c8,6.979873,0.023560,0.015564,0xC0,0.034119,False,False
JP-JA-HV0,03,0x00C000,0x010000,6bd8547d7892b51a977325d69ec9bd3bd9a92e62,3e11166cdb5ac79215578855b24d48a69ab35fff98c918d80fb1903569f92021,7.336372,0.024292,0.015503,0xCD,0.030029,False,False
JP-JA-HV0,04,0x010000,0x014000,58dc26595a4912d4e9b982d542b53d5bfb06bddc,4ab0bef09929b94c5df46d712984e74e16826db4cf656d2c01f285aeea0e7e5c,6.799314,0.131897,0.018372,0x00,0.131897,False,False
JP-JA-HV0,05,0x014000,0x018000,c79c041b521451e5850bc3b54f8f0c05b8da440b,e6da555ad7b88ef43927abb41c774e5778e2938eb72dab5be4e54672e9482b22,6.306250,0.048828,0.010925,0xFC,0.060669,False,False
JP-JA-HV0,06,0x018000,0x01C000,b32c6b738774849da75a7c4bb47bd90356986507,a04bb73fa3a1701dc824c05a9549aa1120e0d54813c5ca71ea3cebc0f68d541b,7.256267,0.022461,0.009583,0x7F,0.054199,False,False
JP-JA-HV0,07,0x01C000,0x020000,633525341119f61b6f91b2160ff8a3bf730b252d,5b15dc20b5cce2e63189092faf45ddd5ef9455b2d9d60bb0cc56658f516972de,7.180663,0.022766,0.013916,0x7F,0.052185,False,False
JP-JA-HV0,08,0x020000,0x024000,ecc410117d05472d5face73eb53470407812765b,4a6e6cb3efd745bee62225df9ebeb67fc6dd8a241b7e774a12b58e8afb2eac94,7.061910,0.019104,0.017334,0xE5,0.034912,False,False
JP-JA-HV0,09,0x024000,0x028000,badae8ebbc4298561e4b73ecbe064a9bf6e5784b,aa558c1a08c8d8857c74bbfb2af68d659351a0a72f0752a02be8ad077c52acb7,7.823547,0.001709,0.015808,0xFF,0.015808,False,False
