scope,bank_hex,status
ALL-SIX,1B,byte-identical
WESTERN-FIVE,1B,byte-identical
WESTERN-FIVE,2D,byte-identical
WESTERN-FIVE,2E,byte-identical
WESTERN-FIVE,2F,byte-identical
WESTERN-FIVE,30,byte-identical
WESTERN-FIVE,31,byte-identical
WESTERN-FIVE,32,byte-identical
WESTERN-FIVE,33,byte-identical
WESTERN-FIVE,34,byte-identical
WESTERN-FIVE,35,byte-identical
WESTERN-FIVE,36,byte-identical
WESTERN-FIVE,37,byte-identical
WESTERN-FIVE,38,byte-identical
WESTERN-FIVE,39,byte-identical
WESTERN-FIVE,3A,byte-identical
WESTERN-FIVE,3B,byte-identical
WESTERN-FIVE,3C,byte-identical
WESTERN-FIVE,3D,byte-identical
WESTERN-FIVE,3E,byte-identical
WESTERN-FIVE,3F,byte-identical
