bank,diff_bytes,diff_percent,diff_ranges,identical
00,13109,80.010986,359,false
01,11803,72.039795,234,false
02,18,0.109863,7,false
03,366,2.233887,316,false
04,233,1.422119,199,false
05,83,0.506592,41,false
06,348,2.124023,297,false
07,560,3.417969,469,false
08,60,0.366211,56,false
09,519,3.167725,32,false
0A,14,0.085449,8,false
0B,13,0.079346,11,false
0C,32,0.195312,6,false
0D,65,0.396729,58,false
0E,79,0.482178,78,false
0F,15403,94.012451,333,false
10,135,0.823975,109,false
11,307,1.873779,255,false
12,406,2.478027,315,false
13,36,0.219727,33,false
14,379,2.313232,354,false
15,313,1.910400,291,false
16,330,2.014160,300,false
17,397,2.423096,343,false
18,359,2.191162,305,false
19,32,0.195312,1,false
1A,2,0.012207,2,false
1B,0,0.000000,0,true
1C,203,1.239014,176,false
1D,425,2.593994,348,false
1E,132,0.805664,96,false
1F,7,0.042725,4,false
