release_a,release_b,identical_banks,different_banks
BXTJ-HV0,BYTE-HV0,12,116
BXTJ-HV0,BYTE-HV1,12,116
BXTJ-HV0,BYTD-HV0,9,119
BXTJ-HV0,BYTF-HV0,9,119
BXTJ-HV0,BYTI-HV0,9,119
BXTJ-HV0,BYTS-HV0,9,119
BYTE-HV0,BYTE-HV1,120,8
BYTE-HV0,BYTD-HV0,31,97
BYTE-HV0,BYTF-HV0,31,97
BYTE-HV0,BYTI-HV0,31,97
BYTE-HV0,BYTS-HV0,31,97
BYTE-HV1,BYTD-HV0,31,97
BYTE-HV1,BYTF-HV0,31,97
BYTE-HV1,BYTI-HV0,31,97
BYTE-HV1,BYTS-HV0,31,97
BYTD-HV0,BYTF-HV0,32,96
BYTD-HV0,BYTI-HV0,31,97
BYTD-HV0,BYTS-HV0,32,96
BYTF-HV0,BYTI-HV0,31,97
BYTF-HV0,BYTS-HV0,31,97
BYTI-HV0,BYTS-HV0,32,96
