release_a,release_b,common_banks,identical_same_offset_banks,identical_bank_indices,common_bytes,differing_bytes,different_percent,size_equal
EU-ES-HV0,EU-IT-HV0,128,48,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 36 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,2097152,528534,25.202465,True
EU-ES-HV0,US-EU-EN-HV0,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,2097152,606013,28.896952,True
EU-ES-HV0,JP-JA-HV0,64,8,0C 2A 2B 30 37 3B 3C 3D,1048576,754887,71.991634,False
EU-ES-HV0,JP-JA-HV1,64,8,0C 2A 2B 30 37 3B 3C 3D,1048576,746717,71.212482,False
EU-ES-HV0,EU-DE-HV0,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,2097152,609441,29.060411,True
EU-ES-HV0,KR-KO-HV0,128,27,0C 13 22 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 73 74 75 76 77 7C 7D 7E,2097152,898255,42.832136,True
EU-ES-HV0,EU-FR-HV0,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,2097152,567265,27.049303,True
EU-IT-HV0,US-EU-EN-HV0,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,2097152,609441,29.060411,True
EU-IT-HV0,JP-JA-HV0,64,8,0C 2A 2B 30 37 3B 3C 3D,1048576,755228,72.024155,False
EU-IT-HV0,JP-JA-HV1,64,8,0C 2A 2B 30 37 3B 3C 3D,1048576,747095,71.248531,False
EU-IT-HV0,EU-DE-HV0,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,2097152,603513,28.777742,True
EU-IT-HV0,KR-KO-HV0,128,27,0C 13 22 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 73 74 75 76 77 7C 7D 7E,2097152,902680,43.043137,True
EU-IT-HV0,EU-FR-HV0,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,2097152,568327,27.099943,True
US-EU-EN-HV0,JP-JA-HV0,64,8,0C 2A 2B 30 37 3B 3C 3D,1048576,746193,71.16251,False
US-EU-EN-HV0,JP-JA-HV1,64,8,0C 2A 2B 30 37 3B 3C 3D,1048576,738001,70.38126,False
US-EU-EN-HV0,EU-DE-HV0,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,2097152,641285,30.578852,True
US-EU-EN-HV0,KR-KO-HV0,128,29,0C 13 22 27 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 58 63 67 6F 73 74 75 76 77 7C 7D 7E,2097152,882326,42.072582,True
US-EU-EN-HV0,EU-FR-HV0,128,47,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,2097152,607499,28.96781,True
JP-JA-HV0,JP-JA-HV1,64,48,02 06 07 08 0C 0D 0E 10 11 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 32 33 34 35 36 37 38 39 3A 3B 3C 3D,1048576,19150,1.826286,True
JP-JA-HV0,EU-DE-HV0,64,8,0C 2A 2B 30 37 3B 3C 3D,1048576,754730,71.976662,False
JP-JA-HV0,KR-KO-HV0,64,20,0C 12 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 2A 30 37 3B 3C 3D,1048576,584153,55.709171,False
JP-JA-HV0,EU-FR-HV0,64,8,0C 2A 2B 30 37 3B 3C 3D,1048576,747884,71.323776,False
JP-JA-HV1,EU-DE-HV0,64,8,0C 2A 2B 30 37 3B 3C 3D,1048576,746571,71.198559,False
JP-JA-HV1,KR-KO-HV0,64,20,0C 12 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 2A 30 37 3B 3C 3D,1048576,575797,54.912281,False
JP-JA-HV1,EU-FR-HV0,64,8,0C 2A 2B 30 37 3B 3C 3D,1048576,739656,70.539093,False
EU-DE-HV0,KR-KO-HV0,128,27,0C 13 22 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 73 74 75 76 77 7C 7D 7E,2097152,931053,44.396067,True
EU-DE-HV0,EU-FR-HV0,128,48,0C 12 13 15 16 17 18 19 1A 1B 1C 1D 1E 1F 20 22 28 29 2A 2B 2C 2D 2F 30 34 35 36 37 3B 3C 3D 63 67 6F 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E,2097152,587226,28.001118,True
KR-KO-HV0,EU-FR-HV0,128,27,0C 13 22 28 29 2A 2C 2D 2F 30 34 35 37 3B 3C 3D 63 67 6F 73 74 75 76 77 7C 7D 7E,2097152,906381,43.219614,True
