left,right,left_size,right_size,compared_bytes,different_bytes_total,different_percent_of_larger,same_position_banks,compared_banks
AAXK/HV0,AAXJ/HV1,2097152,1048576,1048576,1624373,77.456141,20,64
AAXK/HV0,AAXJ/HV0,2097152,1048576,1048576,1632729,77.854586,20,64
AAXK/HV0,AAXS/HV0,2097152,2097152,2097152,898255,42.832136,27,128
AAXK/HV0,AAXD/HV0,2097152,2097152,2097152,931053,44.396067,27,128
AAXK/HV0,AAXE/HV0,2097152,2097152,2097152,882326,42.072582,29,128
AAXK/HV0,AAXF/HV0,2097152,2097152,2097152,906381,43.219614,27,128
AAXK/HV0,AAXI/HV0,2097152,2097152,2097152,902680,43.043137,27,128
AAXJ/HV1,AAXJ/HV0,1048576,1048576,1048576,19150,1.826286,48,64
AAXJ/HV1,AAXS/HV0,1048576,2097152,1048576,1795293,85.606241,8,64
AAXJ/HV1,AAXD/HV0,1048576,2097152,1048576,1795147,85.599279,8,64
AAXJ/HV1,AAXE/HV0,1048576,2097152,1048576,1786577,85.190630,8,64
AAXJ/HV1,AAXF/HV0,1048576,2097152,1048576,1788232,85.269547,8,64
AAXJ/HV1,AAXI/HV0,1048576,2097152,1048576,1795671,85.624266,8,64
AAXJ/HV0,AAXS/HV0,1048576,2097152,1048576,1803463,85.995817,8,64
AAXJ/HV0,AAXD/HV0,1048576,2097152,1048576,1803306,85.988331,8,64
AAXJ/HV0,AAXE/HV0,1048576,2097152,1048576,1794769,85.581255,8,64
AAXJ/HV0,AAXF/HV0,1048576,2097152,1048576,1796460,85.661888,8,64
AAXJ/HV0,AAXI/HV0,1048576,2097152,1048576,1803804,86.012077,8,64
AAXS/HV0,AAXD/HV0,2097152,2097152,2097152,609441,29.060411,47,128
AAXS/HV0,AAXE/HV0,2097152,2097152,2097152,606013,28.896952,47,128
AAXS/HV0,AAXF/HV0,2097152,2097152,2097152,567265,27.049303,47,128
AAXS/HV0,AAXI/HV0,2097152,2097152,2097152,528534,25.202465,48,128
AAXD/HV0,AAXE/HV0,2097152,2097152,2097152,641285,30.578852,47,128
AAXD/HV0,AAXF/HV0,2097152,2097152,2097152,587226,28.001118,48,128
AAXD/HV0,AAXI/HV0,2097152,2097152,2097152,603513,28.777742,47,128
AAXE/HV0,AAXF/HV0,2097152,2097152,2097152,607499,28.967810,47,128
AAXE/HV0,AAXI/HV0,2097152,2097152,2097152,609441,29.060411,47,128
AAXF/HV0,AAXI/HV0,2097152,2097152,2097152,568327,27.099943,47,128
