bank,offset_hex,size_bytes,sha1,crc32
0,0x000000,16384,674c23a4eb8005c0afa77f53a8d60cdcd8c0620a,99E6A1B7
1,0x004000,16384,7cbb0e27172fb10752b48373bb35f40746ee1c71,11B7BA54
2,0x008000,16384,f797c36bedb5979029f8f530fb1a6148e40e8766,D55DCC02
3,0x00C000,16384,c8f446f31b8780a2902060eadda1a7e281833f90,81AF552C
4,0x010000,16384,39804ae5284cb514b16f59b3a4af8e6045e10fe1,246285BC
5,0x014000,16384,99cb04d555f0f6f70fdf8538af7996f44896eed5,942B71B0
6,0x018000,16384,7ce75f2afc85fc0e48a9b1bfb8105bf65baa2842,B953E012
7,0x01C000,16384,71b4fb096a0444cf697236dbc49a8b65a7997906,763493E1
8,0x020000,16384,3da0b990d5d6b82b4afcd3ba3947d9f3f63c5f24,B443DB10
9,0x024000,16384,919a270247a5e510f1ec25162fc29a7cb245f4d0,76EB9D74
10,0x028000,16384,7b08eeccd271494a96f3fecfbc2b6a26958a6057,53F7A655
11,0x02C000,16384,d61751f2a798d723eca2308b964680816f285368,215DC63F
12,0x030000,16384,dcf5777c6f8295847a8ff24f2512aa4376d83152,1053FA0F
13,0x034000,16384,65925fdb5fd06888b89c27c713292959a5054280,CD7819D6
14,0x038000,16384,90ed8f277860a6c61c1f8f916232558c83bad09e,2C05ABBB
15,0x03C000,16384,44d19f3ec002343510ebc2e51b102d2538a2da9d,B0D390FD
16,0x040000,16384,b20fdfab92d2b0bb971e36e7ab4f236ce062eb43,CFC58F51
17,0x044000,16384,08c7211b208425e4c9fa2551777ed8ef5b80814d,71C1509B
18,0x048000,16384,450b61d85425b333788c012549308bf87907fd15,87C2E26B
19,0x04C000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
20,0x050000,16384,fedc5d474be047b1f87e5849c9af54a86e96fd65,80D8DB0C
21,0x054000,16384,ee6e486a033daebeb3117079a6be90e67a3dce0e,72F1722B
22,0x058000,16384,b68c3b267b4b0479714484bf01ed16f9cf0d0fab,36B5CDF8
23,0x05C000,16384,9e84eca2affd15fcb5eb49d6e7b64b07fddbc130,0EA96B2C
24,0x060000,16384,2d70a5fac7fcfc6ba8214a6a2bdb0be87de04501,760BE7D3
25,0x064000,16384,d43e74a33aa9894a86d866aee1ac2d7ae5c262e7,937D993B
26,0x068000,16384,ae989d2fc912108cb751045225c85f9f3c089481,342BFCA8
27,0x06C000,16384,3ddcb39724892fe67a6ec20bdade48ddebfac907,BACF2FF1
28,0x070000,16384,c10c9a85d646945f0430a1f03d15913c35ce934c,8081CD18
29,0x074000,16384,1cc0151417bae5170e3dd12626e4b4086060c84c,27169053
30,0x078000,16384,bf6b1fb6c181276a88248e5192a1134e15acae45,67F712BB
31,0x07C000,16384,191b765e9c2d9966958ee6facdcaae5bc5203404,078799DD
32,0x080000,16384,7b3d0b4b3e29e310735d531bb05f4ca77825ef7d,E5C16732
33,0x084000,16384,3c9c5a9c27d492577390d25269fe5be0f2bb87ff,DD148997
34,0x088000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
35,0x08C000,16384,43627b67f5b58c87da8836215df12b46dedf23d1,226D0CA1
36,0x090000,16384,1e9cf04e78bf0c5e0f75be5e7cf45b03a012824f,51FD370E
37,0x094000,16384,49282d06deac49fba03277b49a0cad9c68d342f4,2EBF2868
