release_id,size_bytes,largest_ff_start,largest_ff_end,largest_ff_bytes,graphics_payload_start,trailing_fill_start,last_non_ff
AXVJ-HV0,8388608,0x00655178,0x0067D000,163464,0x0067D000,,0x007FFE67
AXVS-HV1,16777216,0x006B5E90,0x00D00000,6594928,0x00D00000,0x00EB1138,0x00EB1137
AXVS-HV0,16777216,0x006B5E90,0x00D00000,6594928,0x00D00000,0x00EB1138,0x00EB1137
AXVD-HV0-DEBUG,16777216,0x006DF850,0x00D00000,6424496,0x00D00000,0x00EB0F58,0x00EB0F57
AXVD-HV1,16777216,0x006BE994,0x00D00000,6559340,0x00D00000,0x00EB0F58,0x00EB0F57
AXVD-HV0,16777216,0x006BE994,0x00D00000,6559340,0x00D00000,0x00EB0F58,0x00EB0F57
AXVE-HV1,16777216,0x006B0A0C,0x00D00000,6616564,0x00D00000,0x00EAE244,0x00EAE243
AXVE-HV0,16777216,0x006B09F8,0x00D00000,6616584,0x00D00000,0x00EAE244,0x00EAE243
AXVE-HV2,16777216,0x006B0A0C,0x00D00000,6616564,0x00D00000,0x00EAE244,0x00EAE243
AXVF-HV1,16777216,0x006B9AD0,0x00D00000,6579504,0x00D00000,0x00EB125C,0x00EB125B
AXVF-HV0,16777216,0x006B9AD0,0x00D00000,6579504,0x00D00000,0x00EB125C,0x00EB125B
AXVI-HV1,16777216,0x006B2D7C,0x00D00000,6607492,0x00D00000,0x00EB1044,0x00EB1043
AXVI-HV0,16777216,0x006B2D7C,0x00D00000,6607492,0x00D00000,0x00EB1044,0x00EB1043
